
[00:00:00.000 --> 00:00:05.300]  (主持人:我們今天的題目是「伊莉莎將顯上帝權能」第三講)
[00:00:05.300 --> 00:00:09.160]  (主持人:今天講到的題目是「伊莉莎將顯上帝權能」第三講)
[00:00:09.160 --> 00:00:17.060]  (主持人:那麼這個第三講的題目就是「在變幻莫測戰爭中傳好消息」)
[00:00:17.060 --> 00:00:20.920]  (主持人:在變幻莫測戰爭中傳好消息)
[00:00:20.920 --> 00:00:24.100]  (主持人:好,我這個題目就是誰傳好消息呢?當然是伊莉莎了)
[00:00:24.100 --> 00:00:27.200]  (主持人:那我認識誰傳好消息呢?當然是伊莉莎)
[00:00:27.200 --> 00:00:32.000]  (主持人:今天第一個是,你看到「上」)
[00:00:32.000 --> 00:00:34.000]  (主持人:所以你看到這個題目是「上」)
[00:00:34.000 --> 00:00:37.500]  (主持人:那麼這個「變幻莫測中文」有上、中、下三集的)
[00:00:37.500 --> 00:00:42.600]  (主持人:就是說這個「在變幻中傳好消息」有上、中、下三集)
[00:00:42.600 --> 00:00:46.600]  (主持人:那麼這個上集就是「究竟有什麼壞的情形」)
[00:00:46.600 --> 00:00:49.700]  (主持人:就是說上集介紹有什麼壞的情形)
[00:00:49.700 --> 00:00:51.200]  (主持人:今天就是講壞的情形)
[00:00:51.200 --> 00:00:52.500]  (主持人:今天就講壞的情形)
[00:00:52.500 --> 00:00:54.500]  (主持人:有壞情形好消息才有用的嘛)
[00:00:54.500 --> 00:00:57.000]  (主持人:有壞情形好消息才有用的)
[00:00:57.000 --> 00:00:59.500]  (主持人:各位聽眾知道這很重要,救恩啊)
[00:00:59.500 --> 00:01:04.700]  (主持人:我們傳福音是傳救恩,傳救恩就是好消息)
[00:01:04.700 --> 00:01:07.700]  (主持人:那我們傳救恩是好消息)
[00:01:07.700 --> 00:01:10.100]  (主持人:那麼你一定要在好消息之前)
[00:01:10.100 --> 00:01:12.500]  (主持人:究竟有什麼禍事才有好消息嘛)
[00:01:12.500 --> 00:01:18.500]  (主持人:如果沒有禍事好消息是沒有用的)
[00:01:18.500 --> 00:01:20.500]  (主持人:沒有禍那好消息就沒有用)
[00:01:20.500 --> 00:01:22.500]  (主持人:所以各位聽眾要傳福音啊)
[00:01:22.500 --> 00:01:27.500]  (主持人:福音是三話啊,好消息啊對不對)
[00:01:27.500 --> 00:01:30.500]  (主持人:福音是等於好消息)
[00:01:30.500 --> 00:01:33.500]  (主持人:那麼應該先問有什麼壞消息吧)
[00:01:33.500 --> 00:01:37.500]  (主持人:如果沒有講壞消息好消息是沒有作用的)
[00:01:37.500 --> 00:01:41.500]  (主持人:所以各位聽眾問你今天傳福音啊)
[00:01:41.500 --> 00:01:44.500]  (主持人:傳好消息啊)
[00:01:44.500 --> 00:01:46.500]  (主持人:如果你不講壞消息啊)
[00:01:46.500 --> 00:01:48.500]  (主持人:好消息是沒有作用的)
[00:01:48.500 --> 00:01:50.500]  (主持人:好消息是沒有作用的)
[00:01:50.500 --> 00:01:54.500]  (主持人:就是說那個醫生啊,他幫你治療癌症)
[00:01:54.500 --> 00:01:56.500]  (主持人:就是那個醫生幫你治療癌症)
[00:01:56.500 --> 00:01:57.500]  (主持人:幫你開刀的嘛)
[00:01:57.500 --> 00:01:58.500]  (主持人:幫你去刀)
[00:01:58.500 --> 00:02:01.500]  (主持人:你一定知道自己患了絕症開刀才有用的)
[00:02:01.500 --> 00:02:03.500]  (主持人:你看自己患了絕症才有用)
[00:02:03.500 --> 00:02:05.500]  (主持人:你不講絕症我只講開刀)
[00:02:05.500 --> 00:02:07.500]  (主持人:你如果不講絕症只講開刀)
[00:02:07.500 --> 00:02:11.500]  (主持人:那是一個不完全的報導來的)
[00:02:11.500 --> 00:02:13.500]  (主持人:那是一個不完全的報導)
[00:02:13.500 --> 00:02:21.500]  (主持人:那我們今天是講究竟以色列有些什麼壞的情況呢)
[00:02:21.500 --> 00:02:29.500]  (主持人:剛才阿祖幫我們讀了列王陛下六章二十四到三十三節)
[00:02:29.500 --> 00:02:31.500]  (主持人:我的序言就是說)
[00:02:31.500 --> 00:02:40.500]  (主持人:以色列和它旁邊的鄰國,北邊的鄰國阿倫一向不和)
[00:02:40.500 --> 00:02:43.500]  (主持人:在第五章,列王陛下第五章)
[00:02:43.500 --> 00:02:46.500]  (主持人:我們的經文已經是碰到這個國家的了)
[00:02:46.500 --> 00:02:57.500]  (主持人:因為乃萬就是這個國家的大元帥)
[00:02:57.500 --> 00:03:05.500]  (主持人:從五章以下我們知道阿倫是屢屢侵犯以色列的境的)
[00:03:05.500 --> 00:03:12.500]  (主持人:所以我們從五章二節開始就知道阿倫是屢次侵犯以色列的土地)
[00:03:12.500 --> 00:03:15.500]  (主持人:但是這個國家是國與國之間是怎樣來相處呢)
[00:03:15.500 --> 00:03:18.500]  (主持人:就國與國之間怎麼相處呢)
[00:03:18.500 --> 00:03:23.500]  (主持人:像水滸卷的草扣)
[00:03:23.500 --> 00:03:26.500]  (主持人:有點像水滸卷裡面的草扣)
[00:03:26.500 --> 00:03:30.500]  (主持人:你偷我的東西我偷你的東西,你搶我的東西我搶你的東西)
[00:03:30.500 --> 00:03:34.500]  (主持人:你偷我的東西我偷你的東西,你搶我的東西我搶你的東西)
[00:03:34.500 --> 00:03:36.500]  (主持人:那些小女子呢)
[00:03:36.500 --> 00:03:37.500]  (主持人:那些小女子呢)
[00:03:37.500 --> 00:03:40.500]  (主持人:你看到乃萬的家裡有個小女子)
[00:03:40.500 --> 00:03:41.500]  (主持人:就是在哪裡來的)
[00:03:41.500 --> 00:03:47.500]  (主持人:就是以色列的女子被阿蘭軍進去以色列那裡搶回來的)
[00:03:47.500 --> 00:03:54.500]  (主持人:那你就知道乃萬家的小女子就是亞蘭軍從以色列那裡搶來的)
[00:03:54.500 --> 00:03:58.500]  (主持人:結果在乃萬的家裡女僕)
