
[00:00:00.000 --> 00:00:01.680]  早晨,各位弟兄姊妹
[00:00:01.680 --> 00:00:03.960]  早晨
[00:00:03.960 --> 00:00:07.300]  今天我早晨不會說國語的
[00:00:07.300 --> 00:00:11.740]  很感謝神的恩典
[00:00:11.740 --> 00:00:16.580]  讓我真的有機會和大家一起去敬拜和分享信息
[00:00:16.580 --> 00:00:20.500]  剛才在下面的時候
[00:00:20.500 --> 00:00:22.300]  光牧師給了我一個鼓勵
[00:00:22.300 --> 00:00:24.300]  我就說
[00:00:24.300 --> 00:00:29.820]  我也是第一次在禦堂來分享神的信息的時候
[00:00:30.500 --> 00:00:31.880]  我也有一點點害怕
[00:00:31.880 --> 00:00:35.400]  光牧師就說
[00:00:35.400 --> 00:00:37.540]  恩全的弟兄姊妹很好
[00:00:37.540 --> 00:00:38.620]  他們很愛神
[00:00:38.620 --> 00:00:41.300]  雖然你是一個小僕人
[00:00:41.300 --> 00:00:43.440]  不過他們也一樣很愛你
[00:00:43.440 --> 00:00:46.100]  多謝大家
[00:00:46.100 --> 00:00:50.200]  似乎今早的話題都是圍繞著天氣
[00:00:50.200 --> 00:00:52.320]  過夏天
[00:00:52.320 --> 00:00:54.100]  開學
[00:00:54.100 --> 00:00:55.560]  秋天就到了
[00:00:55.560 --> 00:00:59.040]  不如我們回顧一下我們的夏天好不好
[00:00:59.400 --> 00:01:00.240]  過得好不好
[00:01:00.240 --> 00:01:04.600]  加拿大的夏天當然美麗了
[00:01:04.600 --> 00:01:06.300]  藍天白雲
[00:01:06.300 --> 00:01:07.800]  開心嗎
[00:01:07.800 --> 00:01:09.600]  開心啦
[00:01:09.600 --> 00:01:11.400]  很開心有這麼好的天氣
[00:01:11.400 --> 00:01:15.400]  神的恩典讓我們在加拿大裡面生活相當好
[00:01:15.400 --> 00:01:18.400]  如果我們回顧這個月的時候
[00:01:18.400 --> 00:01:20.200]  或者兩個月的時候
[00:01:20.200 --> 00:01:22.080]  整個夏天的時候
[00:01:22.080 --> 00:01:23.700]  我們做過些什麼
[00:01:26.100 --> 00:01:29.440]  有沒有按照神的吩咐
[00:01:29.440 --> 00:01:30.700]  祂的期望
[00:01:30.700 --> 00:01:32.240]  我們去行事呢
[00:01:32.240 --> 00:01:36.340]  又知不知道祂對我們的
[00:01:36.340 --> 00:01:38.640]  使命人生是些什麼來的
[00:01:38.640 --> 00:01:41.200]  可能我們都
[00:01:41.200 --> 00:01:43.000]  很多時候都會去
[00:01:43.000 --> 00:01:44.780]  問一問
[00:01:44.780 --> 00:01:50.160]  我記得我小時候家裡有個月日曆
[00:01:50.160 --> 00:01:51.180]  是撕的
[00:01:51.180 --> 00:01:53.240]  每日撕一次
[00:01:53.240 --> 00:01:54.000]  有沒有啊
[00:01:54.780 --> 00:01:56.320]  撕到九月呢
[00:01:56.320 --> 00:01:57.340]  就差不多都
[00:01:57.340 --> 00:01:58.620]  剩下少少的了
[00:01:58.620 --> 00:02:01.180]  一大部分都撕掉了
[00:02:01.180 --> 00:02:03.240]  上面有一格格
[00:02:03.240 --> 00:02:04.260]  就是那個月
[00:02:04.260 --> 00:02:07.080]  好像年曆那樣
[00:02:07.080 --> 00:02:09.880]  上面那一格,下面又撕
[00:02:09.880 --> 00:02:11.420]  上面那一格講了
[00:02:11.420 --> 00:02:13.220]  那個年的日子
[00:02:13.220 --> 00:02:17.560]  我記得在私人這樣講,祂說
[00:02:17.560 --> 00:02:19.600]  求祢指教我們
[00:02:19.600 --> 00:02:21.660]  怎樣去數算自己的日子
[00:02:21.660 --> 00:02:24.480]  這樣我們得到智慧
[00:02:25.760 --> 00:02:28.060]  智慧其實是一個
[00:02:28.060 --> 00:02:30.120]  敬畏神的心來的
[00:02:30.120 --> 00:02:33.180]  有了這個敬畏神的心
[00:02:33.180 --> 00:02:37.020]  我們其實是過著一個蒙福
[00:02:37.020 --> 00:02:39.840]  和一個欣典的人生
