
[00:00:00.000 --> 00:00:03.440]  如果大家能夠回到過去
[00:00:03.440 --> 00:00:09.000]  可以讓你改變一個曾經發生過的事情
[00:00:09.000 --> 00:00:12.920]  你會不會有一件事情過去發生了
[00:00:12.920 --> 00:00:16.040]  你想改變的
[00:00:16.040 --> 00:00:19.800]  或者可能是一些你不應該做,但做了
[00:00:19.800 --> 00:00:23.320]  又或者是一些你應該做,但你沒有做
[00:00:23.320 --> 00:00:24.440]  有沒有?
[00:00:24.440 --> 00:00:27.480]  還是不止一件,是很多件
[00:00:27.480 --> 00:00:31.800]  人總是在我們生命的歷程裏面
[00:00:31.800 --> 00:00:33.560]  總是發生過一些事情
[00:00:33.560 --> 00:00:38.840]  我們希望可以像粉筆字一樣,抹去搞定
[00:00:38.840 --> 00:00:42.480]  哎呀,如果我那天有向他道歉就好了
[00:00:42.480 --> 00:00:45.240]  哎呀,如果我那天沒那麼天真
[00:00:45.240 --> 00:00:48.800]  聽了那些虛假的理想的欺騙就好了
[00:00:48.800 --> 00:00:52.280]  如果我能夠花多點時間給我的子女就好了
[00:00:52.280 --> 00:00:53.960]  如果我那天夠勇氣
[00:00:53.960 --> 00:00:57.160]  約那個我心儀的女士出街就好了
[00:00:57.160 --> 00:01:04.200]  又或者,哎呀,如果我那天沒打電話約她出來就好了
[00:01:04.200 --> 00:01:08.480]  人生中有很多如果
[00:01:08.480 --> 00:01:13.840]  而這些如果,假如我們沒有適當處理它們的話
[00:01:13.840 --> 00:01:18.720]  這些如果很多時會慢慢侵蝕我們的生命
[00:01:18.720 --> 00:01:20.720]  慢慢這些如果
[00:01:20.720 --> 00:01:24.320]  會令我們陷入無窮無盡的後悔
[00:01:24.320 --> 00:01:28.640]  自責無助甚至是抑鬱
[00:01:28.640 --> 00:01:32.200]  大家現在,或者曾經
[00:01:32.200 --> 00:01:34.840]  有沒有試過這樣的狀況
[00:01:34.840 --> 00:01:36.760]  無論我覺得你有了還是沒有
[00:01:36.760 --> 00:01:39.360]  我覺得我們都可以在今天保羅
[00:01:39.360 --> 00:01:41.800]  去用他自己個人的經驗
[00:01:41.800 --> 00:01:44.360]  以及在今天經文所講的教導裏面
[00:01:44.360 --> 00:01:46.880]  讓我們可以學到功課如何克服
[00:01:46.880 --> 00:01:48.680]  在我們人生的歷程裏面
[00:01:48.680 --> 00:01:53.400]  總是不時會浮現的一些負面情緒
[00:01:53.400 --> 00:01:56.440]  我們如何才可以克服這些負面情緒
[00:01:56.440 --> 00:02:03.000]  來面對我們積極地面對我們的人生呢
[00:02:03.000 --> 00:02:05.520]  我這樣問大家,你覺得
[00:02:05.520 --> 00:02:09.880]  保羅在他的人生裏面,他有沒有後悔呢
[00:02:09.880 --> 00:02:11.640]  保羅是一個率領的強人
[00:02:11.640 --> 00:02:13.840]  究竟他望回頭的人生
[00:02:13.840 --> 00:02:17.600]  有沒有後悔感到遺憾的事情呢
[00:02:17.600 --> 00:02:21.000]  有沒有,當然有了,是不是
[00:02:21.000 --> 00:02:25.680]  他自己講的,弟兄們,我不是以為自己已經得著了
[00:02:25.680 --> 00:02:28.000]  我是有一件事情,就是什麼
[00:02:28.000 --> 00:02:32.680]  忘記背後努力面前,向著標竿直跑
[00:02:32.680 --> 00:02:38.120]  我們要問,究竟保羅有什麼事情這麼重要
[00:02:38.120 --> 00:02:42.440]  很希望忘記的
[00:02:42.440 --> 00:02:46.680]  也許大家都知道,在保羅成為基督徒之前
[00:02:46.680 --> 00:02:53.360]  聖經特別在《使徒行傳》裏面,告訴我們
[00:02:53.360 --> 00:02:56.200]  當時第一個殉道的信徒是誰
[00:02:56.200 --> 00:02:57.360]  是史提反
[00:02:57.360 --> 00:03:02.960]  史提反當時是被憤怒的群眾用石頭打死的
[00:03:02.960 --> 00:03:08.000]  雖然當時保羅沒有其中一個拿起石頭來打死史提反
[00:03:08.000 --> 00:03:15.640]  但是經文告訴我們,蘇羅是喜悅史提反的被害
[00:03:15.640 --> 00:03:19.440]  不僅如此,他還殘害教會逐家逐匯
[00:03:19.440 --> 00:03:22.520]  拘捕男女,下載監獄
[00:03:22.520 --> 00:03:26.440]  他積極到一個這樣的地步
[00:03:26.440 --> 00:03:30.760]  你猜保羅回頭回想這些事情
[00:03:30.760 --> 00:03:34.480]  回顧一年之後的這些情景
[00:03:34.480 --> 00:03:38.000]  你猜他還記不記得呢
[00:03:38.000 --> 00:03:40.520]  有一次,又是特朗普
[00:03:40.520 --> 00:03:44.720]  特朗普去老人院做訪問
[00:03:44.720 --> 00:03:49.360]  見到每一個院友都熱衷地跟他們握手
[00:03:49.360 --> 00:03:51.920]  接著問其中一個院友
[00:03:51.920 --> 00:03:53.440]  「你知不知道我是誰?」
[00:03:53.440 --> 00:03:56.520]  你知道他的面孔,「你知不知道我是誰?」
[00:03:56.520 --> 00:03:58.440]  那個院友看著他一陣子就說
[00:03:58.440 --> 00:04:00.200]  「對不起,我真的不知道你是誰」
[00:04:00.200 --> 00:04:04.400]  「不過不要緊,你門口的護士是有記錄的」
[00:04:04.400 --> 00:04:08.040]  「你問他,他就知道你是誰」
[00:04:08.040 --> 00:04:12.400]  我不相信保羅會忘記了
[00:04:12.400 --> 00:04:16.760]  當日他殘害信徒的面孔
[00:04:16.760 --> 00:04:21.640]  我也不相信當他拘捕信徒男女
[00:04:21.640 --> 00:04:25.440]  拘捕他們,下載監獄的時候
[00:04:25.440 --> 00:04:26.880]  大家可以想像
[00:04:26.880 --> 00:04:28.800]  那些被拘捕的男女
[00:04:28.800 --> 00:04:29.960]  他們有兒女
[00:04:29.960 --> 00:04:32.520]  他們的兒女很可能當時是哭哭啼啼
[00:04:32.520 --> 00:04:34.280]  拉拉扯扯
[00:04:34.280 --> 00:04:36.720]  我不相信保羅回頭看的時候
[00:04:36.720 --> 00:04:40.080]  這些哭啼啼的聲音他會忘記
[00:04:40.080 --> 00:04:44.920]  我也不相信保羅不記得
[00:04:44.920 --> 00:04:49.840]  當日史提反被石頭打死的每一幕
[00:04:49.840 --> 00:04:51.240]  我甚至相信
[00:04:51.240 --> 00:04:53.920]  他們都記得清清楚楚
[00:04:53.920 --> 00:04:56.440]  史提反最後的禱告
[00:04:56.440 --> 00:04:58.480]  史提反被石頭打死的時候
[00:04:58.480 --> 00:04:59.280]  他們怎樣禱告
[00:04:59.280 --> 00:05:00.240]  史提反說
[00:05:00.240 --> 00:05:04.160]  「主耶穌,求祢接收我的靈魂」
[00:05:04.160 --> 00:05:07.760]  「主耶穌,不要將這個罪歸給這一幫人」
[00:05:07.760 --> 00:05:10.160]  說完這番話就斷氣
