
[00:00:00.000 --> 00:00:02.000]  各位大英千萬平安
[00:00:02.000 --> 00:00:08.000]  很難得我可以在這裏聽到粵曲盛事
[00:00:08.000 --> 00:00:13.000]  我退休之後就是在不同的教會廣場到處去
[00:00:13.000 --> 00:00:17.000]  聽粵曲盛事還是第一次?
[00:00:17.000 --> 00:00:20.000]  是呀,是呀,我去過不同的教會
[00:00:20.000 --> 00:00:23.000]  第一次聽粵曲
[00:00:23.000 --> 00:00:27.000]  讚美祖帶我們很好的試歌
[00:00:27.000 --> 00:00:31.000]  感謝主,感謝貴教會給我們機會
[00:00:31.000 --> 00:00:35.000]  跟大家一起敬拜,分享上帝的話語
[00:00:35.000 --> 00:00:38.000]  多謝張牧師的安排
[00:00:38.000 --> 00:00:41.000]  我們做一個簡單的禱告開始
[00:00:41.000 --> 00:00:44.000]  慈愛的恩主,我們在天上亞伯父
[00:00:44.000 --> 00:00:47.000]  我們感謝你的恩典
[00:00:47.000 --> 00:00:50.000]  感謝你今天招聚我們一群屬你的人
[00:00:50.000 --> 00:00:52.000]  一起在殿中來敬拜你
[00:00:52.000 --> 00:00:55.000]  在這個時刻,你卑微的僕人向你祈求
[00:00:55.000 --> 00:00:58.000]  願你將港台分別為聖
[00:00:58.000 --> 00:01:00.000]  讓你卑微的僕人
[00:01:00.000 --> 00:01:03.000]  可以按照正義來分解真理的毒
[00:01:03.000 --> 00:01:06.000]  奉主耶穌基督的聖名禱告
[00:01:06.000 --> 00:01:12.000]  首先,我想恭祝大家
[00:01:12.000 --> 00:01:16.000]  這些堂慶,教會堂慶
[00:01:16.000 --> 00:01:19.000]  剛剛上個月,雖然過了一些時間
[00:01:19.000 --> 00:01:22.000]  還有有執事的案立
[00:01:22.000 --> 00:01:25.000]  非常之好
[00:01:25.000 --> 00:01:28.000]  因為我有這個機會
[00:01:28.000 --> 00:01:31.000]  張牧師邀請我去看你們的執事
[00:01:31.000 --> 00:01:34.000]  面試的時候,是有得參與
[00:01:34.000 --> 00:01:38.000]  所以都覺得很難得的一件事
[00:01:38.000 --> 00:01:43.000]  所以在這裡,恭祝這個教會
[00:01:43.000 --> 00:01:49.000]  周年慶和又多了一位忠心良善的僕人
[00:01:49.000 --> 00:01:53.000]  兩位和使女在教會當中服侍
[00:01:53.000 --> 00:01:55.000]  感謝主
[00:01:55.000 --> 00:02:00.000]  今天趁著剛剛過了一個月多一點
[00:02:00.000 --> 00:02:03.000]  趁著大家還有新鮮感
[00:02:03.000 --> 00:02:06.000]  堂慶和案立
[00:02:06.000 --> 00:02:09.000]  今天跟大家分享一個題目
[00:02:09.000 --> 00:02:13.000]  叫做「愛的呼召與服侍」
[00:02:13.000 --> 00:02:17.000]  可以這樣說
[00:02:17.000 --> 00:02:19.000]  如果沒有呼召
[00:02:19.000 --> 00:02:22.000]  我們一切的服侍、一切所做的
[00:02:22.000 --> 00:02:26.000]  是枉然牢牢、白做
[00:02:26.000 --> 00:02:28.000]  為什麼這樣說呢?
[00:02:28.000 --> 00:02:31.000]  從剛剛大家所讀到的一段經文
[00:02:31.000 --> 00:02:33.000]  耶穌也有說
[00:02:33.000 --> 00:02:35.000]  有些人說奉祂的名,去做很多事
[00:02:35.000 --> 00:02:37.000]  耶穌說我不認識你
[00:02:37.000 --> 00:02:39.000]  你可不可以想像得到
[00:02:39.000 --> 00:02:41.000]  如果我們當中有位
[00:02:41.000 --> 00:02:46.000]  真的很有恩賜的弟兄也好,姐妹也好
[00:02:46.000 --> 00:02:48.000]  我不可以說只有弟兄
[00:02:48.000 --> 00:02:51.000]  真的又能夠趕鬼
[00:02:51.000 --> 00:02:53.000]  竟然到最後耶穌說不認識
[00:02:53.000 --> 00:02:56.000]  真的很難想像
[00:02:56.000 --> 00:02:59.000]  所以今天要跟大家說一說
[00:02:59.000 --> 00:03:02.000]  呼召與服侍之間
[00:03:02.000 --> 00:03:05.000]  有一個很重要的意義在當中
[00:03:05.000 --> 00:03:09.000]  可以說
[00:03:09.000 --> 00:03:14.000]  呼召是一切服侍的根本
[00:03:14.000 --> 00:03:16.000]  一切的服侍的根本
[00:03:16.000 --> 00:03:19.000]  呼召這個詞
[00:03:19.000 --> 00:03:22.000]  應該對教會的人不陌生
[00:03:22.000 --> 00:03:25.000]  甚至很多人時時都會用這個詞
[00:03:25.000 --> 00:03:28.000]  上帝呼召我做什麼、下呼召我做什麼
[00:03:28.000 --> 00:03:33.000]  但是對呼召的意義有深入的去探求
[00:03:33.000 --> 00:03:37.000]  去認識、了解的人就不多了
[00:03:37.000 --> 00:03:39.000]  但是
[00:03:39.000 --> 00:03:42.000]  這個呼召與我們的服侍
[00:03:42.000 --> 00:03:45.000]  其實是息息相關的
[00:03:45.000 --> 00:03:48.000]  我們剛剛才說
[00:03:48.000 --> 00:03:51.000]  上個月你們
[00:03:51.000 --> 00:03:53.000]  安立了執事
[00:03:53.000 --> 00:03:55.000]  執事還沒安立之前
[00:03:55.000 --> 00:03:57.000]  就要給弟兄機會選出來
[00:03:57.000 --> 00:03:59.000]  我不知道貴教會是不是每年
[00:03:59.000 --> 00:04:04.000]  都有一些選一些服侍的弟兄姐妹
[00:04:04.000 --> 00:04:06.000]  可能你是被大家推選
[00:04:06.000 --> 00:04:09.000]  來做某一方面的服侍
[00:04:09.000 --> 00:04:11.000]  或者有可能
[00:04:11.000 --> 00:04:14.000]  你有個朋友在某一方面的服侍
[00:04:14.000 --> 00:04:16.000]  很需要人手幫忙
[00:04:16.000 --> 00:04:17.000]  你來幫我吧
[00:04:17.000 --> 00:04:19.000]  我對著一班小孩
[00:04:19.000 --> 00:04:22.000]  手忙腳亂
[00:04:22.000 --> 00:04:23.000]  多一個人來幫忙
[00:04:23.000 --> 00:04:25.000]  你又喜歡小孩
[00:04:25.000 --> 00:04:28.000]  勉為其難又幫他吧
[00:04:28.000 --> 00:04:30.000]  這是好事
[00:04:30.000 --> 00:04:32.000]  又或者
[00:04:32.000 --> 00:04:34.000]  在某一方面
[00:04:34.000 --> 00:04:36.000]  我很有興趣
[00:04:36.000 --> 00:04:38.000]  特別是音樂那些
[00:04:38.000 --> 00:04:40.000]  喜歡唱歌
[00:04:40.000 --> 00:04:42.000]  在音樂上服侍
[00:04:42.000 --> 00:04:44.000]  真的很有得著
[00:04:44.000 --> 00:04:47.000]  心裡很有滿足感
[00:04:47.000 --> 00:04:50.000]  再加上有人稱讚我
[00:04:50.000 --> 00:04:52.000]  更加覺得這種服侍
[00:04:52.000 --> 00:04:54.000]  很有自私
[00:04:54.000 --> 00:04:58.000]  這些都是很好
[00:04:58.000 --> 00:04:59.000]  不過我想說
[00:04:59.000 --> 00:05:01.000]  這些可以成為
[00:05:01.000 --> 00:05:03.000]  我們呼召的印證
[00:05:03.000 --> 00:05:05.000]  卻不是呼召的本身
[00:05:05.000 --> 00:05:07.000]  什麼意思呢
[00:05:07.000 --> 00:05:10.000]  這些不是呼召的本身
[00:05:10.000 --> 00:05:12.000]  是的
[00:05:12.000 --> 00:05:17.000]  因為呼召
[00:05:17.000 --> 00:05:19.000]  真的很特別
[00:05:19.000 --> 00:05:21.000]  如果沒有呼召
[00:05:21.000 --> 00:05:24.000]  我們所做的一切聖功
[00:05:24.000 --> 00:05:26.000]  即使對教會的聖功
[00:05:26.000 --> 00:05:29.000]  很有貢獻也不一定
[00:05:29.000 --> 00:05:32.000]  但這也不一定是呼召
[00:05:32.000 --> 00:05:34.000]  甚至可能有一天
[00:05:34.000 --> 00:05:35.000]  見主面的時候
[00:05:35.000 --> 00:05:37.000]  我又派你去做什麼
[00:05:37.000 --> 00:05:38.000]  我不認識你
[00:05:38.000 --> 00:05:39.000]  如果是這樣
[00:05:39.000 --> 00:05:42.000]  真是一個很大的悲劇
[00:05:42.000 --> 00:05:45.000]  你一生放了很多努力在當中
[00:05:45.000 --> 00:05:46.000]  這就是剛才
[00:05:46.000 --> 00:05:49.000]  大家讀過的一段經文
[00:05:49.000 --> 00:05:51.000]  如果不是主的呼召
[00:05:51.000 --> 00:05:54.000]  主不認識我們的服侍
[00:05:54.000 --> 00:05:57.000]  剛才大家讀過這段經文
[00:05:57.000 --> 00:06:00.000]  凡稱呼我主啊主啊的人
[00:06:00.000 --> 00:06:03.000]  不能都進天國
[00:06:03.000 --> 00:06:06.000]  唯獨遵行我父子義的人才能進去
[00:06:06.000 --> 00:06:09.000]  當那日必有很多人對我說
