
[00:00:00.000 --> 00:00:04.200]  上個禮拜我們是從很多舊約方面在看宣教
[00:00:04.200 --> 00:00:07.000]  那今天我是想從新約
[00:00:07.000 --> 00:00:10.300]  從保羅這個宣教王子的身上
[00:00:10.300 --> 00:00:12.600]  我們來看保羅的一生
[00:00:12.600 --> 00:00:15.000]  看他為我們留下什麼榜樣
[00:00:15.000 --> 00:00:17.200]  他的教導和他的出生
[00:00:17.200 --> 00:00:18.600]  他的背景
[00:00:18.600 --> 00:00:20.600]  還有他成長的過程
[00:00:20.600 --> 00:00:22.700]  信主前 信主後
[00:00:22.700 --> 00:00:25.700]  還有一直到他生命的結束
[00:00:25.700 --> 00:00:27.400]  我們來看看保羅
[00:00:27.400 --> 00:00:32.300]  看到他 保羅 是如何的對神和神的果
[00:00:32.300 --> 00:00:35.300]  是如何的執著和忠心
[00:00:35.300 --> 00:00:38.400]  讓我們低頭禱告
[00:00:38.400 --> 00:00:40.500]  親愛的天父主耶穌聖尼保佑之我們
[00:00:40.500 --> 00:00:43.200]  實在再一次的來到祢面前
[00:00:43.200 --> 00:00:45.900]  主啊 禱告從來不嫌多
[00:00:45.900 --> 00:00:48.000]  主啊 我們要再一次的來到祢面前
[00:00:48.000 --> 00:00:49.600]  向主祢來禱告
[00:00:49.600 --> 00:00:52.900]  主啊 我們正是看到從亞伯拉罕一路下來
[00:00:52.900 --> 00:00:58.700]  祢都讓我們看到主 祢自己對宣教的這個胸懷
[00:00:58.700 --> 00:01:04.500]  祢真是要願福音都能夠傳到萬國與萬邦
[00:01:04.500 --> 00:01:05.800]  我們謝謝祢
[00:01:05.800 --> 00:01:08.900]  所以說我們再一次的為我們弟兄姊妹來祈禱
[00:01:08.900 --> 00:01:11.500]  就如上禮拜七媽媽說的
[00:01:11.500 --> 00:01:14.400]  就像一隻鮭魚生下來的蛋
[00:01:14.400 --> 00:01:15.800]  千千萬萬
[00:01:15.800 --> 00:01:18.600]  我們每一個人都要有ability
[00:01:18.600 --> 00:01:22.400]  像鮭魚一樣的願意來傳福音
[00:01:22.400 --> 00:01:28.700]  我們每一個人都應該是能夠成為宣教工廠上的勇士
[00:01:28.700 --> 00:01:31.900]  謝謝祢主耶穌帶領我們保守我們
[00:01:31.900 --> 00:01:35.400]  讓我們真的是能夠活出主祢的美好
[00:01:35.400 --> 00:01:36.500]  謝謝主耶穌
[00:01:36.500 --> 00:01:40.100]  我們感恩禱告奉耶穌的名
[00:01:40.100 --> 00:01:41.600]  Amen
[00:01:41.600 --> 00:01:44.000]  那我剛才講到保羅
[00:01:44.000 --> 00:01:48.600]  保羅他其實是一個變亞敏支派的法利賽人
[00:01:48.600 --> 00:01:51.700]  他本來的名字叫做掃羅
[00:01:51.700 --> 00:01:55.200]  那他是生在基地加的大樹城
[00:01:55.200 --> 00:01:56.600]  在保羅的時代
[00:01:56.600 --> 00:02:00.300]  大樹已經是一個商業文化宗教中心
[00:02:00.300 --> 00:02:03.600]  非常的興盛繁榮
[00:02:03.600 --> 00:02:06.100]  那當時猶太的文化
[00:02:06.100 --> 00:02:08.000]  在猶太人的文化裡面
[00:02:08.000 --> 00:02:12.400]  年輕人他們都一定要學一些職業上的技能
[00:02:12.400 --> 00:02:15.900]  然後猶太人有一句名言
[00:02:15.900 --> 00:02:21.400]  他說如果你沒有教你的孩子學一個技能的話
[00:02:21.400 --> 00:02:24.000]  你就是鼓勵他長大去做賊
[00:02:24.000 --> 00:02:25.200]  同
[00:02:25.200 --> 00:02:26.700]  所以保羅呢
[00:02:26.700 --> 00:02:30.600]  神其實在很早以前
[00:02:30.600 --> 00:02:32.500]  其實我們也是一樣
[00:02:32.500 --> 00:02:35.400]  在我們根本都沒有出母腹之前
[00:02:35.400 --> 00:02:36.800]  神已經認識我們
[00:02:36.800 --> 00:02:38.700]  為我們預備好我們的一生
[00:02:38.700 --> 00:02:41.300]  所以保羅他選什麼
[00:02:41.300 --> 00:02:42.900]  他選織帳篷
[00:02:42.900 --> 00:02:47.000]  保羅是選織帳篷是他的技能
[00:02:47.000 --> 00:02:51.900]  他用那個黑山羊毛跟初步織造的帳篷
[00:02:51.900 --> 00:02:53.300]  這是他的技能
[00:02:53.300 --> 00:02:55.000]  那因為他有這個技能
[00:02:55.000 --> 00:02:58.200]  所以後來他在哥林多的時候
[00:02:58.200 --> 00:03:00.800]  他就碰到了百駒拉跟雅駒拉
[00:03:00.800 --> 00:03:06.700]  這個百駒拉跟雅駒拉是非常愛主的一對夫婦
[00:03:06.700 --> 00:03:11.300]  我們常常用教會裡面愛主的夫婦來形容說
[00:03:11.300 --> 00:03:15.300]  這是我們教會裡面的雅駒拉跟百駒拉
[00:03:15.300 --> 00:03:17.000]  所以保羅在哥林多的時候
[00:03:17.000 --> 00:03:19.200]  他碰到雅駒拉跟百駒拉
[00:03:19.200 --> 00:03:22.400]  他就跟著他們一起住在一起
[00:03:22.400 --> 00:03:23.800]  跟他們一起工作
[00:03:23.800 --> 00:03:26.100]  跟他們一起同工來建造
[00:03:26.100 --> 00:03:28.100]  後來就因為這個關係
[00:03:28.100 --> 00:03:30.900]  就建造出他們宣教的情誼
[00:03:30.900 --> 00:03:32.600]  一路這樣走下去
[00:03:32.600 --> 00:03:35.800]  那保羅其實他在很年輕的時候
[00:03:35.800 --> 00:03:37.800]  他就在加瑪列的門下
[00:03:37.800 --> 00:03:38.800]  他在加瑪列的門下
[00:03:38.800 --> 00:03:43.700]  而且他按著猶太人很嚴謹的律法受教
[00:03:43.700 --> 00:03:48.000]  他受教 猶太人本來就是很嚴謹的
[00:03:48.000 --> 00:03:52.400]  而且保羅他是一個熱心侍奉神的人
[00:03:52.400 --> 00:03:54.100]  所以在加瑪列
[00:03:54.100 --> 00:03:55.800]  那這個加瑪列這個人
[00:03:55.800 --> 00:03:57.400]  其實你去聖經看他
[00:03:57.400 --> 00:04:01.700]  他其實是在歷史上一個很有名的律法師
[00:04:01.700 --> 00:04:05.200]  他也是當那個時代
[00:04:05.200 --> 00:04:11.200]  猶太人最高宗教管理的猶太公會裡面的成員
[00:04:11.200 --> 00:04:14.000]  我們要一口氣把他背出來這個東西
[00:04:14.000 --> 00:04:18.000]  那保羅他的 其實保羅他的學歷
[00:04:18.000 --> 00:04:21.700]  相當於現在的耶魯大學 哈佛大學
