
[00:00:00.000 --> 00:00:04.600]  我想這段時間大家可能這一個禮拜
[00:00:04.600 --> 00:00:08.960]  都被這個阿富汗的新聞非常的震驚啊
[00:00:08.960 --> 00:00:16.120]  你看特別是看到這個飛機
[00:00:16.120 --> 00:00:18.680]  已經起飛了
[00:00:18.680 --> 00:00:20.980]  還有人在扒在那個上面
[00:00:20.980 --> 00:00:22.520]  然後呢就這樣子
[00:00:22.520 --> 00:00:25.860]  就從這個飛機上面掉下來
[00:00:28.920 --> 00:00:32.000]  看到這件事情就覺得真是人間悲劇
[00:00:32.000 --> 00:00:34.560]  還有不知道多少人
[00:00:34.560 --> 00:00:37.120]  是我們沒有看到的 新聞沒有報出來的
[00:00:37.120 --> 00:00:42.480]  當我看到這件事情的時候我就在思想
[00:00:42.480 --> 00:00:44.800]  這個末世
[00:00:44.800 --> 00:00:47.600]  主再來之前 聖經上說的
[00:00:47.600 --> 00:00:49.920]  不法的事漸漸增多
[00:00:49.920 --> 00:00:51.200]  是不是
[00:00:51.200 --> 00:00:52.480]  不法的事情
[00:00:52.480 --> 00:00:54.000]  罪惡的事情
[00:00:54.000 --> 00:00:57.080]  這些苦難的事情越來越多
[00:00:58.360 --> 00:01:02.960]  我們大家全世界的人都在爲着這個疫情在那邊 好像覺得在喫苦
[00:01:02.960 --> 00:01:05.520]  但是我們卻不斷地看見
[00:01:05.520 --> 00:01:08.600]  前一段時間是這個緬甸 是不是
[00:01:08.600 --> 00:01:10.900]  好像現在又來這個阿富汗
[00:01:10.900 --> 00:01:13.980]  哎呀 我們就看見這個世界
[00:01:13.980 --> 00:01:15.760]  動亂越來越多
[00:01:15.760 --> 00:01:18.840]  這豈不是再次提醒我們
[00:01:18.840 --> 00:01:20.640]  主來的日子近了嗎
[00:01:27.280 --> 00:01:28.820]  在這個末後的世代
[00:01:28.820 --> 00:01:32.400]  你可以看見罪惡越來越多
[00:01:32.400 --> 00:01:34.200]  另外一方面
[00:01:34.200 --> 00:01:36.240]  不公不義的事情
[00:01:36.240 --> 00:01:37.780]  也越來越普遍
[00:01:37.780 --> 00:01:41.100]  在今年六月的時候
[00:01:41.100 --> 00:01:44.180]  有個新聞很快出現
[00:01:44.180 --> 00:01:45.720]  但是也很快就沒有了
[00:01:45.720 --> 00:01:49.560]  也許我們不是主流的這些
[00:01:49.560 --> 00:01:51.340]  這個社會的人
[00:01:51.340 --> 00:01:53.400]  我們沒有這麼強烈的感覺
[00:01:53.400 --> 00:01:56.980]  但是呢 事實上這件事情是一個
[00:01:57.740 --> 00:02:00.300]  轟動全美國的事情
[00:02:00.300 --> 00:02:02.860]  大家有看過這個天才老爹嗎
[00:02:02.860 --> 00:02:05.160]  看過對不對
[00:02:05.160 --> 00:02:10.040]  在美國人來講這是一個好像是
[00:02:10.040 --> 00:02:14.640]  可以說是他們稱他叫做美國的老爹了 已經不是天才老爹了
[00:02:14.640 --> 00:02:19.500]  就代表着一個好像是美國人的一個形象 可以說是一個代表
[00:02:19.500 --> 00:02:23.860]  他也曾經拿到這個平民當中最高的一個總統的勳章
[00:02:23.860 --> 00:02:26.420]  但是沒有想到
[00:02:27.180 --> 00:02:30.000]  他其實在2005年的時候就被爆發
[00:02:30.000 --> 00:02:31.280]  說他性侵
[00:02:31.280 --> 00:02:32.820]  陸陸續續
[00:02:32.820 --> 00:02:36.660]  已經有超過30多個婦女出來指控他
[00:02:36.660 --> 00:02:37.680]  說他性侵
[00:02:37.680 --> 00:02:41.000]  但是他被
[00:02:41.000 --> 00:02:44.840]  被關進監牢裏面之後 兩年之後突然
[00:02:44.840 --> 00:02:46.640]  賓州的最高法院
[00:02:46.640 --> 00:02:49.720]  就把他放出來了
[00:02:49.720 --> 00:02:52.020]  好了 細節我不講了
[00:02:55.600 --> 00:02:58.660]  那到底今天當我看到這些事情的時候
[00:02:58.660 --> 00:03:01.480]  我們要問 公理何在
[00:03:01.480 --> 00:03:06.600]  所以有句話說 公理自在人心
[00:03:06.600 --> 00:03:08.400]  惡人自有惡報
[00:03:08.400 --> 00:03:12.740]  其實這句話出現
[00:03:12.740 --> 00:03:14.280]  從哪裏來呢
[00:03:14.280 --> 00:03:18.120]  出在有一句話
[00:03:18.120 --> 00:03:22.980]  就是在宋朝的時候有一個
[00:03:22.980 --> 00:03:25.040]  有一個白
[00:03:26.580 --> 00:03:29.140]  薄還是破
[00:03:29.140 --> 00:03:30.660]  破宅篇
[00:03:30.660 --> 00:03:32.980]  他裏面講的這句話 他說
[00:03:32.980 --> 00:03:35.540]  以此之公論在人心
[00:03:35.540 --> 00:03:38.340]  無間於南北也
[00:03:38.340 --> 00:03:41.160]  他的意思就是說 公道公理
[00:03:41.160 --> 00:03:43.220]  就是在人民的眼睛
[00:03:43.220 --> 00:03:46.540]  人民大家都知道的 人的心裏面都知道的
[00:03:46.540 --> 00:03:50.640]  跟這個地理位置在南北沒有關係
[00:03:52.440 --> 00:03:57.300]  另外一個 明朝有一個書記 這一本書裏面也講了說
[00:03:57.300 --> 00:03:58.580]  全臣
[00:03:58.580 --> 00:04:05.760]  這叫什麼
[00:04:05.760 --> 00:04:13.180]  南闕彼 公道在人心
[00:04:13.180 --> 00:04:15.740]  所以不管是公道或者公理
[00:04:15.740 --> 00:04:17.020]  公論
[00:04:17.020 --> 00:04:18.300]  簡單的說
[00:04:18.300 --> 00:04:21.120]  其實他就是在講一件事情
[00:04:21.360 --> 00:04:24.180]  今天這個公道就在人心啊
[00:04:24.180 --> 00:04:27.500]  但是我要問你一個問題就是
[00:04:27.500 --> 00:04:29.800]  今天的公道在人心嗎
[00:04:29.800 --> 00:04:31.600]  在人心又有什麼用呢
[00:04:31.600 --> 00:04:32.880]  今天在人心
[00:04:32.880 --> 00:04:36.460]  對不對 今天可能你看見在緬甸
[00:04:36.460 --> 00:04:38.520]  這個大家覺得很不公平
[00:04:38.520 --> 00:04:41.080]  爲什麼把這個翁山蘇姬把他關起來
[00:04:41.080 --> 00:04:42.860]  爲什麼這個軍人這樣政變
[00:04:42.860 --> 00:04:44.660]  你一點辦法都沒有
[00:04:44.660 --> 00:04:46.700]  公理在哪裏
[00:04:46.700 --> 00:04:49.000]  公理在哪裏
[00:04:49.000 --> 00:04:50.540]  親愛的同志們
[00:04:52.340 --> 00:04:56.680]  這就是今天我們需要來明白神
[00:04:56.680 --> 00:05:00.280]  他今天藉着啓示錄要告訴我們信息就是
[00:05:00.280 --> 00:05:01.800]  在幕後的時候
