
[00:00:00.000 --> 00:00:02.000]  我們事不宜遲,先讀聖經
[00:00:02.000 --> 00:00:05.000]  在創世紀二章一至三節
[00:00:05.000 --> 00:00:06.000]  一起讀吧
[00:00:30.000 --> 00:00:33.000]  在聖經,整本聖經的第二章
[00:00:33.000 --> 00:00:35.000]  第一章講了神創造天地
[00:00:35.000 --> 00:00:39.000]  第二章頭三節,這節聖經
[00:00:39.000 --> 00:00:41.000]  就講了神安息
[00:00:41.000 --> 00:00:43.000]  當中有三個動詞
[00:00:43.000 --> 00:00:46.000]  第一個是完成了,completed
[00:00:46.000 --> 00:00:50.000]  完成了天地萬象的創造之功
[00:00:50.000 --> 00:00:53.000]  第二個是揭了,rested
[00:00:53.000 --> 00:00:54.000]  是停了
[00:00:54.000 --> 00:00:57.000]  第三個是似福,blessed
[00:00:57.000 --> 00:01:00.000]  completed完成了,要講神創天造地的工作
[00:01:00.000 --> 00:01:02.000]  完成了之後,他停了
[00:01:02.000 --> 00:01:04.000]  rested這個字,大家很熟悉的
[00:01:04.000 --> 00:01:06.000]  就是sabath的字
[00:01:06.000 --> 00:01:08.000]  希伯來文的字sabath
[00:01:08.000 --> 00:01:11.000]  在聖經當中出現過七十一次
[00:01:11.000 --> 00:01:14.000]  有四十七次是講停止
[00:01:14.000 --> 00:01:16.000]  有十一次是講休息
[00:01:16.000 --> 00:01:19.000]  有一次是講慶祝
[00:01:19.000 --> 00:01:22.000]  在你未記的二十五章,三十二節
[00:01:22.000 --> 00:01:25.000]  是在這本聖經的陰定本當中
[00:01:25.000 --> 00:01:27.000]  是講慶祝
[00:01:27.000 --> 00:01:30.000]  而在出入記的三十一章十七節
[00:01:30.000 --> 00:01:32.000]  經文講的是安息舒暢
[00:01:32.000 --> 00:01:34.000]  所以大概這個字是有
[00:01:34.000 --> 00:01:37.000]  停低,休息,慶祝
[00:01:37.000 --> 00:01:39.000]  和舒暢的意思
[00:01:39.000 --> 00:01:41.000]  blessed是似福的字
[00:01:41.000 --> 00:01:44.000]  在初世紀來講
[00:01:44.000 --> 00:01:48.000]  最基本的就是生養眾多片門存地
[00:01:48.000 --> 00:01:51.000]  生養眾多是講神給人生命
[00:01:51.000 --> 00:01:53.000]  因此神似福給我們
[00:01:53.000 --> 00:01:56.000]  就是講神給我們有生命
[00:01:56.000 --> 00:01:58.000]  我們生命有life
[00:01:58.000 --> 00:02:00.000]  同樣我們生命能夠影響別人
[00:02:00.000 --> 00:02:03.000]  將主的生命和別人分享
[00:02:03.000 --> 00:02:05.000]  我們有約神的生命
[00:02:05.000 --> 00:02:08.000]  同樣將主的生命分派出去
[00:02:08.000 --> 00:02:11.000]  是可以give life的生命
[00:02:11.000 --> 00:02:13.000]  之後神講將這一日
[00:02:13.000 --> 00:02:16.000]  第七日是將他分別為聖
[00:02:16.000 --> 00:02:19.000]  這四個字經常見到
[00:02:19.000 --> 00:02:21.000]  教主經常講分別為聖
[00:02:21.000 --> 00:02:23.000]  意思是分開出來
[00:02:23.000 --> 00:02:24.000]  分別出來
[00:02:24.000 --> 00:02:27.000]  信主之後人和世界分別出來
[00:02:27.000 --> 00:02:28.000]  接著是分別為聖
[00:02:28.000 --> 00:02:30.000]  信徒個個都是分別為聖
[00:02:30.000 --> 00:02:32.000]  聖物,聖殿當中的聖物
[00:02:32.000 --> 00:02:35.000]  同樣被供奉之後分別為聖
[00:02:35.000 --> 00:02:37.000]  但是大家可能很少留意到的
[00:02:37.000 --> 00:02:42.000]  原來神將第七日分別為聖
[00:02:42.000 --> 00:02:43.000]  即是說什麼呢
[00:02:43.000 --> 00:02:47.000]  第七日恐怕不是你的
[00:02:47.000 --> 00:02:48.000]  又不是我的
[00:02:48.000 --> 00:02:49.000]  又不是大家的
[00:02:49.000 --> 00:02:51.000]  是神的
[00:02:51.000 --> 00:02:53.000]  那天不屬於大家
[00:02:53.000 --> 00:02:54.000]  不屬於我
[00:02:54.000 --> 00:02:55.000]  不屬於你
[00:02:55.000 --> 00:02:56.000]  是神的
[00:02:56.000 --> 00:02:59.000]  七星期有一天不是我的
[00:02:59.000 --> 00:03:00.000]  是神的
[00:03:00.000 --> 00:03:02.000]  是第七日
[00:03:02.000 --> 00:03:05.000]  經文講到神先創造天地
[00:03:05.000 --> 00:03:06.000]  六天完成之後
[00:03:06.000 --> 00:03:08.000]  第七天休息
[00:03:08.000 --> 00:03:09.000]  所以神學來講
[00:03:09.000 --> 00:03:10.000]  我們講安息
[00:03:10.000 --> 00:03:12.000]  不可以抹殺工作
[00:03:12.000 --> 00:03:15.000]  同樣講工作不可以抹殺安息
[00:03:15.000 --> 00:03:18.000]  我們講安息不是輕看工作
[00:03:18.000 --> 00:03:21.000]  同樣講工作不是輕看安息
[00:03:21.000 --> 00:03:22.000]  兩者是一個銀幣
[00:03:22.000 --> 00:03:26.000]  兩邊要互相去一起看
[00:03:26.000 --> 00:03:28.000]  才明白到神的真理
[00:03:28.000 --> 00:03:30.000]  問題就來了
[00:03:30.000 --> 00:03:33.000]  就是神為什麼要安息
[00:03:33.000 --> 00:03:35.000]  是不是神做完六天功之後
[00:03:35.000 --> 00:03:36.000]  創天造地
[00:03:36.000 --> 00:03:38.000]  又做天空又做水
[00:03:38.000 --> 00:03:41.000]  又要將水分開諸如此類
[00:03:41.000 --> 00:03:42.000]  有空氣又有人
[00:03:42.000 --> 00:03:43.000]  又有動物
[00:03:43.000 --> 00:03:44.000]  有植物
[00:03:44.000 --> 00:03:46.000]  大自然這麼多事做
[00:03:46.000 --> 00:03:48.000]  很辛苦很忙很累
[00:03:48.000 --> 00:03:50.000]  因此要休息一下
[00:03:50.000 --> 00:03:51.000]  是不是
[00:03:51.000 --> 00:03:52.000]  當然不是
[00:03:52.000 --> 00:03:55.000]  神是一位不打頓不睡覺的神
[00:03:55.000 --> 00:03:56.000]  祂不需要休息
