
[00:00:00.000 --> 00:00:07.000]  讓我們一齊同心低頭禱告
[00:00:07.000 --> 00:00:11.000]  天父啊!我們單單的來到去仰望祢
[00:00:11.000 --> 00:00:14.000]  願祢的愛吸引我們
[00:00:14.000 --> 00:00:18.000]  以致到我們快跑的來到去跟隨祢
[00:00:18.000 --> 00:00:20.000]  主啊!願祢在今日
[00:00:20.000 --> 00:00:22.000]  祢的話語的裏面
[00:00:22.000 --> 00:00:25.000]  再一次成為我們腳前的燈
[00:00:25.000 --> 00:00:27.000]  路上的光
[00:00:27.000 --> 00:00:30.000]  主啊!再一次如同兩人的利劍
[00:00:30.000 --> 00:00:32.000]  否開我們的心
[00:00:32.000 --> 00:00:34.000]  讓我們的生命
[00:00:34.000 --> 00:00:36.000]  因著祢的話語
[00:00:36.000 --> 00:00:39.000]  得以根深改變
[00:00:39.000 --> 00:00:42.000]  以致到我們能夠討償祢喜悅
[00:00:42.000 --> 00:00:44.000]  多謝祢!求祢就是這樣
[00:00:44.000 --> 00:00:46.000]  垂聽我們的禱告
[00:00:46.000 --> 00:00:48.000]  奉耶穌基督的命求
[00:00:48.000 --> 00:00:49.000]  阿門
[00:00:49.000 --> 00:00:51.000]  各位弟兄姊妹早晨
[00:00:51.000 --> 00:00:53.000]  想問大家一個問題
[00:00:53.000 --> 00:00:56.000]  當你被人冒犯的時候
[00:00:56.000 --> 00:00:59.000]  你的本能反應是怎樣的呢?
[00:00:59.000 --> 00:01:00.000]  回想一次
[00:01:00.000 --> 00:01:04.000]  最近可能當你被人用言語
[00:01:04.000 --> 00:01:05.000]  或者行為
[00:01:05.000 --> 00:01:07.000]  或者一些事情
[00:01:07.000 --> 00:01:09.000]  令到你覺得被羞辱
[00:01:09.000 --> 00:01:10.000]  被冒犯的時候
[00:01:10.000 --> 00:01:11.000]  那一刻
[00:01:11.000 --> 00:01:14.000]  你的反應是怎樣的呢?
[00:01:14.000 --> 00:01:15.000]  你做初一
[00:01:15.000 --> 00:01:17.000]  我做十五
[00:01:17.000 --> 00:01:18.000]  你敬我一尺
[00:01:18.000 --> 00:01:21.000]  我敬你十丈
[00:01:21.000 --> 00:01:23.000]  我們對報仇
[00:01:23.000 --> 00:01:25.000]  應該不會好陌生
[00:01:25.000 --> 00:01:27.000]  由我們小時候看一些古裝片
[00:01:27.000 --> 00:01:29.000]  或者甚至今天的韓劇
[00:01:29.000 --> 00:01:30.000]  日劇也好
[00:01:30.000 --> 00:01:33.000]  都很多時候是會以報仇
[00:01:33.000 --> 00:01:36.000]  成為故事的脈絡
[00:01:36.000 --> 00:01:38.000]  當我讀中學的時候
[00:01:38.000 --> 00:01:41.000]  可能我的樣子長得比較好欺負
[00:01:41.000 --> 00:01:43.000]  有一位同班同學
[00:01:43.000 --> 00:01:45.000]  經常都拿我來開玩笑
[00:01:45.000 --> 00:01:48.000]  經常都想盡很多方法
[00:01:48.000 --> 00:01:50.000]  來作弄我
[00:01:50.000 --> 00:01:51.000]  為的是要在我
[00:01:51.000 --> 00:01:54.000]  在眾人面前出醜
[00:01:54.000 --> 00:01:56.000]  所以我對這個同學
[00:01:56.000 --> 00:01:59.000]  心存怨恨到一個極點
[00:01:59.000 --> 00:02:01.000]  又不夠他抽
[00:02:01.000 --> 00:02:02.000]  怎麼辦呢?
[00:02:02.000 --> 00:02:05.000]  只能夠在腦海裏面
[00:02:05.000 --> 00:02:08.000]  不斷想很多報仇的片段
[00:02:08.000 --> 00:02:10.000]  永遠都實踐不到
[00:02:10.000 --> 00:02:11.000]  只有想著
[00:02:11.000 --> 00:02:13.000]  不過我用一個方法
[00:02:13.000 --> 00:02:15.000]  就是表面上和他扮friend
[00:02:15.000 --> 00:02:18.000]  趁機會去報仇
[00:02:18.000 --> 00:02:21.000]  所以終於有一天機會來到了
[00:02:21.000 --> 00:02:23.000]  見他走開的座位
[00:02:23.000 --> 00:02:25.000]  見到他桌上有一個筆袋
[00:02:25.000 --> 00:02:27.000]  我就趁他不為意
[00:02:27.000 --> 00:02:29.000]  將這個筆袋拿進了男廁
[00:02:29.000 --> 00:02:31.000]  扔進男廁的廁所洞裏
[00:02:31.000 --> 00:02:34.000]  他找了很久都找不到
[00:02:34.000 --> 00:02:37.000]  那一刻我心相當之涼快
[00:02:37.000 --> 00:02:39.000]  好girl
[00:02:39.000 --> 00:02:43.000]  神學家奧古斯丁他這樣說
[00:02:43.000 --> 00:02:46.000]  他說以惡報善是屬於魔鬼
[00:02:46.000 --> 00:02:49.000]  以善報善是屬人
[00:02:49.000 --> 00:02:53.000]  唯獨以善報惡是屬於神
[00:02:53.000 --> 00:02:56.000]  今天很想和大家去看看
[00:02:56.000 --> 00:02:59.000]  登山補訓這一段經文
[00:02:59.000 --> 00:03:02.000]  耶穌再提出一連串
[00:03:02.000 --> 00:03:04.000]  超越當時的傳統
[00:03:04.000 --> 00:03:06.000]  超越律法的教導
[00:03:06.000 --> 00:03:08.000]  讓當時的人
[00:03:08.000 --> 00:03:10.000]  甚至乎今天的我們
[00:03:10.000 --> 00:03:12.000]  都覺得很驚訝
