
[00:00:00.000 --> 00:00:03.600]  其實就在我們昨天早上的
[00:00:03.600 --> 00:00:09.340]  在戶外的威密頓的敬拜的節慶
[00:00:09.340 --> 00:00:12.260]  我一回來之後我就看到新聞裡面
[00:00:12.260 --> 00:00:20.220]  提到巴勒斯坦的哈馬斯就發射火箭
[00:00:20.220 --> 00:00:25.420]  可以說他們是全面攻擊以色列
[00:00:25.420 --> 00:00:30.520]  當然現在這個整個的一個可以說新聞是
[00:00:30.520 --> 00:00:34.300]  到處不同的這些新聞到處都來
[00:00:34.300 --> 00:00:36.200]  那我今天沒有時間講這個
[00:00:36.200 --> 00:00:39.200]  希望有一天我可以專門來講這個主題
[00:00:39.200 --> 00:00:41.240]  但丁志明你可以看見
[00:00:41.240 --> 00:00:44.120]  這個世界所有一切的問題
[00:00:44.120 --> 00:00:49.220]  你都可以從哪裡找到答案
[00:00:49.220 --> 00:00:53.520]  以色列跟巴勒斯坦的問題
[00:00:53.520 --> 00:00:58.040]  幾千年的問題
[00:00:58.040 --> 00:01:01.320]  你看見這整個的一切的問題
[00:01:01.320 --> 00:01:05.960]  都根源在哪裡呢
[00:01:05.960 --> 00:01:09.860]  所有世界的問題 國家的問題 人際間的衝突
[00:01:09.860 --> 00:01:12.160]  所有一切的問題你都看見
[00:01:12.160 --> 00:01:14.580]  根源在哪裡
[00:01:14.580 --> 00:01:18.240]  根源在家庭
[00:01:18.240 --> 00:01:20.300]  這就是今天我們要談的
[00:01:20.300 --> 00:01:22.700]  那家庭的關係
[00:01:22.700 --> 00:01:31.620]  最基本的什麼叫做家庭
[00:01:31.620 --> 00:01:36.980]  夫妻就構成了一個家庭
[00:01:36.980 --> 00:01:38.940]  所以你會發現現在仇敵
[00:01:38.940 --> 00:01:41.720]  攻擊最厲害的也是家庭
[00:01:41.720 --> 00:01:44.400]  現在夫跟妻
[00:01:44.400 --> 00:01:47.700]  以前是一男怎麼樣 一女
[00:01:47.700 --> 00:01:53.020]  現在是可以一男
[00:01:53.020 --> 00:01:56.740]  然後一女
[00:01:56.740 --> 00:01:58.500]  亂套
[00:01:58.500 --> 00:01:59.940]  所以你看見
[00:01:59.940 --> 00:02:03.180]  這就是世界上很清楚的讓我們看見
[00:02:03.180 --> 00:02:07.460]  盜賊來就是要偷竊 殺害 毀壞
[00:02:07.460 --> 00:02:09.620]  有沒有 盜賊是誰 魔鬼
