
[00:00:00.000 --> 00:00:05.200]  大家好 歡迎來到我們做主門徒的講道系列的第二講
[00:00:05.200 --> 00:00:08.040]  今天我們會講一個很特別的題目
[00:00:08.040 --> 00:00:12.280]  就是我們講到作為一個門徒到底有什麼特徵
[00:00:12.280 --> 00:00:16.760]  因為我們都很希望作為基督徒成為一個門徒
[00:00:16.760 --> 00:00:21.080]  到底門徒在聖經裡面告訴我們門徒應該有什麼特徵
[00:00:21.080 --> 00:00:23.520]  有什麼表現像一個門徒呢
[00:00:23.520 --> 00:00:28.160]  今天我們會從約翰福音第八章的一段聖經
[00:00:28.160 --> 00:00:34.280]  來看看主耶穌在這段聖經中給我們一些提醒和鼓勵
[00:00:34.280 --> 00:00:37.400]  就是作為一個門徒原來有一個很特別的特徵
[00:00:37.400 --> 00:00:39.720]  今天我們就從這段聖經去看
[00:00:39.720 --> 00:00:44.520]  這段聖經記載在約翰福音第八章三十一節開始
[00:00:44.520 --> 00:00:48.880]  第一樣的特徵就是作為一個門徒
[00:00:48.880 --> 00:00:51.280]  其實我們是真正的門徒
[00:00:51.280 --> 00:00:55.160]  不是被人感覺名義上的門徒
[00:00:55.160 --> 00:00:57.920]  而是真正的門徒的真正特徵
[00:00:57.920 --> 00:01:00.280]  第一樣就是自由
[00:01:00.280 --> 00:01:03.560]  就是原來一個門徒是能夠活出自由的
[00:01:03.560 --> 00:01:09.280]  在約翰福音第八章三十一到三十二節是這樣說的
[00:01:09.280 --> 00:01:12.240]  耶穌對信他的猶太人說
[00:01:12.240 --> 00:01:16.360]  你們若常常遵守我的道
[00:01:16.360 --> 00:01:18.840]  就真是我的門徒
[00:01:18.840 --> 00:01:21.400]  你們必曉得真理
[00:01:21.400 --> 00:01:26.000]  真理必叫你們得以自由
[00:01:26.000 --> 00:01:28.760]  所以這就是第一樣門徒的特徵
[00:01:28.760 --> 00:01:33.800]  就是原來門徒是能夠活出一個很自由的生命
[00:01:33.800 --> 00:01:37.680]  但是我們對於自由可能有些誤解和迷思
[00:01:37.680 --> 00:01:39.720]  所以首先我想解釋
[00:01:39.720 --> 00:01:44.400]  當聖經說我們門徒應該活出一個自由的時候
[00:01:44.400 --> 00:01:47.640]  到底聖經對自由有什麼特別的定義
[00:01:47.640 --> 00:01:53.320]  和今天很多人對於自由的一些誤解和迷思是不同的呢
[00:01:53.320 --> 00:01:55.880]  第一樣東西我們通常說到自由的時候
[00:01:55.880 --> 00:02:00.240]  我們通常以為自由就是想做什麼就可以做什麼
[00:02:00.240 --> 00:02:01.520]  這個叫自由
[00:02:01.520 --> 00:02:03.880]  但是真正的自由
[00:02:03.880 --> 00:02:08.080]  聖經所說的真正的自由並不是你想做什麼就做什麼
[00:02:08.080 --> 00:02:16.760]  因為我們對自由的渴望經常有很多的矛盾
[00:02:16.760 --> 00:02:21.600]  例如我們想要有健康身體的自由
[00:02:21.600 --> 00:02:24.320]  我們想要長期有健康的自由
[00:02:24.320 --> 00:02:26.320]  因為有自由的身體
[00:02:26.320 --> 00:02:29.920]  就可以有一個健康的身體
[00:02:29.920 --> 00:02:33.040]  我們就可以很自由地做很多事情
[00:02:33.040 --> 00:02:39.160]  但是同時我又想很自由地吃一整桶的冰淇淋
[00:02:39.160 --> 00:02:41.800]  每晚可以吃一桶的冰淇淋
[00:02:41.800 --> 00:02:46.560]  但是你會發覺這兩種自由本身是有矛盾的
[00:02:46.560 --> 00:02:48.680]  當你想享受一種自由
[00:02:48.680 --> 00:02:52.720]  我想要每晚隨時有自由可以吃一整桶的冰淇淋
[00:02:52.720 --> 00:02:55.560]  想喝多少杯就喝多少杯
[00:02:55.560 --> 00:03:00.840]  這種放縱的自由很快就會失去了健康的身體
[00:03:00.840 --> 00:03:03.600]  於是我就失去了行動的自由
[00:03:03.600 --> 00:03:06.480]  所以有一種的自由當我們去享受的時候
[00:03:06.480 --> 00:03:11.760]  可能就會失去了另外一種我們可能更加珍惜的自由
[00:03:11.760 --> 00:03:14.360]  我想要減肥的自由
[00:03:14.360 --> 00:03:17.800]  但我又想吃什麼就想吃什麼的自由
[00:03:17.800 --> 00:03:19.800]  所以有人去問一個醫生
[00:03:19.800 --> 00:03:24.000]  有沒有一種燃燒脂肪的方法
[00:03:24.000 --> 00:03:27.320]  可以讓我不用運動又不用節食
[00:03:27.320 --> 00:03:30.480]  就可以有最有效燃燒脂肪的方法
[00:03:30.480 --> 00:03:32.000]  然後醫生就說沒問題
[00:03:32.000 --> 00:03:34.360]  我可以直接安排你火化
[00:03:34.360 --> 00:03:37.200]  所以當我們想要享受一種自由的時候
[00:03:37.200 --> 00:03:42.120]  可能我們最終很快就失去了能夠活著的自由
[00:03:42.120 --> 00:03:46.360]  所以我們很多的自由其實是那種渴望
[00:03:46.360 --> 00:03:48.920]  我渴望這種自由是渴望那種自由
[00:03:48.920 --> 00:03:55.320]  但這兩種渴望之間本身是有一個矛盾的
[00:03:55.320 --> 00:04:00.120]  所以真正的自由是不可能你想做什麼就做什麼
[00:04:00.120 --> 00:04:04.720]  真正的自由是我們無論怎樣都是有一個選擇的
[00:04:04.720 --> 00:04:06.480]  我們現在在居家抗疫的時候
[00:04:06.480 --> 00:04:09.960]  也都面對很多不同的矛盾的想要的自由
[00:04:09.960 --> 00:04:12.280]  我們想要享受經濟的自由
[00:04:12.280 --> 00:04:15.200]  但我們又想要享受一個健康的自由
[00:04:15.200 --> 00:04:17.160]  但有時候這個就是矛盾
[00:04:17.160 --> 00:04:19.120]  你只能夠二取一的時候
[00:04:19.120 --> 00:04:21.200]  你怎樣做一些取捨呢?
[00:04:21.200 --> 00:04:24.600]  所以真正的自由一定是有取捨的
[00:04:24.600 --> 00:04:27.400]  你想要享受一種的自由
[00:04:27.400 --> 00:04:31.640]  你很自然就要放棄另外一種的自由
[00:04:31.640 --> 00:04:36.360]  那就變成你要有一個懂得去節制的生命
[00:04:36.360 --> 00:04:37.520]  Self-control
[00:04:37.520 --> 00:04:39.400]  所以為什麼聖靈很重要
[00:04:39.400 --> 00:04:43.320]  在一個基督徒作為門徒的過程當中
[00:04:43.320 --> 00:04:47.400]  聖靈的作用就是其中一種結出的果子
[00:04:47.400 --> 00:04:49.360]  聖靈就是節制
[00:04:49.360 --> 00:04:52.160]  節制的意思就是說我們懂得去選擇
[00:04:52.160 --> 00:04:55.160]  就是為了那種更高價值的自由
[00:04:55.160 --> 00:04:59.560]  我們願意暫時放棄一些暫時的自由
[00:04:59.560 --> 00:05:01.440]  這個就叫做節制
[00:05:01.440 --> 00:05:02.360]  節制重要
[00:05:02.360 --> 00:05:05.640]  所以在哥倫多後書三章十七節那裡說
[00:05:05.640 --> 00:05:07.280]  主的靈在哪裡
[00:05:07.280 --> 00:05:08.560]  哪裡有主的靈
[00:05:08.560 --> 00:05:09.840]  哪裡有聖靈
[00:05:09.840 --> 00:05:11.720]  哪裡就有自由
[00:05:11.720 --> 00:05:14.080]  原來神的靈是想我們自由的
[00:05:14.080 --> 00:05:16.000]  是幫助基督徒活出自由
[00:05:16.000 --> 00:05:17.160]  當我們信主的時候
[00:05:17.160 --> 00:05:18.840]  神給我們很大的一份禮物
[00:05:18.840 --> 00:05:21.840]  就是將祂的靈親自給了我們
[00:05:21.840 --> 00:05:26.320]  聖靈的內主就幫我們活出一個節制的生命
[00:05:26.320 --> 00:05:29.840]  其實節制的生命不是一種束縛
[00:05:29.840 --> 00:05:33.720]  節制的生命是讓我們活出真正的自由
[00:05:33.720 --> 00:05:36.240]  就是讓我們有能力去選擇
[00:05:36.240 --> 00:05:39.680]  選擇一個更高價值更長遠的自由
[00:05:39.680 --> 00:05:43.400]  而有能力去暫時放棄某些的自由
[00:05:43.400 --> 00:05:45.760]  而這個就叫做節制
[00:05:45.760 --> 00:05:47.200]  就是自主控制
[00:05:47.200 --> 00:05:51.360]  有一個節制的生命是讓我們長期能夠享受自由
[00:05:51.360 --> 00:05:55.000]  第二樣我們對自由的迷思的誤解就是
[00:05:55.000 --> 00:05:59.040]  我們通常以為自由是等於沒有主人
[00:05:59.040 --> 00:06:00.360]  就是我作主
[00:06:00.360 --> 00:06:02.480]  我就是我自己的主人
[00:06:02.480 --> 00:06:04.920]  我為我自己的生活來負責任
[00:06:04.920 --> 00:06:08.320]  我自己掌權做主
[00:06:08.320 --> 00:06:11.080]  但是聖經所說的真正的自由
