
[00:00:00.000 --> 00:00:06.500]  弟姐妹早上,感恩今天能夠和大家一起去敬拜和思想上帝的說話
[00:00:06.500 --> 00:00:12.000]  進入經文之前,我也想邀請大家和我一起再祈禱仰望上帝
[00:00:12.000 --> 00:00:17.000]  七日主耶穌,我們多謝祢,因為祢悉日道成肉身,來到我們當中
[00:00:17.000 --> 00:00:23.000]  祢講道教導,講去聽我們所信的上帝是會怎樣的神
[00:00:23.000 --> 00:00:28.000]  就求祢今天繼續在祢當中打開祢自己的說話
[00:00:28.000 --> 00:00:32.000]  讓我們不只是聽得明白,我們的生命也是得著更新
[00:00:32.000 --> 00:00:34.000]  過一個土地喜悅的生命
[00:00:34.000 --> 00:00:38.000]  聽我們祈禱,禱告奉耶穌基督的命祈求,阿們
[00:00:38.000 --> 00:00:40.000]  今天的經文,馬可福音第三章
[00:00:40.000 --> 00:00:44.000]  是耶穌出來傳道沒多久所發生的事情
[00:00:44.000 --> 00:00:50.000]  當中耶穌說了一些,或者做了一些事情,都叫我們有些驚訝
[00:00:50.000 --> 00:00:57.000]  讓我們從祂的言行有些學習,究竟我們應該怎樣去過我們的生活
[00:00:57.000 --> 00:01:02.000]  這裡第二十節說道耶穌進了一間屋,眾人又聚集
[00:01:02.000 --> 00:01:05.000]  甚至祂連飯也故不得吃
[00:01:05.000 --> 00:01:09.000]  這句也告訴我們,耶穌的服事一定是很忙碌
[00:01:09.000 --> 00:01:12.000]  祂醫病趕鬼教導,有很多人跟著祂
[00:01:12.000 --> 00:01:15.000]  忙到飯都吃不到
[00:01:15.000 --> 00:01:20.000]  接著第二十一節說道耶穌的家人聽到這件事
[00:01:20.000 --> 00:01:25.000]  就出來要拉住耶穌,因為他們說祂癲狂了
[00:01:25.000 --> 00:01:28.000]  繼續記載說耶穌的家人來到就要拉住祂
[00:01:28.000 --> 00:01:32.000]  即是說不想耶穌繼續這樣去做了
[00:01:32.000 --> 00:01:34.000]  因為他們說祂癲狂
[00:01:34.000 --> 00:01:36.000]  在這一節裏面留意有兩個字
[00:01:36.000 --> 00:01:38.000]  第一個字是家人
[00:01:38.000 --> 00:01:42.000]  原來在原文裏面不是譯做家人
[00:01:42.000 --> 00:01:47.000]  家人我們立刻會覺得是家人,父母,兄弟,姐妹
[00:01:47.000 --> 00:01:50.000]  在原文裏面是自己人
[00:01:50.000 --> 00:01:53.000]  英文的翻譯是His own people
[00:01:53.000 --> 00:01:55.000]  所以當我們看原文
[00:01:55.000 --> 00:01:58.000]  其實這裏沒有說那個是誰
[00:01:58.000 --> 00:02:01.000]  只是形容耶穌的自己人
[00:02:01.000 --> 00:02:03.000]  所以讀這段經文我們要問
[00:02:03.000 --> 00:02:06.000]  究竟對耶穌來說誰是祂的自己人呢
[00:02:06.000 --> 00:02:09.000]  不過為甚麼在我們的翻譯和修訂版裏面
[00:02:09.000 --> 00:02:11.000]  會譯做家人呢
[00:02:11.000 --> 00:02:16.000]  因為到後來三十一節的時候開鼓
[00:02:16.000 --> 00:02:21.000]  那裏就形容為耶穌的母親和兄弟來找祂
[00:02:21.000 --> 00:02:23.000]  所以因為這樣的緣故
[00:02:23.000 --> 00:02:27.000]  我們翻譯21節就免得大家誤會
[00:02:27.000 --> 00:02:30.000]  誰是自己人就翻譯為家人
