
[00:00:00.000 --> 00:00:03.000]  在我印象中,我沒有講過事實記
[00:00:03.000 --> 00:00:06.000]  在我的印象裡,我沒有在教會裡講過事實記
[00:00:06.000 --> 00:00:10.000]  所以今天在講之前,就有些背景資料提供給大家
[00:00:10.000 --> 00:00:14.000]  所以今天在講到之前,給大家提供一些背景方面的資料
[00:00:14.000 --> 00:00:17.000]  大家都知道,摩西和約書亞,當我們離開世界之後
[00:00:17.000 --> 00:00:21.000]  大家都知道,當摩西和約書亞去世之後
[00:00:21.000 --> 00:00:25.000]  那個時間大概是主前的一千四百年
[00:00:25.000 --> 00:00:27.000]  那時大概是主前一千四百年
[00:00:27.000 --> 00:00:30.000]  雖然當時的以色列民已經進入了所謂的應許之地
[00:00:30.000 --> 00:00:34.000]  雖然當時的以色列民已經進入了應許之地
[00:00:34.000 --> 00:00:38.000]  但那個時候他們沒有一個大家所認可的領袖
[00:00:38.000 --> 00:00:43.000]  但那個時候他們並沒有一個大家所認可的領袖
[00:00:43.000 --> 00:00:46.000]  可以說那段時間是一段沒有王管的時期
[00:00:46.000 --> 00:00:50.000]  所以我們可以說那段時間是一個沒有王管治的時候
[00:00:50.000 --> 00:00:54.000]  聖經在那段時間形容是這樣的
[00:00:54.000 --> 00:00:57.000]  聖經在那段時間形容是這樣的
[00:00:57.000 --> 00:01:02.000]  那時以色列中沒有王,各人任意而行
[00:01:02.000 --> 00:01:06.000]  聖經說那時以色列中沒有王,各人任意而行
[00:01:06.000 --> 00:01:10.000]  在那段時間裡,以色列人因為沒有按照神的吩咐
[00:01:10.000 --> 00:01:14.000]  在那段時間裡,以色列人因為沒有按照神的吩咐
[00:01:14.000 --> 00:01:19.000]  他們沒有將犯罪的迦南人完全趕出去
[00:01:19.000 --> 00:01:22.000]  他們沒有將犯罪的迦南人完全趕出去
[00:01:22.000 --> 00:01:24.000]  甚至是消滅他們
[00:01:24.000 --> 00:01:25.000]  也沒有消滅他們
[00:01:25.000 --> 00:01:28.000]  所以很快他們就忘記了神的命令
[00:01:28.000 --> 00:01:31.000]  所以很快他們就忘記了神的命令
[00:01:31.000 --> 00:01:35.000]  他們就跟隨外邦人的風俗
[00:01:35.000 --> 00:01:38.000]  跟外邦人通婚
[00:01:38.000 --> 00:01:41.000]  甚至是拜他們的偶像
[00:01:41.000 --> 00:01:43.000]  甚至是拜外邦人的偶像
[00:01:43.000 --> 00:01:47.000]  由於這個緣故,神就將這些以色列人交在外邦人的手中
[00:01:47.000 --> 00:01:52.000]  由於這個緣故,神就將這些以色列人交在外邦人的手中
[00:01:52.000 --> 00:01:56.000]  當以色列人受到很大的痛苦時,他們就求告天父上帝
[00:01:56.000 --> 00:02:01.000]  當以色列人受到很大的痛苦時,他們就求告天父上帝
[00:02:01.000 --> 00:02:03.000]  神就應允他們的禱告
[00:02:03.000 --> 00:02:05.000]  神就應允他們的禱告
[00:02:05.000 --> 00:02:09.000]  在他們的文中興起了一個領袖
[00:02:09.000 --> 00:02:12.000]  在他們的文中興起了一個領袖
[00:02:12.000 --> 00:02:14.000]  這個領袖就叫做史詩
[00:02:14.000 --> 00:02:17.000]  這個領袖就叫做史詩
[00:02:17.000 --> 00:02:20.000]  漸漸地在這幾百年的史詩時期
[00:02:20.000 --> 00:02:23.000]  漸漸地在這幾百年的史詩時期
[00:02:23.000 --> 00:02:25.000]  這個歷史不斷地重複
[00:02:25.000 --> 00:02:27.000]  歷史不斷地循環
[00:02:27.000 --> 00:02:28.000]  他們離棄神
[00:02:28.000 --> 00:02:29.000]  以色列人離棄神
[00:02:29.000 --> 00:02:33.000]  神就將以色列人交在外邦人的手中
[00:02:33.000 --> 00:02:36.000]  神就將以色列人交在外邦人的手中
[00:02:36.000 --> 00:02:39.000]  然後以色列人受到痛苦時,他們就求告神
[00:02:39.000 --> 00:02:42.000]  當以色列人受到痛苦時,他們又開始求告神
[00:02:42.000 --> 00:02:45.000]  然後神就派一個士師去拯救他們
[00:02:45.000 --> 00:02:47.000]  神就又派一個士師去拯救他們
[00:02:47.000 --> 00:02:51.000]  如此的歷史不斷地在那幾百年裏重複
[00:02:51.000 --> 00:02:54.000]  歷史在那幾百年裏如此不斷地重複
[00:02:54.000 --> 00:02:59.000]  如果我們今天所看的基殿就是其中一個士師
[00:02:59.000 --> 00:03:03.000]  那我們今天所看的基殿就是其中的一個士師
[00:03:03.000 --> 00:03:04.000]  在基殿那個時候
[00:03:04.000 --> 00:03:05.000]  基殿在那個時候
