
[00:00:00.000 --> 00:00:02.640]  頂姐妹早安
[00:00:02.640 --> 00:00:03.640]  感恩
[00:00:03.640 --> 00:00:07.400]  又可以一齊來聆聽神的話語了
[00:00:07.400 --> 00:00:09.040]  今天讀這段經文
[00:00:09.040 --> 00:00:13.160]  我想應該你們都有聽過
[00:00:13.160 --> 00:00:15.600]  從前在香港的時候
[00:00:15.600 --> 00:00:19.440]  這段經文經常會在大廈的外牆
[00:00:19.440 --> 00:00:24.000]  看到「凡奴婦擔重擔的人到我這裡來」
[00:00:24.000 --> 00:00:27.560]  是一段我們都很熟悉的經文
[00:00:27.560 --> 00:00:30.560]  我們都很喜歡這段經文
[00:00:30.560 --> 00:00:34.640]  因為很安慰
[00:00:34.640 --> 00:00:39.000]  實在是否因為我們太多「奴婦重擔」呢?
[00:00:39.000 --> 00:00:40.840]  我們真的很「奴婦」
[00:00:40.840 --> 00:00:43.360]  昨晚看一場球賽
[00:00:43.360 --> 00:00:44.560]  都可能令你覺得很「奴婦」
[00:00:44.560 --> 00:00:48.240]  今早起床回來
[00:00:48.240 --> 00:00:50.760]  甚麼是「奴婦重擔」呢?
[00:00:50.760 --> 00:00:54.160]  是否真的單單照字面的意思
[00:00:54.160 --> 00:00:57.160]  就是很累的意思呢?
[00:00:57.160 --> 00:01:01.040]  我們今天一齊來再細讀這一段
[00:01:01.040 --> 00:01:04.440]  其實這一段是一個耶穌的禱告
[00:01:04.440 --> 00:01:06.240]  祂是禱告之後再發出邀請的
[00:01:06.240 --> 00:01:08.960]  如果你剛才有留意主席讀的時候
[00:01:08.960 --> 00:01:11.360]  讓我們更深刻認識這一段
[00:01:11.360 --> 00:01:13.360]  我們認為很熟悉的經文
[00:01:13.360 --> 00:01:16.680]  深信當中有更值得我們留心的地方
[00:01:16.680 --> 00:01:20.000]  我們一齊禱告
[00:01:20.000 --> 00:01:24.960]  「父啊!天地的主!我們感謝祢!感謝祢!」
[00:01:24.960 --> 00:01:27.960]  「祢知道我們有多少的「奴婦重擔」」
[00:01:27.960 --> 00:01:33.760]  「今日願祢親自對每一個願意謙卑來到祢的面前」
[00:01:33.760 --> 00:01:36.960]  「願意聆聽祢話語的人說話」
[00:01:36.960 --> 00:01:42.960]  「懇求主讓我們能夠帶著我們的重擔來到祢的面前」
[00:01:42.960 --> 00:01:44.960]  「祢就使我們得安息」
[00:01:44.960 --> 00:01:49.560]  「求主幫助!我們感謝祢!聽祈禱奉主名求!阿們」
[00:01:49.560 --> 00:01:51.360]  如果你手上有聖經
[00:01:51.360 --> 00:01:53.360]  我都想你翻開
[00:01:53.360 --> 00:01:56.160]  無論是紙本的還是電子版的都沒有問題
