
[00:00:00.000 --> 00:00:02.600]  平日為平安
[00:00:02.600 --> 00:00:05.840]  神讓我們每天都能夠看見不同的事物
[00:00:05.840 --> 00:00:10.500]  讓我們眼睛能夠看得見
[00:00:10.500 --> 00:00:17.000]  但有些人的眼睛未必能夠看得見
[00:00:17.000 --> 00:00:21.800]  但神的恩典在每一個人的身上不同
[00:00:21.800 --> 00:00:24.100]  就算看不到的人
[00:00:24.100 --> 00:00:27.800]  他們心裏都能看見
[00:00:27.800 --> 00:00:30.400]  今天和大家分享的題目是「真的看見」
[00:00:30.400 --> 00:00:32.900]  今天和大家分享的題目是「真的看見」
[00:00:32.900 --> 00:00:34.900]  純粹致謝我,再一次我們同心討告
[00:00:34.900 --> 00:00:37.500]  在此之前,讓我們先同心禱告
[00:00:37.500 --> 00:00:40.300]  愛我們的天父,我們感謝、讚美你
[00:00:40.300 --> 00:00:44.500]  因為愛主耶穌的緣故
[00:00:44.500 --> 00:00:47.600]  我們藉著父神你自己的大愛
[00:00:47.600 --> 00:00:51.200]  你差遣你的愛子來到我們當中
[00:00:51.200 --> 00:00:54.400]  原本我們是在這個黑暗、死陰的幽谷
[00:00:54.400 --> 00:00:56.000]  在罪惡的當中
[00:00:56.000 --> 00:00:58.600]  但主耶穌你的光照我們
[00:00:58.600 --> 00:01:02.800]  使我們能夠再一次看到我們人生的意義
[00:01:02.800 --> 00:01:06.700]  看到我們的主、我們的神、創造的主
[00:01:06.700 --> 00:01:08.800]  求主保守帶領我們每一個
[00:01:08.800 --> 00:01:11.100]  讓我們今天是藉著神的愛
[00:01:11.100 --> 00:01:13.100]  再一次認定主耶穌
[00:01:13.100 --> 00:01:14.800]  你就是我們的拯救者
[00:01:14.800 --> 00:01:16.600]  你是帶領我們人生的主
[00:01:16.600 --> 00:01:18.100]  引領我們前路的主
[00:01:18.100 --> 00:01:20.300]  求主引領我們以下時間
[00:01:20.300 --> 00:01:22.200]  承認啟迪我們的心靈
[00:01:22.200 --> 00:01:25.900]  讓我們能夠明白主你自己寶貴的話語
[00:01:25.900 --> 00:01:27.200]  我們同心祈禱
[00:01:27.200 --> 00:01:28.900]  奉靠主耶穌
[00:01:28.900 --> 00:01:30.700]  祈禱得勝的名球
[00:01:30.700 --> 00:01:35.600]  以聽三分假
[00:01:35.600 --> 00:01:37.400]  眼看未為真
[00:01:37.400 --> 00:01:39.500]  以耳聽三分假
[00:01:39.500 --> 00:01:41.800]  眼看未為真
[00:01:41.800 --> 00:01:45.300]  這句名言是出自一部電視劇
[00:01:45.300 --> 00:01:47.000]  這個名言是出自一部電視劇
[00:01:47.000 --> 00:01:49.800]  2007年唐森風暴
[00:01:49.800 --> 00:01:52.200]  李斯琪所講的一句話
[00:01:52.200 --> 00:01:55.000]  是2007年唐森風暴
[00:01:55.000 --> 00:01:57.400]  李斯琪所講的一句話
[00:01:57.400 --> 00:01:58.600]  耳朵聽到的
[00:01:58.600 --> 00:02:00.000]  耳朵聽見的
[00:02:00.000 --> 00:02:01.000]  有可能是假的
[00:02:01.000 --> 00:02:02.600]  有可能是假的
[00:02:02.600 --> 00:02:03.900]  可能是一些是非
[00:02:03.900 --> 00:02:05.500]  可能是一些是非
[00:02:05.500 --> 00:02:07.800]  你說我眼看到的應該是真的
[00:02:07.800 --> 00:02:09.700]  眼睛看到的應該是真的嗎
[00:02:09.700 --> 00:02:11.600]  有時候都未必是真的
[00:02:11.600 --> 00:02:13.800]  未必是真的
[00:02:13.800 --> 00:02:15.600]  我舉個例子給你看
[00:02:15.600 --> 00:02:17.100]  我舉個例子給大家看
[00:02:17.100 --> 00:02:20.200]  你看到這裡其實有兩條直線
[00:02:20.200 --> 00:02:22.300]  這裡其實有兩條直線
[00:02:22.300 --> 00:02:24.400]  是因為有其他的線在旁邊
[00:02:24.400 --> 00:02:26.500]  你是不是看到它不是很直
[00:02:26.500 --> 00:02:28.500]  就是是不是有其他的線在旁邊干擾
[00:02:28.500 --> 00:02:29.500]  是不是這兩個直線不夠直
[00:02:29.500 --> 00:02:31.100]  是因為干擾了你的眼睛
[00:02:31.100 --> 00:02:32.700]  因為它干擾了你的眼睛
[00:02:32.700 --> 00:02:34.300]  因為看到它有點彎
[00:02:34.300 --> 00:02:35.800]  其實你是不對的
[00:02:35.800 --> 00:02:36.800]  應該是直線來的
[00:02:36.800 --> 00:02:39.900]  如果說就是有一點不直的話
[00:02:39.900 --> 00:02:41.500]  實際上是你眼睛所視
[00:02:41.500 --> 00:02:42.700]  兩條線
[00:02:42.700 --> 00:02:44.900]  因為有兩個箭嘴在那裡
[00:02:44.900 --> 00:02:46.200]  令到那兩條線
[00:02:46.200 --> 00:02:49.100]  上面那條線你覺得它短一點
[00:02:49.100 --> 00:02:51.500]  就是上面那條線你可能覺得短一點
[00:02:51.500 --> 00:02:53.400]  下面那條長一點
[00:02:53.400 --> 00:02:55.000]  就是下面這個可能會長一點
[00:02:55.000 --> 00:02:56.400]  但實際上你用尺去量
