
[00:00:00.000 --> 00:00:05.060]  前兩天是中國人 亦是西方傳來的情人節
[00:00:05.060 --> 00:00:10.840]  不知道大家有沒有收到 甚麼叫做「粟米肉粒」的一個訊息
[00:00:10.840 --> 00:00:14.000]  「Show me your love」
[00:00:14.000 --> 00:00:20.200]  有些弟兄姊妹 就將很多聖經的金句擺了出來
[00:00:20.200 --> 00:00:24.120]  讓我們見到 上帝給我們很獨特的一個情書
[00:00:24.120 --> 00:00:25.320]  很寶貴
[00:00:25.320 --> 00:00:29.720]  「聖經哀永遠長存 並且一路追著我們」
[00:00:29.720 --> 00:00:40.400]  「愛好奇妙 活在愛中 我們很羨慕 亦很享受在愛中 一起成長 一起被建立的地方」
[00:00:40.400 --> 00:00:42.400]  甚麼是「愛」呢
[00:00:42.400 --> 00:00:46.240]  我女兒有一本書 叫做「愛好簡單」
[00:00:46.240 --> 00:00:49.360]  是她幼稚園的時候 老師送給她的
[00:00:49.360 --> 00:00:52.640]  所以大家一看就知道 是一本幼稚園的書
[00:00:52.640 --> 00:00:56.240]  這本書很有趣 有很多漫畫
[00:00:56.240 --> 00:01:02.080]  它說到甚麼是「愛」呢 「愛」我經常聽到人說「我愛你」
[00:01:02.080 --> 00:01:05.160]  我聽到媽媽爺爺對他的孫說「我愛你」
[00:01:05.160 --> 00:01:07.840]  聽到爸爸跟媽媽說「我愛你」
[00:01:07.840 --> 00:01:11.840]  又聽到那些哥哥姐姐在一起 然後說「我愛你」
[00:01:11.840 --> 00:01:13.600]  那甚麼叫「愛」呢
[00:01:13.600 --> 00:01:16.520]  他說「愛」可不可以量度的
[00:01:16.520 --> 00:01:21.040]  「愛」可不可以能夠穿在身上呢
[00:01:21.040 --> 00:01:23.960]  小朋友都在問 「愛」是否值得的
[00:01:23.960 --> 00:01:27.640]  「愛」可不可以包起來送給你呢
[00:01:27.640 --> 00:01:32.080]  後來他就再問 「那「愛」是甚麼呢」
[00:01:32.080 --> 00:01:35.560]  他說 「愛」是否就是
[00:01:35.560 --> 00:01:39.360]  我見到一個媽媽抱著寶寶 那個是否「愛」呢
[00:01:39.360 --> 00:01:42.840]  我見到兩個 一男一女在一起
[00:01:42.840 --> 00:01:45.720]  很開心 那個是否「愛」呢
[00:01:45.720 --> 00:01:48.560]  見到爸爸不怕辛勞
[00:01:48.560 --> 00:01:53.720]  仍然跟我玩捉迷藏 或者騎駁馬的時候
[00:01:53.720 --> 00:01:56.200]  其中是否「愛」呢
[00:01:56.200 --> 00:02:00.520]  他一直說的時候 他再問「甚麼叫「愛」呀」
[00:02:00.520 --> 00:02:03.040]  「愛」到底是甚麼呢
[00:02:03.040 --> 00:02:09.360]  他就把整篇裡面 前書第十三章的《愛之篇》
[00:02:09.360 --> 00:02:11.520]  用作一個生活法的表達
[00:02:11.520 --> 00:02:14.440]  他說 「愛是當我已經很累了」
[00:02:14.440 --> 00:02:18.640]  「但媽媽還要我陪妹妹玩 我都願意」
[00:02:18.640 --> 00:02:21.200]  「愛是長久忍耐」
[00:02:21.200 --> 00:02:24.120]  「愛是雖然我很喜歡自己做的小火車」
[00:02:24.120 --> 00:02:27.320]  「但弟弟要玩的時候 我就讓他玩」
[00:02:27.320 --> 00:02:34.120]  「愛是凡事去相信 凡事攀望 凡事忍耐」
[00:02:34.120 --> 00:02:36.400]  所以當這本書一直說的時候
[00:02:36.400 --> 00:02:38.160]  他將很多生活的細節
[00:02:38.160 --> 00:02:42.360]  原來都能夠去演繹到愛的真諦
[00:02:42.360 --> 00:02:46.560]  《星》裡面提到愛 有幾個層面
[00:02:46.560 --> 00:02:51.440]  有時用「愛」這個字 原來在原文裡面都有不同的意思
[00:02:51.440 --> 00:02:54.080]  一個「愛」的層面 就是講到情慾裡面的愛
[00:02:54.080 --> 00:02:58.000]  講到一男一女在性的關係裡面的結合
[00:02:58.000 --> 00:03:01.520]  有一個「愛」的字 講到情感裡面的交流
[00:03:01.520 --> 00:03:03.920]  彼此依賴的「愛」
[00:03:03.920 --> 00:03:07.240]  在過不多前書第十三章 講到的「愛的詩篇」
[00:03:07.240 --> 00:03:12.800]  其實就正正是講到耶穌基督上帝對我們那種不知識的「愛」
[00:03:12.800 --> 00:03:15.400]  這份「愛」是流傳到萬代
[00:03:15.400 --> 00:03:20.240]  也是那份裡面有一種犧牲的「愛」
[00:03:20.240 --> 00:03:21.840]  耶穌基督犧牲的「愛」
[00:03:21.840 --> 00:03:27.720]  這是愛裡面最高峰 最真實的愛的表達
[00:03:27.720 --> 00:03:32.240]  上個星期我們做TWA 去到馬太福音
[00:03:32.240 --> 00:03:38.800]  在最後幾章我們看見耶穌基督的受苦 受死
[00:03:38.800 --> 00:03:43.920]  當時耶穌被人出賣 拉到巡撫的面前
[00:03:43.920 --> 00:03:48.360]  巡撫帶著兩個囚犯 因為當時是節期
[00:03:48.360 --> 00:03:52.760]  當時的節期 有一個機會去釋放其中一個囚犯
[00:03:52.760 --> 00:03:55.120]  巡撫就問那些會眾
[00:03:55.120 --> 00:04:01.400]  「你要我釋放耶穌 還是釋放殺人犯巴拉巴?」
[00:04:01.400 --> 00:04:07.520]  所有的群眾起哄說 「釋放巴拉巴!巴拉巴!巴拉巴!」
[00:04:07.520 --> 00:04:11.320]  他們大聲呼喊 「沒有人站在耶穌的面前」
