
[00:00:00.000 --> 00:00:04.000]  親愛的弟兄姊妹,我們面對着很多時代的變動,
[00:00:04.000 --> 00:00:08.000]  不能不做出對自己的評估。
[00:00:08.000 --> 00:00:11.000]  在神所賜給我們榮耀的生活裏面,
[00:00:11.000 --> 00:00:17.000]  神給我們三個保障以及應許。
[00:00:17.000 --> 00:00:20.000]  第一個事實上是跟大家來分享,
[00:00:20.000 --> 00:00:24.000]  就是我們真相信在聖靈的指引當中,
[00:00:24.000 --> 00:00:27.000]  神要幫助我們過一個得勝的生活。
[00:00:27.000 --> 00:00:30.000]  今天跟大家來特別的分享第二個,
[00:00:30.000 --> 00:00:33.000]  榮耀生活當中的應許跟保障,
[00:00:33.000 --> 00:00:36.000]  這是神所賜下永傳不變的旨意。
[00:00:36.000 --> 00:00:39.000]  下次跟大家來分享第三個,
[00:00:39.000 --> 00:00:42.000]  神所給我們的應許跟保障,
[00:00:42.000 --> 00:00:45.000]  就是永不改變的愛。
[00:00:45.000 --> 00:00:49.000]  所以今天讓我們以這個題目,
[00:00:49.000 --> 00:00:55.000]  永傳不變的旨意成爲我們今天跟大家分享的主題。
[00:00:55.000 --> 00:01:01.000]  我們先一起來看羅馬書的第八章28到30節。
[00:01:01.000 --> 00:01:07.000]  羅馬書的第八章28到30節。
[00:01:07.000 --> 00:01:11.000]  若是大家有的話,我們好不好一起來攻讀神的話語,
[00:01:11.000 --> 00:01:15.000]  營造我們在神的面前領受祂的話語,
[00:01:15.000 --> 00:01:17.000]  我們的生命也得到幫助。
[00:01:17.000 --> 00:01:20.000]  第八章第28節,我們一起來。
[00:01:20.000 --> 00:01:23.000]  我們曉得萬事都互相效力,
[00:01:23.000 --> 00:01:26.000]  叫愛神的人得益處。
[00:01:26.000 --> 00:01:29.000]  這是按他旨意被叫的人,
[00:01:29.000 --> 00:01:32.000]  因爲他預先所知道的人,
[00:01:32.000 --> 00:01:36.000]  就預先定下效法他兒子的模樣,
[00:01:36.000 --> 00:01:40.000]  使他兒子在許多生計中做長子。
[00:01:40.000 --> 00:01:43.000]  預先所定下的人,要召他們來,
[00:01:43.000 --> 00:01:46.000]  所召來的要稱他們爲義,
[00:01:46.000 --> 00:01:51.000]  所稱爲義的要叫他們得榮耀。
[00:01:51.000 --> 00:02:00.000]  在這個經文裏面特別的提出幾個相當具有神學味道的字眼。
[00:02:00.000 --> 00:02:05.000]  今天不會帶大家從這個角度來看這個經文,
[00:02:05.000 --> 00:02:09.000]  但是最少有幾個字我願意在當中先勾出來,
[00:02:09.000 --> 00:02:11.000]  然後稍微解釋,
[00:02:11.000 --> 00:02:16.000]  然後我們一起再看已父所書的第一章3到14節。
[00:02:16.000 --> 00:02:23.000]  第29節裏面講到一個字叫做預先知道,英文叫做for knowledge,
[00:02:23.000 --> 00:02:26.000]  上帝預先的知道。
[00:02:26.000 --> 00:02:31.000]  他在預先的定下,這個英文字叫predestination,
[00:02:31.000 --> 00:02:37.000]  就是神已經預定了。
[00:02:37.000 --> 00:02:40.000]  在第29節裏面最後一句話,
[00:02:40.000 --> 00:02:45.000]  使他的兒子在許多弟兄中做長子,
[00:02:45.000 --> 00:02:48.000]  長子這個字是夫照的意思,
[00:02:48.000 --> 00:02:53.000]  被夫照成爲許多弟兄中的長子。
[00:02:53.000 --> 00:02:57.000]  第30節,他說預先所定的要照他們,
[00:02:57.000 --> 00:03:01.000]  所照來的人要稱他們爲義。
[00:03:01.000 --> 00:03:04.000]  照來這個字叫做save,
