
[00:00:00.000 --> 00:00:05.840]  渴慕的平安在地上屬於人的
[00:00:05.840 --> 00:00:10.000]  在這個節期裏面你聽到最多的肯定是聖誕快樂
[00:00:10.000 --> 00:00:13.000]  如果問你到今天為止你聽到多少次聖誕快樂呢
[00:00:13.000 --> 00:00:16.000]  在今年 數不數到呢
[00:00:16.000 --> 00:00:20.800]  數不到了 剛才進來的時候可能不斷已經說聖誕快樂
[00:00:20.800 --> 00:00:22.000]  甚至可以這樣說
[00:00:22.000 --> 00:00:25.000]  我想聖誕節是全球最多人慶祝的節日
[00:00:25.000 --> 00:00:27.000]  無論你是什麼背景 什麼地方
[00:00:27.000 --> 00:00:29.000]  可能都會慶祝聖誕節
[00:00:29.000 --> 00:00:32.000]  香港都很多人在慶祝聖誕節
[00:00:32.000 --> 00:00:35.000]  可能當中有同學 有工作
[00:00:35.000 --> 00:00:39.000]  明天都公眾假期 又或者在放聖誕假
[00:00:39.000 --> 00:00:41.000]  聖誕節是一個慶祝的日子
[00:00:41.000 --> 00:00:44.000]  我們經常說普天同慶的日子
[00:00:44.000 --> 00:00:47.000]  有什麼值得我們慶祝呢
[00:00:47.000 --> 00:00:50.000]  剛才一開始的時候聽到一些詩歌裏面就是問
[00:00:50.000 --> 00:00:54.000]  咦 我們又說一次聖誕的故事
[00:00:54.000 --> 00:00:56.000]  每一年去到今天晚上你又坐在這裏
[00:00:56.000 --> 00:00:59.000]  有沒有弟兄姊妹超過一年坐在這裏
[00:00:59.000 --> 00:01:00.000]  在聖誕節的時候
[00:01:00.000 --> 00:01:02.000]  超過一年 即是今年不是第一次來
[00:01:02.000 --> 00:01:05.000]  我們給掌聲這些朋友
[00:01:05.000 --> 00:01:07.000]  有誰今天是第一次來的
[00:01:07.000 --> 00:01:08.000]  又給點掌聲給大家
[00:01:08.000 --> 00:01:10.000]  歡迎你們兩位當中
[00:01:10.000 --> 00:01:13.000]  Welcome
[00:01:13.000 --> 00:01:15.000]  聖誕節我們來到教會
[00:01:15.000 --> 00:01:16.000]  當然是來教會 是不是
[00:01:16.000 --> 00:01:18.000]  但是當聖誕節我們說普天同慶
[00:01:18.000 --> 00:01:21.000]  要慶祝 究竟聖誕節慶祝些什麼呢
[00:01:21.000 --> 00:01:23.000]  甚至這樣問今時今日我們的香港
[00:01:23.000 --> 00:01:25.000]  在我們的生活裏面
[00:01:25.000 --> 00:01:27.000]  又有什麼值得我們慶祝呢
[00:01:27.000 --> 00:01:33.000]  是經濟 是大環境 是我們的生活
[00:01:33.000 --> 00:01:35.000]  是我們望到的事情
[00:01:35.000 --> 00:01:37.000]  還是其實我們仍然會想
[00:01:37.000 --> 00:01:42.000]  我們繼續尋求 追求生活生命所需
[00:01:42.000 --> 00:01:43.000]  努力每天做些什麼呢
[00:01:43.000 --> 00:01:45.000]  就是謀生
[00:01:45.000 --> 00:01:48.000]  我在網上打聖誕願望這四個字
[00:01:48.000 --> 00:01:50.000]  第一時間出現的是什麼呢
[00:01:50.000 --> 00:01:51.000]  第一時間出現的
[00:01:51.000 --> 00:01:53.000]  就是一間很出名的證券公司
[00:01:53.000 --> 00:01:55.000]  的其中一個負責人說
[00:01:55.000 --> 00:01:57.000]  期望股票上升 上漲
[00:01:57.000 --> 00:01:59.000]  不知道這是不是你的聖誕願望
[00:01:59.000 --> 00:02:01.000]  是不是 對我沒有什麼關係
[00:02:01.000 --> 00:02:02.000]  因為我不太認識你
[00:02:02.000 --> 00:02:03.000]  也沒有買股票
