
[00:00:00.000 --> 00:00:10.400]  主祢是那位佩德,我們用盡我們的生命,用盡我們的氣力去讚美祢的那位神
[00:00:10.400 --> 00:00:12.400]  我們多謝祢
[00:00:12.400 --> 00:00:20.400]  聖靈啊,求祢在我們的中間,求祢在我們的心裏面對我們說話
[00:00:20.400 --> 00:00:26.400]  讓我們今天能夠同感一靈的,能夠領受祢自己的話語
[00:00:26.400 --> 00:00:32.400]  是清清楚楚的聽見神祢自己對我們說話
[00:00:32.400 --> 00:00:40.400]  主啊,願我們的目光在祢的裏面,讓我們的心被祢吸引
[00:00:40.400 --> 00:00:50.400]  主啊,求祢的靈自由的運用,求祢憐憫我們
[00:00:50.400 --> 00:00:57.400]  願祢的恩典,厚厚的充滿在我們的裏面
[00:00:57.400 --> 00:00:59.400]  多謝祢,多謝祢
[00:00:59.400 --> 00:01:03.400]  我們願聽的,說的,是同感一靈
[00:01:03.400 --> 00:01:10.400]  主啊,求祢釋放祢自己的話語,求祢使用,這是祢自己的時間
[00:01:10.400 --> 00:01:13.400]  願我們的心歸向祢
[00:01:13.400 --> 00:01:17.400]  我們這樣禱告,奉主耶穌名咎,阿們
[00:01:17.400 --> 00:01:19.400]  各位請坐
[00:01:21.400 --> 00:01:30.400]  今天我和大家分享一個,很想和大家分享的題目
[00:01:30.400 --> 00:01:33.400]  最近新鮮熱辣的一個經歷
[00:01:33.400 --> 00:01:37.400]  這個題目叫做軟弱背後的祝福
[00:01:37.400 --> 00:01:40.400]  軟弱背後的祝福
[00:01:40.400 --> 00:01:46.400]  在某一些主張成功神學的教會裏面
[00:01:46.400 --> 00:01:51.400]  如果你想說自己的軟弱,是非常困難
[00:01:51.400 --> 00:01:55.400]  不是一件容易的事,不是一件自然的事
[00:01:55.400 --> 00:01:57.400]  軟弱是什麼呢?
[00:01:57.400 --> 00:02:02.400]  不如我們說軟弱的相反,就是剛強
[00:02:02.400 --> 00:02:05.400]  簡單來說,軟弱是什麼呢?不行
[00:02:05.400 --> 00:02:08.400]  你說你自己不行的東西
[00:02:08.400 --> 00:02:16.400]  文咒咒就說,力有不抵,不堅強
[00:02:16.400 --> 00:02:18.400]  因為這些教會認為
[00:02:18.400 --> 00:02:21.400]  剛強的人,先可以侍奉
[00:02:21.400 --> 00:02:25.400]  成功的人,先可以有資格來見證神
[00:02:25.400 --> 00:02:29.400]  病得醫治,先是屬靈人
