
[00:00:00.000 --> 00:00:02.000]  鼎智梅 早安
[00:00:02.000 --> 00:00:04.000]  今天繼續在《約翰福音》裏面
[00:00:04.000 --> 00:00:06.000]  我們去找一些
[00:00:06.000 --> 00:00:08.000]  上帝的訊息
[00:00:08.000 --> 00:00:10.000]  能夠貼近我們的生活
[00:00:10.000 --> 00:00:12.000]  今天我選擇的經文是在《約翰福音》
[00:00:12.000 --> 00:00:14.000]  十三章三十一到
[00:00:14.000 --> 00:00:16.000]  三十八 總共八節的聖經
[00:00:16.000 --> 00:00:18.000]  定這個題目
[00:00:18.000 --> 00:00:20.000]  也是心有所感
[00:00:20.000 --> 00:00:22.000]  裏面也有一份感覺
[00:00:22.000 --> 00:00:24.000]  這個題目也在導引我們現在
[00:00:24.000 --> 00:00:26.000]  生活的 我們正在面對的
[00:00:26.000 --> 00:00:28.000]  生活的時代
[00:00:28.000 --> 00:00:30.000]  可能部分聽眾都知道
[00:00:30.000 --> 00:00:32.000]  其實我是一個創作人
[00:00:32.000 --> 00:00:34.000]  我過去也創作了很多
[00:00:34.000 --> 00:00:36.000]  詩歌 當然說的是
[00:00:36.000 --> 00:00:38.000]  現代的詩歌
[00:00:38.000 --> 00:00:40.000]  二十二年前
[00:00:40.000 --> 00:00:42.000]  一說就是二三十年
[00:00:42.000 --> 00:00:44.000]  現在說的那些故事
[00:00:44.000 --> 00:00:46.000]  二十二年前 當我還在
[00:00:46.000 --> 00:00:48.000]  現代詩歌運動的前線
[00:00:48.000 --> 00:00:50.000]  相對比較活躍的時候
[00:00:50.000 --> 00:00:52.000]  包括我作曲 填詞
[00:00:52.000 --> 00:00:54.000]  做唱片監製
[00:00:54.000 --> 00:00:56.000]  再早期的是拍攝錄音帶的監製
[00:00:56.000 --> 00:00:58.000]  創作了其中一首詩歌
[00:00:58.000 --> 00:01:00.000]  叫做《夜盡時》
[00:01:00.000 --> 00:01:02.000]  這首不是一首在教會
[00:01:02.000 --> 00:01:04.000]  敬拜或團契唱頌的詩歌
[00:01:04.000 --> 00:01:06.000]  所以你可能第一次未必聽過
[00:01:06.000 --> 00:01:08.000]  但如果你收錄過
[00:01:08.000 --> 00:01:10.000]  《鐳射光碟》叫做《有一隻羊》
[00:01:10.000 --> 00:01:12.000]  是一個音樂故事
[00:01:12.000 --> 00:01:14.000]  這首歌就收錄在唱片裏面
[00:01:14.000 --> 00:01:16.000]  當然這個唱片的經驗
[00:01:16.000 --> 00:01:18.000]  已經斷版了
[00:01:18.000 --> 00:01:20.000]  《夜盡時》這首詩歌
[00:01:20.000 --> 00:01:22.000]  其實我當時寫的時候
[00:01:22.000 --> 00:01:24.000]  是描寫彼得有三次
[00:01:24.000 --> 00:01:26.000]  不認主的片段
[00:01:26.000 --> 00:01:28.000]  我試試讀歌詞給大家聽
[00:01:28.000 --> 00:01:30.000]  第一節這樣說
[00:01:30.000 --> 00:01:32.000]  誰這麼否認
[00:01:32.000 --> 00:01:34.000]  誰這麼躲開
[00:01:34.000 --> 00:01:36.000]  誰曾確說到
[00:01:36.000 --> 00:01:38.000]  縱死也不怕
[00:01:38.000 --> 00:01:40.000]  絕不會否認
[00:01:40.000 --> 00:01:42.000]  大家大概都以為是
[00:01:42.000 --> 00:01:44.000]  呼林書記在彼得
[00:01:44.000 --> 00:01:46.000]  那三次不認主的
[00:01:46.000 --> 00:01:48.000]  大概的描述
[00:01:48.000 --> 00:01:50.000]  第二節
[00:01:50.000 --> 00:01:52.000]  在冷冰深夜
[00:01:52.000 --> 00:01:54.000]  火堆火光
[00:01:54.000 --> 00:01:56.000]  誰曾確說到
[00:01:56.000 --> 00:01:58.000]  再三的宣告
[00:01:58.000 --> 00:02:00.000]  我不是與他一夥
[00:02:00.000 --> 00:02:02.000]  這也描述了當時
[00:02:02.000 --> 00:02:04.000]  彼得一個很匆忙的答案
[00:02:04.000 --> 00:02:06.000]  這個答案在背後
[00:02:06.000 --> 00:02:08.000]  是他自己預料不到的
[00:02:08.000 --> 00:02:10.000]  其實是在幾個小時前
[00:02:10.000 --> 00:02:12.000]  他都預料不到
[00:02:12.000 --> 00:02:14.000]  自己是這麼清晰的說
[00:02:14.000 --> 00:02:16.000]  我不認識這個人
[00:02:16.000 --> 00:02:18.000]  副歌
[00:02:18.000 --> 00:02:20.000]  我曾經是這樣寫的
