
[00:00:00.000 --> 00:00:03.280]  幫我們開始的時候一起做個祈禱
[00:00:03.280 --> 00:00:04.740]  我們天父,我們感謝你
[00:00:04.740 --> 00:00:07.520]  讓我們今天下午,在這個週六的下午
[00:00:07.520 --> 00:00:09.620]  有機會去施上你的話語
[00:00:09.620 --> 00:00:14.420]  感謝我們有師哥可以用來讚美你
[00:00:14.420 --> 00:00:15.660]  但我們更加感謝你
[00:00:15.660 --> 00:00:19.100]  因為如果你沒有先向我們說話
[00:00:19.100 --> 00:00:23.600]  我們沒有辦法向你讚美
[00:00:23.600 --> 00:00:26.600]  是因為你向我們說話
[00:00:26.600 --> 00:00:28.240]  你用你恩慈的道
[00:00:28.240 --> 00:00:32.240]  你用你的靈氣,催促我們
[00:00:32.240 --> 00:00:34.340]  叫我們從死裡復活
[00:00:34.340 --> 00:00:35.980]  因著主耶穌基督
[00:00:35.980 --> 00:00:39.480]  祂為我們成就的救恩
[00:00:39.480 --> 00:00:42.520]  得以有一個新的生命
[00:00:42.520 --> 00:00:43.980]  求主祈禱我們今天下午
[00:00:43.980 --> 00:00:45.980]  一起繼續去領受你的話語
[00:00:45.980 --> 00:00:52.200]  去思想你給教會的一個挑戰
[00:00:52.200 --> 00:00:53.700]  也是一個禮物
[00:00:53.700 --> 00:00:57.800]  叫我們專注地去領受你的教導
[00:00:57.800 --> 00:00:59.240]  祝福我們在一起的時間
[00:00:59.240 --> 00:01:00.040]  我們今天這樣祈禱
[00:01:00.040 --> 00:01:02.040]  是奉主耶穌基督的名扣
[00:01:02.040 --> 00:01:04.140]  阿伯
[00:01:04.140 --> 00:01:08.040]  今天好像是一個很特別的日子
[00:01:08.040 --> 00:01:11.540]  今天是雙十一節
[00:01:11.540 --> 00:01:15.020]  雙十一節有什麼好做呢?
[00:01:15.020 --> 00:01:16.860]  有些人當然說
[00:01:16.860 --> 00:01:19.380]  當然是瘋狂購物
[00:01:19.380 --> 00:01:21.980]  也有人跟我說
[00:01:21.980 --> 00:01:23.920]  林牧師,我們哪有心情
[00:01:23.920 --> 00:01:27.700]  今天是光棍節
[00:01:27.700 --> 00:01:30.640]  我們從拜園已經約了三個單身狗
[00:01:30.640 --> 00:01:36.040]  在銅鑼灣,對酒去消愁
[00:01:36.040 --> 00:01:37.600]  在這個這麼特別的日子裡
[00:01:37.600 --> 00:01:41.540]  我有兩句說話想贈給大家
[00:01:41.540 --> 00:01:43.740]  這兩句說話跟今天有關係
[00:01:43.740 --> 00:01:48.080]  這兩句說話也跟上個禮拜的信息有關係
[00:01:48.080 --> 00:01:50.280]  這兩句說話就是
