
[00:00:00.000 --> 00:00:03.660]  好 今天和大家繼續去分享這個題目
[00:00:03.660 --> 00:00:05.660]  是叫做敬畏神
[00:00:05.660 --> 00:00:10.300]  敬畏神總共是有ABCDEF 我做了一個筆記
[00:00:10.300 --> 00:00:12.300]  大家手裏面有那個筆記
[00:00:12.300 --> 00:00:17.000]  今天和大家講到C和D這兩個方面
[00:00:17.000 --> 00:00:18.700]  遠離惡行
[00:00:18.700 --> 00:00:22.500]  一個敬畏神的人是要遠離惡行
[00:00:22.500 --> 00:00:26.100]  今天為甚麼很多時候人們不肯回教會
[00:00:26.100 --> 00:00:28.480]  或者我們傳福音這麼困難呢
[00:00:28.480 --> 00:00:29.980]  為甚麼呢
[00:00:29.980 --> 00:00:35.800]  John Stott我是很敬佩的一位牧師
[00:00:35.800 --> 00:00:38.220]  他又不可以叫神學家
[00:00:38.220 --> 00:00:39.800]  但是他寫了很多解經書
[00:00:39.800 --> 00:00:41.800]  我看了他所有的解經書
[00:00:41.800 --> 00:00:43.300]  很喜歡他的解經書
[00:00:43.300 --> 00:00:47.300]  看他其他的寫著作那些
[00:00:47.300 --> 00:00:49.300]  很好的
[00:00:49.300 --> 00:00:50.300]  他講了一句說話
[00:00:50.300 --> 00:00:52.800]  他說今天為甚麼這麼多人不想回教會呢
[00:00:52.800 --> 00:00:55.800]  因為教會令到很多人失望
[00:00:55.800 --> 00:00:59.300]  教會有很多人是很虛假的
[00:00:59.300 --> 00:01:02.300]  教會有很多人是說一套做一套的
[00:01:02.300 --> 00:01:05.300]  教會有很多人就是說謊的
[00:01:05.300 --> 00:01:08.300]  所以是教會裏面的弟兄姊妹
[00:01:08.300 --> 00:01:10.300]  或者說自己是弟兄姊妹的
[00:01:10.300 --> 00:01:12.300]  或者真是弟兄姊妹
[00:01:12.300 --> 00:01:14.300]  因著自己的軟弱跌倒
[00:01:14.300 --> 00:01:19.300]  以致令到人們覺得教會去做甚麼
[00:01:19.300 --> 00:01:23.300]  我的同事的教會最貪婪的是他
[00:01:23.300 --> 00:01:26.300]  最計較的是他
[00:01:26.300 --> 00:01:28.300]  有甚麼意思呢 回教會
[00:01:28.300 --> 00:01:31.300]  所以我們真的要好好地去反省檢討
[00:01:31.300 --> 00:01:34.300]  我自己覺得敬畏神是一樣
[00:01:34.300 --> 00:01:36.300]  很重要很重要的
[00:01:36.300 --> 00:01:41.300]  我們信神是無所不在處處都在的神
[00:01:41.300 --> 00:01:44.300]  不是一個教義來的
[00:01:44.300 --> 00:01:48.300]  真是當我自己每時每刻走走站站
[00:01:48.300 --> 00:01:51.300]  單獨一個人獨處的時候
[00:01:51.300 --> 00:01:53.300]  有人說你看一個人
[00:01:53.300 --> 00:01:56.300]  不是看他在人群當中的整個表現
[00:01:56.300 --> 00:01:58.300]  不是在台上的表現
[00:01:58.300 --> 00:02:00.300]  是甚麼時候
[00:02:00.300 --> 00:02:02.300]  他單獨一個人的時候
[00:02:02.300 --> 00:02:05.300]  或者他在一群不認識他的人當中
[00:02:05.300 --> 00:02:06.300]  人家不知道他是誰的時候
[00:02:06.300 --> 00:02:08.300]  他的表現
[00:02:08.300 --> 00:02:10.300]  其實對我們來說
[00:02:10.300 --> 00:02:12.300]  無論我單獨一個人
