
[00:00:00.000 --> 00:00:02.540]  我們開始之前先靜默片刻
[00:00:02.540 --> 00:00:13.260]  跟著我們來到你的根前
[00:00:13.260 --> 00:00:16.420]  我們的思想,你所賜予我們的話語
[00:00:16.420 --> 00:00:18.840]  主啊,多謝你,因為你的話語是
[00:00:18.840 --> 00:00:20.600]  是靈,是生命
[00:00:20.600 --> 00:00:22.360]  是進入我們生命裏面
[00:00:22.360 --> 00:00:26.180]  喚醒我們沉睡的靈的奇妙話語
[00:00:26.180 --> 00:00:28.520]  主啊,求你今天這個下午
[00:00:28.520 --> 00:00:31.060]  呼氣進入我們的生命裏面
[00:00:31.060 --> 00:00:35.740]  見不到一班在直播前面的年輕人
[00:00:35.740 --> 00:00:38.400]  一班的小朋友
[00:00:38.400 --> 00:00:40.440]  在地都為他們祈禱
[00:00:40.440 --> 00:00:43.400]  祈求你的話語可以留在他們的心中
[00:00:43.400 --> 00:00:45.440]  如此智慧,聰明,給孩子養
[00:00:45.440 --> 00:00:49.240]  孩子可以知道如何好好宣講
[00:00:49.240 --> 00:00:53.280]  很順暢地去將這段經文去解釋清楚
[00:00:53.280 --> 00:00:54.880]  多謝令我們禱告、交託
[00:00:54.880 --> 00:00:56.620]  奉下救主耶穌名詞,祈求
[00:00:58.260 --> 00:01:00.160]  今天講到的經文是
[00:01:00.160 --> 00:01:03.440]  《已不鎖書》一章十五至二十三節
[00:01:03.440 --> 00:01:07.240]  因為它的講題是一個照亮眼睛的祈求
[00:01:07.240 --> 00:01:11.960]  很明顯今天的講題跟禱告有很深的關係
[00:01:11.960 --> 00:01:13.360]  當我們看到最後的時候
[00:01:13.360 --> 00:01:16.280]  我希望能夠讓你看到一個很美麗
[00:01:16.280 --> 00:01:17.520]  很榮耀的圖畫
[00:01:17.520 --> 00:01:21.680]  一個非常燦爛關於禱告的圖畫
[00:01:21.680 --> 00:01:23.960]  我們應該如何禱告
[00:01:23.960 --> 00:01:26.760]  並且希望這個圖畫能夠顛覆我們
[00:01:26.760 --> 00:01:28.600]  對上帝的認識
[00:01:28.600 --> 00:01:32.920]  以致我們有一個非常不同的禱告
[00:01:32.920 --> 00:01:34.840]  但是今天我要講這段經文之前
[00:01:34.840 --> 00:01:37.440]  我發現不能夠只講這八節
[00:01:37.440 --> 00:01:39.880]  我發現今天我必須做一個濃縮的版本
[00:01:39.880 --> 00:01:42.200]  去講整個《已不鎖書》
[00:01:42.200 --> 00:01:44.280]  我甚至可能要講完整個第一章
[00:01:44.280 --> 00:01:47.680]  讓你明白這個祈求為什麼會這麼美麗
[00:01:47.680 --> 00:01:49.320]  這個祈求為什麼會這麼重要
[00:01:49.320 --> 00:01:51.680]  這麼榮耀、這麼偉大
[00:01:51.680 --> 00:01:54.680]  所以今天我會講一個比較長一點的前言
[00:01:54.680 --> 00:01:55.800]  讓你捉到一些東西
[00:01:55.800 --> 00:01:58.600]  但是當你聽完這個前言之後
[00:01:58.600 --> 00:02:02.160]  你會發現今天這篇的信息
[00:02:02.160 --> 00:02:04.720]  其實是寫給已不鎖書教會
[00:02:04.720 --> 00:02:07.480]  也都是寫給我們每一個人
[00:02:07.480 --> 00:02:14.120]  已不鎖城是一個什麼樣的地方
[00:02:14.120 --> 00:02:15.520]  第一章第一節講到
[00:02:15.520 --> 00:02:18.200]  奉神旨意作基督耶穌使徒的保羅
[00:02:18.200 --> 00:02:20.560]  他寫給已不鎖的眾聖徒
[00:02:20.560 --> 00:02:22.120]  已不鎖城是什麼樣的地方
[00:02:22.120 --> 00:02:24.440]  這個地方在亞細亞的一個港口
[00:02:24.440 --> 00:02:29.080]  是一個很繁榮很富裕的城市
[00:02:29.080 --> 00:02:30.440]  在當時的已不鎖城
[00:02:30.440 --> 00:02:33.480]  其實是一個亞細亞最大的城市
[00:02:33.480 --> 00:02:35.520]  古代的聖經學者告訴我們
[00:02:35.520 --> 00:02:38.360]  這個城市無論在政治上、經濟上
[00:02:38.360 --> 00:02:39.480]  在其他的方面
[00:02:39.480 --> 00:02:42.640]  都是每一個亞細亞城市的領頭者
[00:02:42.640 --> 00:02:44.280]  是一個榜樣來的
[00:02:44.280 --> 00:02:46.240]  所以基本上是
[00:02:46.240 --> 00:02:48.200]  它壓倒性的影響力
[00:02:48.200 --> 00:02:51.800]  影響著亞細亞的每一個地區
[00:02:51.800 --> 00:02:54.080]  甚至這個城市是一個交通要道
[00:02:54.080 --> 00:02:55.440]  它有港口
[00:02:55.440 --> 00:02:57.120]  它有很多的道路
[00:02:57.120 --> 00:02:59.000]  都要經過這個地方去進入
[00:02:59.000 --> 00:03:01.360]  亞細亞一些更深的地方
[00:03:01.360 --> 00:03:03.200]  所以你可以想像有交通要道
[00:03:03.200 --> 00:03:04.280]  有一個大城
[00:03:04.280 --> 00:03:05.720]  裏面有些什麼
