
[00:00:00.000 --> 00:00:03.580]  各位主內的弟兄姊妹 來賓早晨
[00:00:03.580 --> 00:00:08.560]  感謝主大家都可以來到神的殿中跟我們敬拜
[00:00:08.560 --> 00:00:10.920]  我們有弟兄姊妹都留在家裏
[00:00:10.920 --> 00:00:13.220]  因為疫情的關係
[00:00:13.220 --> 00:00:17.500]  我們在這裏都獻上我們的感謝
[00:00:17.500 --> 00:00:22.260]  因為我們都可以無論在任何的地方 任何的時間
[00:00:22.260 --> 00:00:24.640]  我們都不會受到攔阻
[00:00:24.640 --> 00:00:26.140]  沒有時間和地位的限制
[00:00:26.140 --> 00:00:28.880]  我們都可以向天上的符神去禱告
[00:00:28.880 --> 00:00:32.460]  剛才我們大家讀的經文當中我們都知道
[00:00:32.460 --> 00:00:34.320]  禱告是我們日常生活
[00:00:34.320 --> 00:00:39.200]  我們很多時候都會為每一樣不同的事情去禱告的
[00:00:39.200 --> 00:00:41.660]  無論我們自己身體的健康
[00:00:41.660 --> 00:00:44.420]  我們的事業 或者是為各樣的事情
[00:00:44.420 --> 00:00:46.040]  我們都很想去禱告
[00:00:46.040 --> 00:00:50.180]  但是我們明白到我們屬靈上的需要
[00:00:50.180 --> 00:00:55.720]  是天父 主耶穌在《馬太福音》
[00:00:55.720 --> 00:00:58.860]  教導門徒去禱告 剛才所讀的經文
[00:00:58.860 --> 00:01:02.140]  又在《老家福音》也有提到
[00:01:02.140 --> 00:01:07.780]  我們回看這個主禱文的時候
[00:01:07.780 --> 00:01:10.880]  我們第一步見到一個景象
[00:01:10.880 --> 00:01:15.900]  就是說「尊祢的名為聖」
[00:01:15.900 --> 00:01:20.320]  我們就看看 究竟我們有一個小小的示範
[00:01:20.320 --> 00:01:25.780]  究竟什麼叫做「為聖」呢?
[00:01:25.780 --> 00:01:28.200]  祢的名為聖呢? 神的名為聖呢?
[00:01:28.200 --> 00:01:33.400]  我們就可以看看這裡的一個示範
[00:01:33.400 --> 00:01:34.940]  我們來看看這個示範
[00:01:34.940 --> 00:01:40.420]  這張桌子上面有幾樣的家居用品
[00:01:40.420 --> 00:01:44.600]  這幾個用品大家都可以在家裡隨便找到
[00:01:44.600 --> 00:01:49.840]  有這些吃班戟的糖漿
[00:01:49.840 --> 00:01:52.680]  又有洗潔精 大家洗潔精
[00:01:52.680 --> 00:01:56.360]  又有一些汽水 你可以買到一瓶汽水
[00:01:56.360 --> 00:02:00.060]  又有一些油 還有洗手液
[00:02:00.060 --> 00:02:03.320]  究竟什麼叫做「尊祢的名為聖」?
[00:02:03.320 --> 00:02:05.420]  究竟神 我們的父神
[00:02:05.420 --> 00:02:08.520]  怎樣尊祢的名為聖呢?
[00:02:08.520 --> 00:02:10.120]  其實就是 英文就說
[00:02:10.120 --> 00:02:15.320]  基本上我們怎樣分別為聖
[00:02:15.320 --> 00:02:16.920]  我們就可以做這個
[00:02:16.920 --> 00:02:19.940]  可能大家做過科學 做過一些科學實驗
[00:02:19.940 --> 00:02:22.320]  有個所謂的Density Column
[00:02:22.320 --> 00:02:32.020]  就是一個物質的 混在一起去看這些事情
[00:02:32.020 --> 00:02:35.920]  這些液體 究竟怎樣會不會分得開呢?
[00:02:35.920 --> 00:02:38.100]  因為其實看到這件事
[00:02:38.100 --> 00:02:42.880]  我們信我們的天父上帝是獨一的真神
[00:02:42.880 --> 00:02:45.700]  世上上面有很多不同的意念
[00:02:45.700 --> 00:02:49.040]  那些主義 那些意念告訴我們
[00:02:49.040 --> 00:02:53.040]  原來我們可以敬拜的 不用敬拜主耶穌基督
[00:02:53.040 --> 00:02:57.200]  可以敬拜很多的神
