
[00:00:00.000 --> 00:00:03.000]  聖經都是神爽默示的
[00:00:03.000 --> 00:00:07.000]  於教訓督澤使人歸正
[00:00:07.000 --> 00:00:10.000]  教導和學義都是有益的
[00:00:10.000 --> 00:00:13.000]  叫屬神的人得以完全
[00:00:13.000 --> 00:00:16.000]  預備行各樣的善事
[00:00:16.000 --> 00:00:19.000]  感謝主在今日清晨透過聖經的說話
[00:00:19.000 --> 00:00:21.000]  我想和大家分享的題目就是
[00:00:21.000 --> 00:00:29.000]  先學發光再作世界的光
[00:00:29.000 --> 00:00:31.000]  今日的基督徒
[00:00:31.000 --> 00:00:34.000]  尤其是香港的基督徒
[00:00:34.000 --> 00:00:38.000]  對於自己在社會上的角色
[00:00:38.000 --> 00:00:41.000]  漸漸失去了信心
[00:00:41.000 --> 00:00:46.000]  因為在這十幾年來香港社會動盪的裏面
[00:00:46.000 --> 00:00:52.000]  教會被指責不關心社會的事務
[00:00:52.000 --> 00:00:56.000]  教會是一群不吃人間煙火
[00:00:56.000 --> 00:00:59.000]  是一個虛無的天堂裏面
[00:00:59.000 --> 00:01:03.000]  自己自如的一群人
[00:01:03.000 --> 00:01:08.000]  究竟基督徒是不是離地的呢?
[00:01:08.000 --> 00:01:11.000]  還是基督徒是這個世界裏面
[00:01:11.000 --> 00:01:16.000]  最腳踏實地的一群呢?
[00:01:16.000 --> 00:01:21.000]  對於有些基督徒進入了社會運動的裏面
[00:01:21.000 --> 00:01:25.000]  如果他是按照著基督所教他的
[00:01:25.000 --> 00:01:28.000]  去活出來的話
[00:01:28.000 --> 00:01:32.000]  我為他感恩
[00:01:32.000 --> 00:01:35.000]  當我們要在世界裏面
[00:01:35.000 --> 00:01:38.000]  為主發光的時候
[00:01:38.000 --> 00:01:40.000]  我們必須要問
[00:01:40.000 --> 00:01:44.000]  是發甚麼光?
[00:01:44.000 --> 00:01:49.000]  我們聚集一群人去帶領他們並不難
[00:01:49.000 --> 00:01:53.000]  難的就是難在你帶他去哪一處
[00:01:53.000 --> 00:01:56.000]  回想在八九民運的時候
[00:01:56.000 --> 00:02:00.000]  我對於在這個北京裏面絕食的大學生
[00:02:00.000 --> 00:02:03.000]  心裏面有很大的感動
[00:02:03.000 --> 00:02:05.000]  特別有他們的話
[00:02:05.000 --> 00:02:10.000]  要去呼籲香港人出來遊行
[00:02:10.000 --> 00:02:13.000]  去顯示給他們支持的時候
[00:02:13.000 --> 00:02:17.000]  我在一個社工和社會服務機構談了之後
[00:02:17.000 --> 00:02:21.000]  我們就決定辦一次的遊行示威
[00:02:21.000 --> 00:02:24.000]  時間很倉促
[00:02:24.000 --> 00:02:27.000]  於是我自己只能夠一個人
[00:02:27.000 --> 00:02:30.000]  走到元朗的大街小巷裏面呼籲
[00:02:30.000 --> 00:02:35.000]  元朗的市民出來示威
[00:02:35.000 --> 00:02:37.000]  日子很近了
[00:02:37.000 --> 00:02:41.000]  那晚的聚會浩浩蕩蕩的有幾千人
[00:02:41.000 --> 00:02:45.000]  我由他們元朗東帶到元朗西
[00:02:45.000 --> 00:02:49.000]  幾千人去到目的地之後就坐在那裏
[00:02:49.000 --> 00:02:56.000]  做什麼呢?坐在那裏做什麼呢?我不知道
[00:02:56.000 --> 00:02:59.000]  你很容易帶領一群人
[00:02:59.000 --> 00:03:02.000]  但你帶領他們去哪裏呢?
[00:03:02.000 --> 00:03:04.000]  我只能夠在一些境內事學過
[00:03:04.000 --> 00:03:08.000]  有關一些外國思想裏面跟他們分享
[00:03:08.000 --> 00:03:11.000]  但他們需要這些嗎?
[00:03:11.000 --> 00:03:16.000]  我由五四運動唐君毅先生所著的
[00:03:16.000 --> 00:03:20.000]  華民族之花果飄零等等的書跟他們分享
[00:03:20.000 --> 00:03:22.000]  有意義嗎?
[00:03:22.000 --> 00:03:24.000]  我問我自己
[00:03:24.000 --> 00:03:29.000]  我根本不知道帶領這群群眾去哪裏
[00:03:29.000 --> 00:03:33.000]  今日基督徒要講參與社會運動
[00:03:33.000 --> 00:03:39.000]  知不知道我們要帶領社會去哪裏呢?
[00:03:39.000 --> 00:03:43.000]  權力越大影響力越大
[00:03:43.000 --> 00:03:46.000]  責任就越大
[00:03:46.000 --> 00:03:49.000]  如果我們漫無目的地
[00:03:49.000 --> 00:03:54.000]  去帶領一群群眾向前行是危險的
[00:03:54.000 --> 00:03:57.000]  耶穌基督講給我們聽你們是世界的光
[00:03:57.000 --> 00:04:00.000]  只是這一句說話已經講給我們聽
[00:04:00.000 --> 00:04:03.000]  我們基督徒並不離地
[00:04:03.000 --> 00:04:08.000]  因為我們是世界裏面的光
[00:04:08.000 --> 00:04:11.000]  所以我們是腳踏實地
[00:04:11.000 --> 00:04:14.000]  這樣是為主做見證的一群人
[00:04:14.000 --> 00:04:17.000]  要講到為主發光
[00:04:17.000 --> 00:04:20.000]  我們不得要不從這個創世
[00:04:20.000 --> 00:04:22.000]  至到終末的時候
[00:04:22.000 --> 00:04:25.000]  上帝的心意
[00:04:25.000 --> 00:04:28.000]  當上帝創造大地的時候
[00:04:28.000 --> 00:04:30.000]  當他創造人的時候
[00:04:30.000 --> 00:04:34.000]  是按照他的形象來做人
[00:04:34.000 --> 00:04:36.000]  然後至於上帝和人
[00:04:36.000 --> 00:04:40.000]  已經有一個緊密不可分的關係
[00:04:40.000 --> 00:04:43.000]  而上帝又將人放在人群之中
[00:04:43.000 --> 00:04:46.000]  自然上帝對人群的社會
[00:04:46.000 --> 00:04:50.000]  有他特定的構想在
[00:04:50.000 --> 00:04:52.000]  在舊約的時代
[00:04:52.000 --> 00:04:54.000]  上帝揀選以色列人
[00:04:54.000 --> 00:04:56.000]  作為世界的光
[00:04:56.000 --> 00:05:00.000]  去引導人去歸回上帝
[00:05:00.000 --> 00:05:02.000]  去到新約
[00:05:02.000 --> 00:05:04.000]  上帝就選照教會
[00:05:04.000 --> 00:05:06.000]  作為世界的光
[00:05:06.000 --> 00:05:11.000]  呼籲世人歸回上帝的懷抱
