
[00:00:00.000 --> 00:00:04.500]  你知不知道在歷任的美國總統當中
[00:00:04.500 --> 00:00:08.500]  哪一個的任期是最短的呢?
[00:00:08.500 --> 00:00:12.000]  在1841年3月4日
[00:00:12.000 --> 00:00:17.000]  美國的第九任總統William Henry Harrison
[00:00:17.000 --> 00:00:21.000]  他就職,發表他的就職演說
[00:00:21.000 --> 00:00:24.500]  這一篇不是一篇普通的就職演說
[00:00:24.500 --> 00:00:30.000]  因為它應該是美國歷史上最長的一篇就職演說
[00:00:30.000 --> 00:00:32.500]  它超過9000字
[00:00:32.500 --> 00:00:39.500]  足足有起碼3篇長20分鐘的講道講章這麼長
[00:00:39.500 --> 00:00:43.500]  相信Harrison總統應該花了很多時間
[00:00:43.500 --> 00:00:46.500]  去預備這篇演說
[00:00:46.500 --> 00:00:50.500]  所以雖然就職典禮當天是下著雨
[00:00:50.500 --> 00:00:55.000]  又是出奇的凍,在戶外演說的他
[00:00:55.000 --> 00:01:01.000]  仍然沒有意思將這篇演詞修改或者減短
[00:01:01.000 --> 00:01:05.000]  他終於用了差不多兩個小時的時間
[00:01:05.000 --> 00:01:09.000]  去完成整篇的講稿
[00:01:09.000 --> 00:01:12.000]  結果他感染肺炎
[00:01:12.000 --> 00:01:18.000]  在同年4月4日因病離世,享年68歲
[00:01:18.000 --> 00:01:26.000]  就任總統職務總共是30天12小時30分鐘
[00:01:26.000 --> 00:01:29.500]  他也因為這樣而成為美國歷史裏面
[00:01:29.500 --> 00:01:36.500]  講得最多,做得最少的一位總統
[00:01:36.500 --> 00:01:41.000]  相反的,主耶穌基督在十字架上所講的說話
[00:01:41.000 --> 00:01:45.000]  雖然只是寥寥可數,只得七句
[00:01:45.000 --> 00:01:48.000]  但是句句都是這麼重要
[00:01:48.000 --> 00:01:52.000]  又或者你們都會同意主耶穌是
[00:01:52.000 --> 00:01:58.000]  講得最少,做得最多的一位人物
[00:01:58.000 --> 00:02:05.000]  耶穌在上午9時到正午12時講了三句說話
[00:02:05.000 --> 00:02:10.000]  第一句:路加福音23章34節
[00:02:10.000 --> 00:02:16.000]  父啊赦免他們,因為他們所作的,他們不曉得
[00:02:16.000 --> 00:02:20.000]  第二句:當另一個被釘的犯人
[00:02:20.000 --> 00:02:24.000]  求耶穌在德國降臨的時候紀念他
[00:02:24.000 --> 00:02:28.000]  路加福音23章43節
[00:02:28.000 --> 00:02:31.000]  耶穌對他說:我實在告訴你
[00:02:31.000 --> 00:02:36.000]  今天你要和我再樂園旅了
[00:02:36.000 --> 00:02:43.000]  第三句:他望到十字架下的母親和門徒
[00:02:43.000 --> 00:02:51.000]  在約翰福音19章26到27節記載:
[00:02:51.000 --> 00:02:57.000]  就對他母親說:母親,看你的兒子
[00:02:57.000 --> 00:03:02.000]  又對那門徒說:看你的母親
[00:03:02.000 --> 00:03:06.000]  接著從五正到新初
[00:03:06.000 --> 00:03:10.000]  遍地都是一片的黑暗
[00:03:10.000 --> 00:03:14.000]  在主耶穌被釘在十字架上最痛苦的時候
[00:03:14.000 --> 00:03:19.000]  因為他承擔了全人類所有的罪孽
[00:03:19.000 --> 00:03:23.000]  第四句說話他高叫:
[00:03:23.000 --> 00:03:27.000]  以你以你,拉瑪薩巴各帶利
[00:03:27.000 --> 00:03:31.000]  我的神,我的神,為什麼你棄我?
[00:03:31.000 --> 00:03:35.000]  然後在舊約聖經裡面
[00:03:35.000 --> 00:03:39.000]  指著他的先知預言都一一應驗了
[00:03:39.000 --> 00:03:43.000]  都證明了他就是尼塞亞
[00:03:43.000 --> 00:03:47.000]  在他要聽天父的說話都聽了
[00:03:47.000 --> 00:03:51.000]  在他因為要背著全人類的罪
[00:03:51.000 --> 00:03:53.000]  而和天父隔絕
[00:03:53.000 --> 00:03:55.000]  他渴慕神
[00:03:55.000 --> 00:03:57.000]  他講了第五句說話
[00:03:57.000 --> 00:04:01.000]  約翰福音十九章二十八節
[00:04:01.000 --> 00:04:04.000]  耶穌知道各樣的事已經成了
[00:04:04.000 --> 00:04:06.000]  唯要使經上的話應驗
[00:04:06.000 --> 00:04:11.000]  就說:我渴了
[00:04:11.000 --> 00:04:14.000]  再接著有一個器皿
[00:04:14.000 --> 00:04:17.000]  裝滿了醋放在那裡
[00:04:17.000 --> 00:04:20.000]  他們就拿海泳裝滿了醋
[00:04:20.000 --> 00:04:23.000]  綁在牛膝草上面
[00:04:23.000 --> 00:04:26.000]  送到祂的口
[00:04:26.000 --> 00:04:30.000]  耶穌上了那一口醋
[00:04:30.000 --> 00:04:34.000]  就說:成了
[00:04:34.000 --> 00:04:37.000]  It is finished
[00:04:37.000 --> 00:04:39.000]  如果我們仔細地去讀
[00:04:39.000 --> 00:04:42.000]  耶穌在人生最後一程的時候
[00:04:42.000 --> 00:04:44.000]  我們會發覺
[00:04:44.000 --> 00:04:46.000]  士兵曾經兩次
[00:04:46.000 --> 00:04:50.000]  向耶穌送上可以飲用的東西
[00:04:50.000 --> 00:04:52.000]  第一次是記載在馬太福音
[00:04:52.000 --> 00:04:57.000]  二十七章三十三到三十四節
[00:04:57.000 --> 00:05:00.000]  到了一個地方名叫角角他
[00:05:00.000 --> 00:05:02.000]  意思就是「逐流地」
[00:05:02.000 --> 00:05:06.000]  並定拿苦膽調和的酒給耶穌喝
[00:05:06.000 --> 00:05:09.000]  他上了就不肯喝
[00:05:09.000 --> 00:05:10.000]  一開始的時候
[00:05:10.000 --> 00:05:14.000]  士兵就送上了一個古方的雞尾酒
[00:05:14.000 --> 00:05:17.000]  用苦膽調和的酒
[00:05:17.000 --> 00:05:20.000]  原意是利用苦膽
[00:05:20.000 --> 00:05:23.000]  令到耶穌身體麻木
[00:05:23.000 --> 00:05:28.000]  以至是去減低祂的痛楚
[00:05:28.000 --> 00:05:33.000]  因為祂即將是要給幾口
[00:05:33.000 --> 00:05:37.000]  七吋到九吋長的釘
[00:05:37.000 --> 00:05:41.000]  釘進去耶穌的身體
[00:05:41.000 --> 00:05:45.000]  但是耶穌怎樣做呢
[00:05:45.000 --> 00:05:50.000]  祂上了就不肯喝
[00:05:50.000 --> 00:05:52.000]  祂為了我們
[00:05:52.000 --> 00:05:55.000]  祂定義要死
[00:05:55.000 --> 00:05:59.000]  否則祂不可以勝過死券
[00:05:59.000 --> 00:06:01.000]  祂為了我們
[00:06:01.000 --> 00:06:05.000]  祂不喝這杯用苦膽調和的酒
[00:06:05.000 --> 00:06:08.000]  因為祂要親身的經歷
[00:06:08.000 --> 00:06:12.000]  人生所要經歷的痛苦
[00:06:12.000 --> 00:06:15.000]  所以如果我們當中有不少弟兄姊妹
[00:06:15.000 --> 00:06:20.000]  現在正在飽受不同痛症的煎熬
[00:06:20.000 --> 00:06:22.000]  有些是劇烈的痛
[00:06:22.000 --> 00:06:24.000]  有些是慢慢的痛
[00:06:24.000 --> 00:06:27.000]  有些是隱隱的痛
[00:06:27.000 --> 00:06:29.000]  我們說 我們明白
[00:06:29.000 --> 00:06:31.000]  其實我們所明白的
[00:06:31.000 --> 00:06:34.000]  或者我們明白的有多少呢
[00:06:34.000 --> 00:06:35.000]  可能我們明白的
[00:06:35.000 --> 00:06:38.000]  只有百分之一 千分之一
[00:06:38.000 --> 00:06:39.000]  甚至有時候
[00:06:39.000 --> 00:06:42.000]  我們要解釋給我們自己的家庭醫生知道
[00:06:42.000 --> 00:06:44.000]  我們怎樣痛
[00:06:44.000 --> 00:06:45.000]  痛的程度是怎樣
[00:06:45.000 --> 00:06:49.000]  我們自己都不懂得去告訴醫生
[00:06:49.000 --> 00:06:51.000]  試問醫生又怎樣明白
[00:06:51.000 --> 00:06:54.000]  我們痛成怎樣
[00:06:54.000 --> 00:06:58.000]  但是我們的主耶穌祂知道
[00:06:58.000 --> 00:06:59.000]  祂明白
[00:06:59.000 --> 00:07:03.000]  因為祂經歷過
[00:07:03.000 --> 00:07:07.000]  祂痛過
[00:07:07.000 --> 00:07:09.000]  當中耶穌歷盡艱辛
[00:07:09.000 --> 00:07:11.000]  捱了幾個小時
[00:07:11.000 --> 00:07:15.000]  到了祂說第五句話
[00:07:15.000 --> 00:07:18.000]  我渴了之後
[00:07:18.000 --> 00:07:20.000]  士兵在帝賞的
[00:07:20.000 --> 00:07:23.000]  不再是苦膽調和的酒
[00:07:23.000 --> 00:07:27.000]  既然再沒有麻醉的成分
[00:07:27.000 --> 00:07:30.000]  這次耶穌祂接受了
[00:07:30.000 --> 00:07:34.000]  因為祂仍然可以徹底的經歷
[00:07:34.000 --> 00:07:36.000]  祂要承受的每一點痛
[00:07:36.000 --> 00:07:41.000]  又因為如果祂還是滴水不沾的話
[00:07:41.000 --> 00:07:43.000]  祂火燒的喉嚨
[00:07:43.000 --> 00:07:45.000]  就令到祂沒有辦法說出
[00:07:45.000 --> 00:07:49.000]  剩下的第六句話
[00:07:49.000 --> 00:07:51.000]  成了
[00:07:51.000 --> 00:07:55.000]  It is finished
