
[00:00:00.000 --> 00:00:08.560]  大家好 今天跟大家分享一卷書卷
[00:00:08.560 --> 00:00:12.600]  接下來我們各位同工一起來以一卷書卷
[00:00:12.600 --> 00:00:15.800]  就是彼得前書來跟大家分享裡面的訊息
[00:00:15.800 --> 00:00:18.400]  用來去掌握這個彼得前書
[00:00:18.400 --> 00:00:20.720]  我們給了這卷書一個名字叫做
[00:00:20.720 --> 00:00:22.560]  紅樓中的盤石
[00:00:22.560 --> 00:00:24.040]  今天我們講第一次
[00:00:24.040 --> 00:00:26.680]  如果大家留意到
[00:00:26.680 --> 00:00:30.520]  上一次車姑娘提及彼得的生命
[00:00:30.520 --> 00:00:32.160]  他前後的改變
[00:00:32.160 --> 00:00:35.480]  後來成為教會的領導
[00:00:35.480 --> 00:00:38.520]  看到他的信心很堅固
[00:00:38.520 --> 00:00:41.400]  他的名字彼得希臘文就是盤石
[00:00:41.400 --> 00:00:44.080]  很堅定的
[00:00:44.080 --> 00:00:47.800]  彼得後來寫了彼得前書
[00:00:47.800 --> 00:00:50.040]  也鼓勵當時的基督徒
[00:00:50.040 --> 00:00:53.440]  因為他在社會上遭到多方面的衝擊
[00:00:53.440 --> 00:00:56.320]  他的信心可能會有挑戰
[00:00:56.320 --> 00:00:59.200]  他也鼓勵他們要堅定不移
[00:00:59.200 --> 00:01:01.640]  好像紅樓中的盤石一樣
[00:01:01.640 --> 00:01:03.960]  站立不倒
[00:01:03.960 --> 00:01:05.160]  接下來的日子裡
[00:01:05.160 --> 00:01:08.520]  這麼多同工就以這個方向跟大家分享
[00:01:08.520 --> 00:01:12.080]  希望我們都能夠好像彼得的名字一樣
[00:01:12.080 --> 00:01:13.360]  都是盤石的
[00:01:13.360 --> 00:01:16.200]  我們信仰能夠在紅樓衝擊之下
[00:01:16.200 --> 00:01:19.120]  仍然堅定不移
[00:01:19.120 --> 00:01:24.840]  我們先認識多一點這卷書的背景資料
[00:01:24.840 --> 00:01:28.240]  其實在我們的程序表裡也刊登了這些資料
[00:01:28.240 --> 00:01:30.960]  今天跟大家簡略的看一看
[00:01:30.960 --> 00:01:32.480]  作者是史陶彼得
[00:01:32.480 --> 00:01:34.600]  他在羅馬寫了這卷書
[00:01:34.600 --> 00:01:37.440]  當時的時間是65至67年左右
[00:01:37.440 --> 00:01:39.440]  收信日在哪裡呢?
[00:01:39.440 --> 00:01:42.160]  在書卷的第一章的第一二節裡
[00:01:42.160 --> 00:01:46.040]  已經提到在本都加拉泰加法多加
[00:01:46.040 --> 00:01:49.880]  和亞西亞和皮推尼五個省的教會
[00:01:49.880 --> 00:01:52.280]  其實在哪裡呢?
[00:01:52.280 --> 00:01:54.200]  大家看到左上角
[00:01:54.200 --> 00:01:55.760]  就是羅馬的位置
[00:01:55.760 --> 00:01:57.840]  彼得在羅馬寫這卷書
[00:01:57.840 --> 00:02:03.080]  托人帶他到這五個省
[00:02:03.080 --> 00:02:05.840]  今天我們叫他到土耳其的地方
[00:02:05.840 --> 00:02:07.240]  裡面的教會
[00:02:07.240 --> 00:02:11.400]  裡面的教會主要以外邦人的信徒為主
[00:02:11.400 --> 00:02:14.360]  當然也有猶太人的基督徒
[00:02:14.360 --> 00:02:17.480]  在書卷第一二節裡
[00:02:17.480 --> 00:02:18.800]  就這樣說
[00:02:18.800 --> 00:02:21.160]  特別留意紅色的字
[00:02:21.160 --> 00:02:25.000]  耶穌基督的使徒彼得寫信給那
[00:02:25.000 --> 00:02:28.680]  分散在本都加拉泰加法多加
[00:02:28.680 --> 00:02:31.400]  亞西亞和皮推尼的寄居的
[00:02:31.400 --> 00:02:35.040]  就是照父神的先見被揀選
[00:02:35.040 --> 00:02:38.760]  藉著聖靈得承誡
[00:02:38.760 --> 00:02:41.720]  以致信服耶穌基督
[00:02:41.720 --> 00:02:43.560]  由蒙他血所殺的人
[00:02:43.560 --> 00:02:46.720]  願因為平安多多加給你們
[00:02:46.720 --> 00:02:51.320]  你看到紅色的字分散寄居揀選聖結
[00:02:51.320 --> 00:02:54.960]  由蒙他血所殺的
[00:02:54.960 --> 00:02:58.880]  這些詞彙都是形容舊約的猶太人常用的詞彙
[00:02:58.880 --> 00:03:01.600]  猶太人那時候已經分散了
[00:03:01.600 --> 00:03:05.200]  因為亡國分散在不同的地方寄居
[00:03:05.200 --> 00:03:08.720]  但猶太人一直都認為自己是上帝所揀選的子民
[00:03:08.720 --> 00:03:10.280]  是亞伯拉罕的後裔
[00:03:10.280 --> 00:03:12.040]  是神國的子民
[00:03:12.040 --> 00:03:14.480]  聖經裡面有很多潔淨的規矩
[00:03:14.480 --> 00:03:17.800]  條例猶太人都會遵守
[00:03:17.800 --> 00:03:20.000]  所以聖經說你們要承誡
[00:03:20.000 --> 00:03:22.000]  因為我是聖結的
[00:03:22.000 --> 00:03:24.960]  很多祭禮經常都會有血灑
[00:03:24.960 --> 00:03:28.120]  無論牛、羊都會灑在當中
[00:03:28.120 --> 00:03:32.160]  這些詞彙對有約的猶太人認識很清楚
[00:03:32.160 --> 00:03:34.000]  但彼得卻說
