
[00:00:00.000 --> 00:00:04.880]  頂姐妹讓我們在聆聽神的話語之先再次的同心祈禱
[00:00:04.880 --> 00:00:09.680]  願獨人口中的言語
[00:00:09.680 --> 00:00:12.400]  頂姐妹的心思意念
[00:00:12.400 --> 00:00:14.400]  蒙聖靈的啟迪
[00:00:14.400 --> 00:00:15.840]  蒙主的悅立
[00:00:15.840 --> 00:00:18.400]  禱告藉主耶穌基督的聖名而求
[00:00:18.400 --> 00:00:19.480]  阿們
[00:00:19.480 --> 00:00:29.240]  2019年的6月
[00:00:30.000 --> 00:00:32.880]  相信在香港的歷史當中
[00:00:32.880 --> 00:00:35.560]  會成為一個很特別的月份
[00:00:35.560 --> 00:00:38.960]  有多場的遊行聚會
[00:00:38.960 --> 00:00:41.800]  帶來了思想的衝擊
[00:00:41.800 --> 00:00:43.600]  立場的衝突
[00:00:43.600 --> 00:00:47.320]  可能是近30年最激烈的一次
[00:00:47.320 --> 00:00:51.560]  甚至乎是超越了5年前的佔領運動
[00:00:51.560 --> 00:00:55.160]  無論你是在哪一個立場
[00:00:55.160 --> 00:00:57.800]  你都沒有辦法完全置之不理
[00:00:58.720 --> 00:01:00.720]  因為在你的手機
[00:01:00.720 --> 00:01:02.720]  有很多群組
[00:01:02.720 --> 00:01:04.720]  在群組裡面
[00:01:04.720 --> 00:01:07.760]  每一天都有不同的文字
[00:01:07.760 --> 00:01:09.320]  不同的圖片
[00:01:09.320 --> 00:01:10.840]  不同的短片
[00:01:10.840 --> 00:01:12.160]  發給你
[00:01:12.160 --> 00:01:14.040]  就算你不想接收
[00:01:14.040 --> 00:01:16.040]  都去到你面前
[00:01:16.040 --> 00:01:17.680]  電視的新聞
[00:01:17.680 --> 00:01:19.320]  甚至在海外
[00:01:19.320 --> 00:01:21.720]  也有很多人來談論
[00:01:21.720 --> 00:01:24.640]  我都未曾試過在一個月裡面
[00:01:24.640 --> 00:01:27.320]  有這麼多不同地區的朋友
[00:01:27.320 --> 00:01:29.320]  不斷地來關心我
[00:01:29.320 --> 00:01:30.320]  最特別的是
[00:01:30.320 --> 00:01:31.520]  我太太知道了
[00:01:31.520 --> 00:01:33.760]  幾年前
[00:01:33.760 --> 00:01:35.480]  我們的工人
