
[00:00:00.000 --> 00:00:03.400]  弟兄姊妹平安 聖誕快樂
[00:00:03.400 --> 00:00:05.400]  今天也是張臨期
[00:00:05.400 --> 00:00:08.400]  張臨期是等待主耶穌再來
[00:00:08.400 --> 00:00:11.400]  其中一個的目的
[00:00:11.400 --> 00:00:14.400]  其實也很配合今天的主題
[00:00:14.400 --> 00:00:16.400]  或者今天彼得前書
[00:00:16.400 --> 00:00:23.400]  因為彼得前書也有幾重的末世的味道
[00:00:23.400 --> 00:00:25.400]  彼得也不斷提醒我們
[00:00:25.400 --> 00:00:32.400]  我們作為信徒在這個身份上有很多事情是需要謹守的
[00:00:32.400 --> 00:00:34.400]  就是因為要等待主耶穌再來
[00:00:34.400 --> 00:00:38.400]  所以今天我剛剛說到第五章
[00:00:38.400 --> 00:00:42.400]  我們最後一次 第八次是說彼得前書
[00:00:42.400 --> 00:00:45.400]  大家還記不記得前面說什麼呢
[00:00:45.400 --> 00:00:50.400]  在上一次我說三章十三到二十二節
[00:00:50.400 --> 00:00:54.400]  上個星期七姑娘說四章 一至十九節
[00:00:54.400 --> 00:00:57.400]  法國的段落上也是說
[00:00:57.400 --> 00:01:01.400]  向對外信徒發出一些呼籲和勸勉
[00:01:01.400 --> 00:01:03.400]  與受苦也有關係
[00:01:03.400 --> 00:01:05.400]  受苦是有益的
[00:01:05.400 --> 00:01:08.400]  我們信徒應該以什麼態度去面對這個
[00:01:08.400 --> 00:01:10.400]  因信主義帶來的苦難
[00:01:10.400 --> 00:01:14.400]  也以耶穌基督的聖去成為我們的榜樣
[00:01:14.400 --> 00:01:16.400]  另外七姑娘也提到
[00:01:16.400 --> 00:01:19.400]  重點也是與苦難有關係
[00:01:19.400 --> 00:01:20.400]  信徒要謹慎
[00:01:20.400 --> 00:01:22.400]  因為知道萬物的結局近過
[00:01:22.400 --> 00:01:26.400]  我們需要以什麼態度和角度去看這些苦難
[00:01:26.400 --> 00:01:30.400]  如果在生命當中有一個恰當的位置
[00:01:30.400 --> 00:01:33.400]  來領受苦難的意義是什麼呢
[00:01:33.400 --> 00:01:36.400]  苦難在我們生命當中的位置和意義是什麼呢
[00:01:36.400 --> 00:01:38.400]  同時我們要以一個歡喜快樂的心
[00:01:38.400 --> 00:01:41.400]  以及信靠主人的心來代替
[00:01:41.400 --> 00:01:44.400]  在面對苦難或末世的時候的一些疑惑
[00:01:44.400 --> 00:01:46.400]  上次就是這樣
[00:01:46.400 --> 00:01:50.400]  今天我會分享五章一至十一節
[00:01:50.400 --> 00:01:52.400]  但其實還沒有完結
[00:01:52.400 --> 00:01:56.400]  五章最後有一個祝福語
[00:01:56.400 --> 00:01:58.400]  所以時間關係就不講了
[00:01:58.400 --> 00:02:01.400]  主要集中講一至十一節
[00:02:01.400 --> 00:02:03.400]  這段的段落也很重要
[00:02:03.400 --> 00:02:05.400]  好像彼得寫信寫到最後
[00:02:05.400 --> 00:02:07.400]  要向他們 教會來
[00:02:07.400 --> 00:02:11.400]  因為這封信是給教會的頂智妹
[00:02:11.400 --> 00:02:13.400]  無論是領袖
[00:02:13.400 --> 00:02:16.400]  所以這封信雖然在十節裡
[00:02:16.400 --> 00:02:20.400]  向三類人士作出一個勸勉
[00:02:20.400 --> 00:02:24.400]  有教睦 領袖 有年輕的信徒
[00:02:24.400 --> 00:02:27.400]  也有所有的會眾
[00:02:27.400 --> 00:02:28.400]  不同的會眾
[00:02:28.400 --> 00:02:31.400]  我們有不同的頂智妹的身份角色
[00:02:31.400 --> 00:02:33.400]  但在當中也要謹記
[00:02:33.400 --> 00:02:35.400]  要謹守主導
[00:02:35.400 --> 00:02:37.400]  在這個末世當中去忍受苦難
[00:02:37.400 --> 00:02:39.400]  但最大的安慰就是
[00:02:39.400 --> 00:02:41.400]  我們能夠同得主將來
[00:02:41.400 --> 00:02:45.400]  在來的時候將要顯現那份榮耀
[00:02:45.400 --> 00:02:47.400]  就是今天的內容
[00:02:47.400 --> 00:02:52.400]  我們今天也會一起讀完這十一節的經文
[00:02:52.400 --> 00:02:53.400]  很寶貴的
[00:02:53.400 --> 00:02:55.400]  我會跟大家一起讀
[00:02:55.400 --> 00:02:57.400]  先讀一至四節
[00:02:57.400 --> 00:03:01.400]  這作長老 作基督受父的見證
[00:03:01.400 --> 00:03:04.400]  同享後來所要顯現之榮耀的
[00:03:04.400 --> 00:03:07.400]  勸你們中間與我同作長老的人
[00:03:07.400 --> 00:03:11.400]  勿要牧養在你們中間上帝的群羊
[00:03:11.400 --> 00:03:14.400]  按著上帝旨意照管他們
[00:03:14.400 --> 00:03:16.400]  不是出於勉強
[00:03:16.400 --> 00:03:17.400]  乃是出於甘心
[00:03:17.400 --> 00:03:19.400]  也不是因為貪財
[00:03:19.400 --> 00:03:21.400]  乃是出於樂意
[00:03:21.400 --> 00:03:24.400]  也不是乞濟所託付你們的
[00:03:24.400 --> 00:03:26.400]  乃是作群羊的保養
[00:03:26.400 --> 00:03:29.400]  到了牧長顯現的時候
[00:03:29.400 --> 00:03:33.400]  你們必得那永不衰殘的榮耀冠冕
[00:03:33.400 --> 00:03:34.400]  下一段
[00:03:44.400 --> 00:03:46.400]  所以你們要自卑
[00:03:46.400 --> 00:03:49.400]  伏在神大能的手下
[00:03:49.400 --> 00:03:50.400]  到了時候
[00:03:50.400 --> 00:03:52.400]  祂叫你們升高
[00:03:52.400 --> 00:03:56.400]  你們要將一切憂慮射給上帝
[00:03:56.400 --> 00:03:58.400]  因為祂顧念你們
[00:03:58.400 --> 00:04:00.400]  好 接著呢
[00:04:00.400 --> 00:04:03.400]  勿要謹守警醒
[00:04:03.400 --> 00:04:06.400]  因為你們的仇敵魔鬼
[00:04:06.400 --> 00:04:09.400]  如同敲叫的獅子遍地遊行
[00:04:09.400 --> 00:04:10.400]  尋找你
[00:04:10.400 --> 00:04:14.400]  可吞吃的人
[00:04:14.400 --> 00:04:17.400]  你們要用堅固的信心抵擋他
