
[00:00:00.000 --> 00:00:04.400]  今天又會回到《約書亞記》
[00:00:04.400 --> 00:00:09.400]  講《約書亞記》的第十六章至到二十二章
[00:00:09.400 --> 00:00:13.900]  講完以色列人如何征服迦南之後
[00:00:13.900 --> 00:00:15.900]  現在要講分地
[00:00:15.900 --> 00:00:20.400]  就是在第十六至二十二章一動七章的經文
[00:00:20.400 --> 00:00:23.400]  其實今天的主題是要講到
[00:00:23.400 --> 00:00:27.900]  千萬不要違背神的誡命
[00:00:27.900 --> 00:00:30.900]  當我們違背神的誡命的時候
[00:00:30.900 --> 00:00:33.900]  就會導致有很多的試驗
[00:00:33.900 --> 00:00:35.900]  有很多的試探
[00:00:35.900 --> 00:00:39.900]  所以我們要謹守遵行神的誡命
[00:00:39.900 --> 00:00:43.900]  今天的經文在《約書亞記》的二十二章五節
[00:00:43.900 --> 00:00:48.900]  和《試試記》的二章二十至二十三節
[00:00:48.900 --> 00:00:53.900]  其實《約書亞記》可以分為四個主要的部分
[00:00:53.900 --> 00:00:55.900]  第一個部分就是一個序言
[00:00:55.900 --> 00:01:00.900]  在第一章是講《約書亞記》的介紹
[00:01:00.900 --> 00:01:05.900]  二至五章是講到以色列人如何進入迦南地
[00:01:05.900 --> 00:01:10.900]  六至十二章是講他們如何征服迦南
[00:01:10.900 --> 00:01:14.900]  而在十三至二十二章就是今天所要講的
[00:01:14.900 --> 00:01:17.900]  他們如何分割迦南地
[00:01:17.900 --> 00:01:19.900]  分給十二支派
[00:01:19.900 --> 00:01:22.900]  其中我們看到十三章所講的
[00:01:22.900 --> 00:01:26.900]  是在約旦河東面有兩個半支派
[00:01:26.900 --> 00:01:31.900]  就是樓賓、加德和馬拿西的半個支派
[00:01:31.900 --> 00:01:33.900]  他們去到約旦河的東面
[00:01:33.900 --> 00:01:36.900]  看到土地很肥沃、很漂亮
[00:01:36.900 --> 00:01:38.900]  他們有很多的伸縮
[00:01:38.900 --> 00:01:41.900]  他們就自己說我們一定要在這裡居住
[00:01:41.900 --> 00:01:47.900]  我們要將這些草原成為我們的土地
[00:01:47.900 --> 00:01:52.900]  所以他們就跟摩西說要居住在約旦河的東面
[00:01:52.900 --> 00:01:56.900]  十四至十九章是講其餘九個半支派
[00:01:56.900 --> 00:02:00.900]  在約旦河的西面得到他們的封地
[00:02:00.900 --> 00:02:03.900]  其中十四、十五章上次跟大家講了
[00:02:03.900 --> 00:02:07.900]  是講由大支派主角就是迦南
[00:02:07.900 --> 00:02:10.900]  而十六章是講以法聯支派
[00:02:10.900 --> 00:02:13.900]  十七章是馬拿西半個支派
[00:02:13.900 --> 00:02:15.900]  很有趣
[00:02:15.900 --> 00:02:19.900]  馬拿西半個支派在約旦河的西面
[00:02:19.900 --> 00:02:23.900]  也有半個支派在約旦河的東面
[00:02:23.900 --> 00:02:26.900]  十八章就是講變亞聞支派
[00:02:26.900 --> 00:02:31.900]  而十九章就是其餘六個支派的封地
[00:02:31.900 --> 00:02:33.900]  二十至二十一章
