
[00:00:00.000 --> 00:00:04.440]  各位弟兄姊妹 各位同宮 大家好
[00:00:04.440 --> 00:00:06.440]  我要憑一種想像力
[00:00:06.440 --> 00:00:08.640]  坐在我面前有一班同宮
[00:00:08.640 --> 00:00:11.000]  我要想像在同宮背後
[00:00:11.000 --> 00:00:14.040]  有很多很多的清誠的 加誠的
[00:00:14.040 --> 00:00:15.920]  或者是心加誠的弟兄姊妹
[00:00:15.920 --> 00:00:17.640]  跟我們一起去敬拜
[00:00:17.640 --> 00:00:21.600]  一起去聆聽神的說話
[00:00:21.600 --> 00:00:23.400]  不知道剛才敬拜裏面
[00:00:23.400 --> 00:00:25.840]  大家有什麼樣的體會
[00:00:25.840 --> 00:00:29.120]  我覺得主常常都鼓勵我們
[00:00:29.120 --> 00:00:31.800]  即使我們不是很容易相聚
[00:00:31.800 --> 00:00:35.040]  但他常常告訴我 他跟我們是相聚的
[00:00:35.040 --> 00:00:38.440]  他的愛在我們中間
[00:00:38.440 --> 00:00:41.480]  我想在疫情裏面
[00:00:41.480 --> 00:00:45.160]  弟兄姊妹少了聚集
[00:00:45.160 --> 00:00:50.880]  我不知道會不會在考驗我們對神的渴慕
[00:00:50.880 --> 00:00:55.280]  我想有些人很想回來教會聚會
[00:00:55.280 --> 00:01:00.440]  因為跟弟兄姊妹一起有一種真實的相交
[00:01:00.440 --> 00:01:02.080]  不像在家裏
[00:01:02.080 --> 00:01:05.440]  兩個人 三個人 甚至一個人對著螢幕
[00:01:05.440 --> 00:01:09.240]  好像很奇怪
[00:01:09.240 --> 00:01:13.040]  我想在限聚令裏面 在這個疫情之下
[00:01:13.040 --> 00:01:18.040]  很多人心裏面的渴望都慢慢呈現出來
[00:01:18.040 --> 00:01:21.760]  我不知道你前幾天
[00:01:21.760 --> 00:01:28.000]  在公眾假期看到很多人走到街外
[00:01:28.000 --> 00:01:31.760]  我都走了出去走走
[00:01:31.760 --> 00:01:34.200]  覺得很多人
[00:01:34.200 --> 00:01:37.040]  我覺得好像在疫情裏面
[00:01:37.040 --> 00:01:38.880]  比我們多了一種反思
[00:01:38.880 --> 00:01:42.160]  其實我們心裏面有什麼渴望
[00:01:42.160 --> 00:01:44.160]  有什麼渴想
[00:01:44.160 --> 00:01:46.480]  我們渴望跟人更多的交往
[00:01:46.480 --> 00:01:49.600]  我聽到有些弟兄姊妹說
[00:01:49.600 --> 00:01:52.200]  因為要整天困在家裏
[00:01:52.200 --> 00:01:54.880]  所以就很想找人聊天
[00:01:54.880 --> 00:01:56.720]  很想跟人坐在一起
[00:01:56.720 --> 00:01:59.440]  暢談天南地北
[00:01:59.440 --> 00:02:02.720]  有些人很想吃一頓好的飯
[00:02:02.720 --> 00:02:04.960]  有些人很想在這個節日裏
[00:02:04.960 --> 00:02:08.200]  能夠跟更多人一起去禱告
[00:02:08.200 --> 00:02:11.160]  不知道這個疫情裏面
[00:02:11.160 --> 00:02:13.480]  會不會再一次令我們反省
[00:02:13.480 --> 00:02:19.760]  我們對神和主的渴望一起有多少呢
[00:02:19.760 --> 00:02:22.200]  今天選擇的幾節經文
[00:02:22.200 --> 00:02:25.360]  跟這個題目很有關係
[00:02:25.360 --> 00:02:28.840]  大家可以聽我讀一次
[00:02:28.840 --> 00:02:30.640]  這三節聖經
[00:02:30.640 --> 00:02:36.360]  在約翰福音七章三十七節到三十九節
[00:02:36.360 --> 00:02:38.560]  大家可以一起看螢幕
[00:02:38.560 --> 00:02:40.760]  一起聽我讀出來
[00:02:40.760 --> 00:02:41.960]  聖經這樣說
[00:02:41.960 --> 00:02:45.440]  「節期的末日就是最大之日
[00:02:45.440 --> 00:02:47.240]  耶穌站著高聲說
