
[00:00:00.000 --> 00:00:04.680]  我哋呢一次呢就選咗一個
[00:00:04.680 --> 00:00:10.160]  財主同埋拉薩路嘅比喻呢
[00:00:10.160 --> 00:00:13.360]  嚟做呢一個系列嘅結束
[00:00:13.360 --> 00:00:17.200]  咁我等陣先話畀大家聽點解我會選呢一個
[00:00:17.200 --> 00:00:22.200]  我哋大家一齊打開路加福音第16章
[00:00:22.200 --> 00:00:27.440]  我哋試下再讀呢一個嘅比喻一次
[00:00:27.440 --> 00:00:34.160]  路加福音第16章
[00:00:34.160 --> 00:00:40.560]  我哋會由第19節讀完第31節
[00:00:40.560 --> 00:00:44.960]  搵到嘅請聽我讀出嚟就可以啦
[00:00:44.960 --> 00:00:49.760]  路加福音16章19到31節
[00:00:49.760 --> 00:00:56.800]  有一個財主穿著紫色袍和細麻布衣服
[00:00:56.800 --> 00:00:59.520]  天天奢華艷樂
[00:00:59.520 --> 00:01:02.760]  又有一個討飯的名叫拉薩路
[00:01:02.760 --> 00:01:06.920]  渾身生瘡被人放在財主門口
[00:01:06.920 --> 00:01:12.960]  要得財主桌子上掉下來的零碎沖記
[00:01:12.960 --> 00:01:15.960]  並且狗來舔他的瘡
[00:01:15.960 --> 00:01:20.160]  後來那討飯的死了被天使帶去
[00:01:20.160 --> 00:01:22.360]  放在阿巴拉罕的懷裡
[00:01:22.360 --> 00:01:26.560]  財主也死了並且埋葬了
[00:01:26.560 --> 00:01:28.720]  財主陰間受痛苦
[00:01:28.720 --> 00:01:32.000]  舉目遠遠地望見阿巴拉罕
[00:01:32.000 --> 00:01:34.760]  又望見拉薩路在他懷裡
[00:01:34.760 --> 00:01:36.120]  就喊著說
[00:01:36.120 --> 00:01:38.520]  我祖阿巴拉罕可憐我吧
[00:01:38.520 --> 00:01:43.520]  打發拉薩路來用指頭沾沾點水
[00:01:43.520 --> 00:01:45.320]  涼涼我的舌頭
[00:01:45.320 --> 00:01:48.800]  因為我在這火焰裡極其痛苦
[00:01:48.800 --> 00:01:49.760]  阿巴拉罕說
[00:01:49.760 --> 00:01:53.160]  兒啊,你該回想你生前享過福
[00:01:53.160 --> 00:01:55.560]  拉薩路也受過苦
[00:01:55.560 --> 00:01:58.000]  如今他在這裡得安慰
[00:01:58.000 --> 00:01:59.760]  你倒受痛苦
[00:01:59.760 --> 00:02:00.920]  不但這樣
[00:02:00.920 --> 00:02:04.200]  並且在你我之間有深淵限定
[00:02:04.200 --> 00:02:06.520]  以至人要從這邊過到那
[00:02:06.520 --> 00:02:08.760]  你們那邊是不能的
[00:02:08.760 --> 00:02:13.760]  要從那邊過到我們這邊也是不能的
[00:02:13.760 --> 00:02:14.360]  財主說
[00:02:14.360 --> 00:02:18.000]  我祖啊,既是這樣求你打發拉薩路
[00:02:18.000 --> 00:02:19.600]  到我父家去
[00:02:19.600 --> 00:02:22.200]  因為我還有五個弟兄
[00:02:22.200 --> 00:02:24.520]  他可以對他們作見證
[00:02:24.520 --> 00:02:27.800]  免得他們也來到這痛苦的地方
[00:02:27.800 --> 00:02:28.800]  阿巴拉罕說
[00:02:28.800 --> 00:02:32.400]  他們有摩西和先知的話可以聽從
[00:02:32.400 --> 00:02:33.000]  他說
[00:02:33.000 --> 00:02:35.200]  我祖阿巴拉罕那不是的
[00:02:35.200 --> 00:02:37.200]  若有一個從死裡復活的
[00:02:37.200 --> 00:02:39.120]  到他們那裡去的
[00:02:39.120 --> 00:02:41.600]  他們必要悔改
[00:02:41.600 --> 00:02:42.320]  阿巴拉罕說
[00:02:42.320 --> 00:02:45.920]  若不聽從摩西和先知的話
[00:02:45.920 --> 00:02:48.120]  就是有一個從死裡復活的
[00:02:48.120 --> 00:02:52.320]  他們也是不聽勸
[00:02:52.320 --> 00:02:55.400]  這個比喻是人人都很喜歡讀的
[00:02:55.400 --> 00:02:59.720]  小孩子會引起很多的聯想
[00:02:59.720 --> 00:03:04.720]  大人非常滿足在報復的心理
[00:03:04.720 --> 00:03:11.120]  所以這個故事數年來都是受歡迎的
[00:03:11.120 --> 00:03:15.120]  我們看看電視劇、電影的故事
[00:03:15.120 --> 00:03:19.320]  或者武俠小說都有一個公式
[00:03:19.320 --> 00:03:23.520]  那個公式就是故事的四分之三
[00:03:23.520 --> 00:03:25.520]  都是說惡人當道的
[00:03:25.520 --> 00:03:29.920]  那些好人就被迫得苦不堪言
[00:03:29.920 --> 00:03:32.120]  然後到最後一個大決戰
[00:03:32.120 --> 00:03:35.120]  人心就十分之痛快了
[00:03:35.120 --> 00:03:36.520]  因為在那個時候
[00:03:36.520 --> 00:03:39.320]  惡人就被打到落花流水
[00:03:39.320 --> 00:03:42.520]  那個二人就好像黃飛鴻的收場
[00:03:42.520 --> 00:03:45.720]  我們就很喜歡這種的
[00:03:45.720 --> 00:03:48.320]  外國人所謂的good guy bad guy
[00:03:48.320 --> 00:03:50.120]  這種的故事
[00:03:50.120 --> 00:03:53.920]  我們都盼望在人生是這樣的
[00:03:53.920 --> 00:03:57.520]  我們人是有一種天性
