
[00:00:00.000 --> 00:00:02.960]  有所作為的人生
[00:00:30.000 --> 00:00:31.560]  怎樣跟人相交
[00:00:31.560 --> 00:00:33.640]  怎樣能夠奉獻生命
[00:00:33.640 --> 00:00:37.680]  我們叫做Celebrate, Connect and Contribute
[00:00:37.680 --> 00:00:39.760]  究竟作為一個主的門徒
[00:00:39.760 --> 00:00:42.360]  我們應該做些什麼呢?
[00:00:42.360 --> 00:00:46.200]  很多年前我聽見英文有一句phrase
[00:00:46.200 --> 00:00:48.720]  叫做Make a Difference
[00:00:48.720 --> 00:00:49.640]  Make a Difference
[00:00:49.640 --> 00:00:51.880]  講到I want to make a difference for Christ
[00:00:51.880 --> 00:00:54.800]  我想願意為基督Make a Difference
[00:00:54.800 --> 00:00:57.040]  但我不知道怎樣翻譯
[00:00:57.040 --> 00:00:58.600]  Make a Difference才對
[00:00:58.600 --> 00:01:01.680]  有些不同或不再一樣
[00:01:01.680 --> 00:01:04.000]  我覺得都不好,不太好
[00:01:04.000 --> 00:01:07.240]  後來我們有個童工告訴我
[00:01:07.240 --> 00:01:08.640]  他說Make a Difference
[00:01:08.640 --> 00:01:13.040]  是回憶到有所作為的一個生命
[00:01:13.040 --> 00:01:14.720]  我覺得是很好
[00:01:14.720 --> 00:01:16.200]  有所作為
[00:01:16.200 --> 00:01:18.800]  我們信了耶穌之後做主的門徒
[00:01:18.800 --> 00:01:21.320]  我們不是白白的信了主就算
[00:01:21.320 --> 00:01:23.640]  我們一定要有所作為
[00:01:23.640 --> 00:01:25.480]  我們一定要Make a Difference
[00:01:25.480 --> 00:01:27.160]  因為我們信了主
[00:01:27.160 --> 00:01:30.560]  所以我們周圍的人會因為我們的緣故
[00:01:30.560 --> 00:01:32.080]  是Make a Difference
[00:01:32.080 --> 00:01:35.360]  這個就是有所作為的意思
[00:01:35.360 --> 00:01:38.560]  我想我們每個人都願意接納這句說話
[00:01:38.560 --> 00:01:40.680]  我都願意有所作為
[00:01:40.680 --> 00:01:42.760]  但很多時候是有心無力
[00:01:42.760 --> 00:01:46.000]  我們不知道怎樣才叫做有所作為
[00:01:46.000 --> 00:01:49.760]  又不知道應該怎樣做
[00:01:49.760 --> 00:01:52.640]  或者我們可以從這方面去想一想
[00:01:52.640 --> 00:01:57.440]  如果我們教會有一天忽然間有原因不在了
[00:01:57.440 --> 00:01:59.960]  連建築物都沒有了的時候
[00:01:59.960 --> 00:02:02.240]  不知道在栗子文山裏面的人
[00:02:02.240 --> 00:02:04.920]  有沒有掛念我們呢?
[00:02:04.920 --> 00:02:07.320]  有沒有想過沒有他們了
[00:02:07.320 --> 00:02:08.440]  他們不在了
[00:02:08.440 --> 00:02:11.760]  會不會有失落或者不捨得呢?
[00:02:11.760 --> 00:02:13.040]  或者我們這樣想
[00:02:13.040 --> 00:02:14.840]  如果是你和我
[00:02:14.840 --> 00:02:18.080]  我們作為其他人的同學
[00:02:18.080 --> 00:02:19.360]  我是他同學來的
[00:02:19.360 --> 00:02:20.560]  或者我是他同事
[00:02:20.560 --> 00:02:21.840]  或者我是他親友
[00:02:21.840 --> 00:02:24.160]  或者我是他的朋友
[00:02:24.160 --> 00:02:26.040]  有一天當我離開了之後
[00:02:26.040 --> 00:02:28.840]  人家會不會很Miss我們呢?
[00:02:28.840 --> 00:02:31.040]  懷念我們沒有了他呢?
[00:02:31.040 --> 00:02:32.920]  每件事都有點不同了
[00:02:32.920 --> 00:02:34.240]  會不會這樣說呢?
