
[00:00:00.000 --> 00:00:02.640]  十二仙之書
[00:00:02.640 --> 00:00:07.020]  十二仙之書的第一本就是《河西雅書》
[00:00:07.020 --> 00:00:10.560]  《河西雅書》一共有十四章的經文
[00:00:10.560 --> 00:00:12.200]  它不是最長
[00:00:12.200 --> 00:00:15.180]  最長相信是《撒加利亞書》
[00:00:15.180 --> 00:00:19.560]  《撒加利亞書》也有十四章的經文
[00:00:19.560 --> 00:00:23.560]  但是就有二百十一節的經文
[00:00:23.560 --> 00:00:27.160]  《河西雅書》就有一百九十七節
[00:00:27.160 --> 00:00:32.480]  十二仙之書裏面最短的一本書
[00:00:32.480 --> 00:00:35.100]  可以說是俄巴底亞書
[00:00:35.100 --> 00:00:37.580]  只有一章的經文
[00:00:37.580 --> 00:00:41.440]  我遲些會和大家分享
[00:00:41.440 --> 00:00:46.360]  十二仙之書《河西雅書》的背景
[00:00:46.360 --> 00:00:52.600]  是講到北國以色列耶羅邦安二世的時候
[00:00:52.600 --> 00:00:58.040]  是公元前大概是七百六十年到七百五十年
[00:00:58.040 --> 00:01:01.080]  是耶羅邦安末期的時候
[00:01:01.080 --> 00:01:08.340]  南國的國王是尤大王烏西亞在位的時候
[00:01:08.340 --> 00:01:12.220]  《河西雅仙之》是被神差派到北國
[00:01:12.220 --> 00:01:17.160]  向北國以色列宣講他的話語
[00:01:17.160 --> 00:01:20.340]  同期的仙之有以塞亞
[00:01:20.340 --> 00:01:25.500]  有尼加和阿摩斯
[00:01:25.500 --> 00:01:28.300]  阿摩斯也是北國的仙之
[00:01:28.300 --> 00:01:29.980]  但不同的地方
[00:01:29.980 --> 00:01:33.280]  就是阿摩斯是南國的人
[00:01:33.280 --> 00:01:38.280]  被差派到北國宣講神的話語
[00:01:38.280 --> 00:01:43.920]  這個時候可以說是以色列的領土最大
[00:01:43.920 --> 00:01:47.220]  他的不變是直跨大馬士革
[00:01:47.220 --> 00:01:52.460]  可以說是在所羅門王之後是最強盛的時候
[00:01:52.460 --> 00:01:56.520]  正如Charles Dickens在《商城記》
[00:01:56.520 --> 00:02:00.740]  他說It's the best of times and the worst of times
[00:02:00.740 --> 00:02:04.100]  是最好的時候也是最差的時候
[00:02:04.100 --> 00:02:06.020]  爲什麼是最好的時候?
[00:02:06.020 --> 00:02:08.940]  因爲是很強盛
[00:02:08.940 --> 00:02:10.980]  我們見到他是很富有
[00:02:10.980 --> 00:02:13.980]  但也是最壞的時候
[00:02:13.980 --> 00:02:16.820]  因爲他們靈命倒退
[00:02:16.820 --> 00:02:18.860]  就好像美國
[00:02:18.860 --> 00:02:21.940]  美國現在已經是走下坡
[00:02:21.940 --> 00:02:24.220]  但美國仍然是很富庶
[00:02:24.220 --> 00:02:26.900]  美國仍然是很強盛
[00:02:26.900 --> 00:02:29.100]  但你看看我們的靈命
[00:02:29.100 --> 00:02:32.540]  我們的靈命是差得不得了
[00:02:32.540 --> 00:02:35.380]  神就派了何西亞仙之
[00:02:35.380 --> 00:02:38.660]  去勸以色列人悔改
[00:02:38.660 --> 00:02:40.980]  神警告以色列人
[00:02:40.980 --> 00:02:43.100]  如果你們不悔改的話
[00:02:43.100 --> 00:02:46.100]  我甚至會差派你們的敵人
