
[00:00:00.000 --> 00:00:02.600]  今天的馬其頓呼聲就是今天的主題
[00:00:02.600 --> 00:00:04.600]  試圖行準十六章,六到十節
[00:00:04.600 --> 00:00:08.600]  曾經很多人問過這個問題,不知道你們有沒有聽過或者問過呢
[00:00:08.600 --> 00:00:12.400]  聖經哪裏有提到信徒應該愛國的呢?
[00:00:12.400 --> 00:00:16.700]  應該要爲家國民族而去關心、代禱
[00:00:16.700 --> 00:00:18.700]  向他們傳福音等等呢?其實呢
[00:00:18.700 --> 00:00:19.900]  答案就是
[00:00:19.900 --> 00:00:21.900]  聖經裏面到處都是,我告訴你
[00:00:21.900 --> 00:00:27.200]  摩西啊、以斯拉啊、尼西米啊、以斯帖啊、彈尼尼啊、耶利米啊
[00:00:27.200 --> 00:00:30.500]  每一個都是愛同胞、愛民族的
[00:00:30.500 --> 00:00:32.500]  OK?我給一些例子你看看
[00:00:32.500 --> 00:00:34.500]  譬如摩西,我們一起讀好不好?
[00:00:34.500 --> 00:00:37.200]  就是出埃及的第二章,十一到十二節
[00:00:37.200 --> 00:00:40.000]  過了一段日子,摩西長大了
[00:00:40.000 --> 00:00:44.000]  他出去到他同胞那裏,看見他們的奴役
[00:00:44.000 --> 00:00:48.000]  他看見一個埃及人打他的同胞,一個希伯來人
[00:00:48.000 --> 00:00:50.500]  他左右觀看,見沒有人
[00:00:50.500 --> 00:00:54.000]  就怕埃及人打死了,寒在沙土裏
[00:00:54.000 --> 00:00:58.000]  這個是和合本的修訂版
[00:00:58.000 --> 00:01:00.000]  這個特別翻譯得很清晰
[00:01:00.000 --> 00:01:03.000]  就是摩西,你知道摩西的背景
[00:01:03.000 --> 00:01:05.000]  如果你有讀聖經的話,簡單來說
[00:01:05.000 --> 00:01:08.000]  他就是希伯來人,不過呢
[00:01:08.000 --> 00:01:11.000]  他小的時候爲了避開法老的追殺
[00:01:11.000 --> 00:01:15.000]  他媽媽就很有智慧,將他藏在一個蒲草箱裏
[00:01:15.000 --> 00:01:17.000]  到最後,長話短說
[00:01:17.000 --> 00:01:21.000]  就是埃及的公主收養了他,成爲養子
[00:01:21.000 --> 00:01:24.000]  所以他其實也是埃及王子
[00:01:24.000 --> 00:01:27.000]  就是和法老王將來一起長大
[00:01:27.000 --> 00:01:30.000]  所以他是兩人之下
[00:01:30.000 --> 00:01:33.000]  當時法老王和那個兒子之下,就是萬人之上
[00:01:33.000 --> 00:01:35.000]  知道我的意思嗎?
[00:01:35.000 --> 00:01:38.000]  還有聖經說他很厲害
[00:01:38.000 --> 00:01:41.000]  他學了埃及人一切的學問
[00:01:41.000 --> 00:01:43.000]  行事說話都有能力
