
[00:00:00.000 --> 00:00:10.760]  我們還記得在菲律賓書第二章第一節第二節我們講到合一的這件事情
[00:00:10.760 --> 00:00:16.040]  保羅在菲律賓書針對菲律賓的人講到說合一
[00:00:16.040 --> 00:00:21.840]  其實菲律賓的教會它是不是不合一
[00:00:21.840 --> 00:00:28.600]  保羅應該針對哥林多的教會講合一
[00:00:28.600 --> 00:00:31.040]  但是千秋之美你知道嗎
[00:00:31.040 --> 00:00:34.400]  保羅在講菲律賓書的時候
[00:00:34.400 --> 00:00:40.600]  菲律賓書我想我們常常聽到菲律賓書是一本喜樂之書
[00:00:40.600 --> 00:00:43.520]  對不對講到喜樂很多很多很多
[00:00:43.520 --> 00:00:48.800]  那保羅在菲律賓書第二章第二節
[00:00:48.800 --> 00:00:56.120]  他講到他的一個喜樂是什麼呢
[00:00:56.120 --> 00:01:00.080]  保羅我們來看保羅在第二節最後面他說
[00:01:00.080 --> 00:01:07.800]  使我的喜樂可以怎麼樣滿足
[00:01:07.800 --> 00:01:13.920]  英文的一個版本把它翻譯成complete
[00:01:13.920 --> 00:01:21.200]  complete就是完全完成了讓我的喜樂可以完全
[00:01:21.200 --> 00:01:29.840]  保羅覺得這世界上面很多的東西喫得好這些都不是他真正的喜樂
[00:01:29.840 --> 00:01:34.320]  在整個菲律賓書裏面他講到靠足喜樂
[00:01:34.320 --> 00:01:41.200]  但是在這個地方他提到有一個喜樂使他的喜樂可以滿足的是什麼
[00:01:41.200 --> 00:01:50.400]  他說當你們同心合意有一樣的心思有一樣的意念
[00:01:50.400 --> 00:01:55.000]  我的喜樂就可以滿足了
[00:01:55.000 --> 00:02:01.280]  做父母親請告訴我你的小孩天天在那邊吵吵鬧鬧
[00:02:01.280 --> 00:02:05.320]  這個嫉妒那個那個覺得你媽媽給的不公平
[00:02:05.320 --> 00:02:08.920]  爲什麼給我這個衣服爲什麼給他那個衣服
[00:02:08.920 --> 00:02:11.600]  爲什麼不給我多一件
[00:02:11.600 --> 00:02:14.800]  親愛的丟子們你做父母親的覺得如何
[00:02:14.800 --> 00:02:20.000]  哇每一個都學霸
[00:02:20.000 --> 00:02:22.840]  考試成績都很好
[00:02:22.840 --> 00:02:25.600]  長得也好
[00:02:25.600 --> 00:02:27.440]  男的帥
[00:02:27.440 --> 00:02:28.840]  女的怎麼樣
[00:02:28.840 --> 00:02:30.400]  美
[00:02:30.400 --> 00:02:32.800]  女的孩子還不好
[00:02:32.800 --> 00:02:36.400]  但是這些孩子們彼此常常在那邊吵來吵去吵來吵去
[00:02:36.400 --> 00:02:41.760]  請問做父母親你覺得快樂嗎
[00:02:41.760 --> 00:02:46.320]  所以保羅在這裏就講到他的心情
[00:02:46.320 --> 00:02:52.240]  他說他看到當弟兄姐妹有一樣的心思
[00:02:52.240 --> 00:02:54.400]  有一樣的意念的時候
[00:02:54.400 --> 00:02:59.520]  他的喜樂就可以滿足了
[00:02:59.520 --> 00:03:04.160]  親愛的丟子們不僅僅保羅的喜樂可以滿足
[00:03:04.160 --> 00:03:08.240]  親愛的丟子們今天當我們講合意的時候
[00:03:08.240 --> 00:03:10.640]  我們看看這個世界
[00:03:10.640 --> 00:03:16.560]  這個世界是什麼樣一個光景
[00:03:16.560 --> 00:03:20.960]  我不用解釋你就應該知道這每一個圖代表什麼
[00:03:20.960 --> 00:03:23.280]  打開包子看新聞
[00:03:23.280 --> 00:03:25.200]  我特別覺得弟兄怎麼樣
[00:03:25.200 --> 00:03:30.480]  你在閒不要花那麼多時間
[00:03:30.480 --> 00:03:35.280]  聽這些名嘴在那講
[00:03:35.280 --> 00:03:42.160]  一件事情可以給他講得天花亂墜
[00:03:42.160 --> 00:03:45.360]  你不知不覺就被他影響了
[00:03:45.360 --> 00:03:48.480]  親愛的丟子們新聞大概看一看就好了
[00:03:48.480 --> 00:03:52.400]  知道一些現在狀況就好了
[00:03:52.400 --> 00:03:57.280]  有的人真是額無戰堅
