
[00:00:00.000 --> 00:00:03.040]  耶穌和他們的門徒吃完最後晚餐後
[00:00:03.040 --> 00:00:05.520]  來到橄欖山的山腳
[00:00:05.520 --> 00:00:07.520]  一個地方叫做赫西瑪利縣
[00:00:07.520 --> 00:00:09.020]  這是阿蘭文
[00:00:09.020 --> 00:00:11.020]  阿蘭文有兩個字組成
[00:00:11.020 --> 00:00:13.820]  赫西瑪利是Gat Chimney
[00:00:13.820 --> 00:00:18.260]  Gat是油炸的意思
[00:00:18.260 --> 00:00:21.880]  西瑪利是橄欖油的意思
[00:00:21.880 --> 00:00:27.800]  這裡是橄欖山山腳將橄欖壓碎成為油的地方
[00:00:27.800 --> 00:00:30.240]  只要象徵著耶穌要面對死亡的時候
[00:00:30.240 --> 00:00:33.240]  祂面對的壓力和掙扎
[00:00:33.240 --> 00:00:35.740]  在經文裡面告訴我們
[00:00:35.740 --> 00:00:38.240]  祂在赫西瑪利縣的禱告
[00:00:38.240 --> 00:00:40.240]  三本福音書都有記載
[00:00:40.240 --> 00:00:42.540]  路加福音甚至記載什麼呢?
[00:00:42.540 --> 00:00:44.540]  祂說耶穌極其傷痛
[00:00:44.540 --> 00:00:46.540]  禱告更加狠切
[00:00:46.540 --> 00:00:50.540]  汗珠如大血點滴在地上
[00:00:50.540 --> 00:00:52.540]  其實這是有醫學的解釋
[00:00:52.540 --> 00:00:55.260]  有些醫學這樣解釋說
[00:00:55.260 --> 00:00:57.260]  面對著很大壓力的時候
[00:00:57.260 --> 00:01:01.260]  一個人可能會極度的缺水
[00:01:01.260 --> 00:01:06.600]  表面的表皮的血管就會爆裂
[00:01:06.600 --> 00:01:09.600]  流出來的汗就好像流血一樣
[00:01:09.600 --> 00:01:12.600]  為什麼會在這個情況下
[00:01:12.600 --> 00:01:15.100]  突然間好像有很大的掙扎
[00:01:15.100 --> 00:01:18.600]  突然間很驚慌
[00:01:18.600 --> 00:01:22.600]  第一我們可以想起這裡的地理
[00:01:22.600 --> 00:01:26.100]  因為橄欖山較北的山腳
[00:01:26.100 --> 00:01:28.100]  那裡是比較肥沃一點
[00:01:28.100 --> 00:01:30.100]  那裡可以種橄欖樹
[00:01:30.100 --> 00:01:32.100]  但橄欖山的山脈
[00:01:32.100 --> 00:01:34.100]  比較藍一點的山頭
[00:01:34.100 --> 00:01:38.100]  和山腳底下的吸磷谷
[00:01:38.100 --> 00:01:40.100]  地質一直都是這麼差
[00:01:40.100 --> 00:01:42.100]  不是很肥沃
[00:01:42.100 --> 00:01:46.100]  所以歷世歷代都是墳墓的地方
[00:01:46.100 --> 00:01:48.100]  就等於有人說我們不怕死
[00:01:48.100 --> 00:01:53.100]  但如果你去到墳場的時候
[00:01:53.100 --> 00:01:55.100]  你就未必會這樣說
[00:01:55.100 --> 00:01:57.100]  另外我們可以看看地理
[00:01:57.100 --> 00:01:59.100]  你就知道那個掙扎有多大
[00:01:59.100 --> 00:02:00.100]  因為在地理上
[00:02:00.100 --> 00:02:03.100]  橄欖山其實就是耶路撒冷
[00:02:03.100 --> 00:02:06.100]  東面的出入口
[00:02:06.100 --> 00:02:07.100]  要逃亡的話
[00:02:07.100 --> 00:02:12.100]  上山十分鐘就可以跨過橄欖山
[00:02:12.100 --> 00:02:15.100]  然後去到猶大曠野
[00:02:15.100 --> 00:02:17.100]  耶穌其實可以一走了之
[00:02:17.100 --> 00:02:21.100]  但祂願意去馴服天父
[00:02:21.100 --> 00:02:23.100]  我們來到橄欖山的山腳
[00:02:23.100 --> 00:02:25.100]  西馬里這個地方
[00:02:25.100 --> 00:02:28.100]  按照當時猶太人御節的慣例
[00:02:28.100 --> 00:02:30.100]  完了御節晚餐
[00:02:30.100 --> 00:02:34.100]  他們會留在耶路撒冷城的範圍裡
[00:02:34.100 --> 00:02:36.100]  耶穌和門徒可能來到這個山洞
[00:02:36.100 --> 00:02:39.100]  門徒在山洞裡睡覺過夜
[00:02:39.100 --> 00:02:42.100]  然後耶穌就帶著祂三個門徒
[00:02:42.100 --> 00:02:44.100]  去到不是很遠的地方
[00:02:44.100 --> 00:02:46.100]  在那裡守望祂的禱告
