
[00:00:00.000 --> 00:00:03.400]  《啟示錄》是一本很深奧的書
[00:00:03.400 --> 00:00:04.400]  是吧
[00:00:04.400 --> 00:00:05.900]  都很深奧的
[00:00:05.900 --> 00:00:08.400]  不過深奧之餘也是要讀的
[00:00:08.400 --> 00:00:13.700]  《啟示錄》一至三章都是講一些關於地上教會的事
[00:00:13.700 --> 00:00:15.800]  但是由第四章開始
[00:00:15.800 --> 00:00:19.200]  到二十一章就是講主宰內很多預言
[00:00:19.200 --> 00:00:21.100]  發生了或者還沒發生的事
[00:00:21.100 --> 00:00:25.200]  二十二章就是講在天堂的時候
[00:00:25.200 --> 00:00:26.900]  《啟示錄》都講完了
[00:00:26.900 --> 00:00:28.900]  都不是很困難
[00:00:28.900 --> 00:00:30.600]  不過慢慢研究吧
[00:00:30.600 --> 00:00:34.300]  那麼今天講第二章開始
[00:00:34.300 --> 00:00:37.000]  其實是在講使徒約翰
[00:00:37.000 --> 00:00:42.200]  大家知道使徒約翰是被放逐在一個叫拔蛾海島上
[00:00:42.200 --> 00:00:44.000]  然後一段時間
[00:00:44.000 --> 00:00:46.400]  在當中他見到異象
[00:00:46.400 --> 00:00:47.700]  聽到聲音
[00:00:47.700 --> 00:00:49.700]  那麼神
[00:00:49.700 --> 00:00:50.600]  就是耶穌
[00:00:50.600 --> 00:00:53.500]  藉著聖靈寫下所見到的
[00:00:53.500 --> 00:00:55.800]  就寫成了這個《啟示錄》
[00:00:55.800 --> 00:00:59.200]  而在第二章和第三章
[00:00:59.200 --> 00:01:05.100]  他一連寫了七間當時地上教會的當時的情況
[00:01:05.100 --> 00:01:06.800]  那麼有人都會看成
[00:01:06.800 --> 00:01:10.200]  這七個描述的教會可以是當時的
[00:01:10.200 --> 00:01:12.700]  也可以是歷史的階段
[00:01:12.700 --> 00:01:16.100]  也可以是將來要發生的事
[00:01:16.100 --> 00:01:22.500]  不過我們今天所講的就是較為著重當前的事
[00:01:22.500 --> 00:01:25.900]  而第二章一開始是講一個教會
[00:01:25.900 --> 00:01:28.400]  叫做以弗所的教會
[00:01:28.400 --> 00:01:30.400]  那麼小小背景
[00:01:30.400 --> 00:01:34.600]  以弗所這個地方是在亞西亞省
[00:01:34.600 --> 00:01:36.700]  就是現在的土耳其
[00:01:36.700 --> 00:01:38.200]  有一張powerpoint
[00:01:38.200 --> 00:01:41.200]  旅遊的powerpoint
[00:01:41.200 --> 00:01:43.800]  那麼就圈住了
[00:01:43.800 --> 00:01:46.700]  那麼你會看到這個是一個海港
[00:01:46.700 --> 00:01:50.400]  而且是一個中樞樓中樞城
[00:01:50.400 --> 00:01:52.100]  無論你要出海
[00:01:52.100 --> 00:01:53.700]  去羅馬等等
[00:01:53.700 --> 00:01:56.100]  你無論在哪個城市走下來
[00:01:56.100 --> 00:01:58.200]  都要經過的
[00:01:58.200 --> 00:02:02.400]  是一個亞西亞省最大的一個城市
[00:02:02.400 --> 00:02:04.500]  雖然它不是首都
[00:02:04.500 --> 00:02:06.600]  那麼它裡面有些特別的地方
[00:02:06.600 --> 00:02:08.000]  它是很自由的
[00:02:08.000 --> 00:02:09.100]  很富庶的
[00:02:09.100 --> 00:02:10.400]  自由到一個地步
[00:02:10.400 --> 00:02:11.700]  高度自治到一個地步
[00:02:11.700 --> 00:02:14.800]  羅馬都不會放一些駐防軍在那裡
[00:02:14.800 --> 00:02:16.600]  就是高度自治城
[00:02:16.600 --> 00:02:19.000]  它自己可以管理的
[00:02:19.000 --> 00:02:21.400]  而裡面在宗教上
[00:02:21.400 --> 00:02:23.200]  這個城
[00:02:23.200 --> 00:02:24.200]  愛邦城
[00:02:24.200 --> 00:02:27.200]  敬拜一個當時很多人都會拜的
[00:02:27.200 --> 00:02:29.800]  一個叫做瓦底米神
[00:02:29.800 --> 00:02:31.100]  一個女神
[00:02:31.100 --> 00:02:32.400]  瓦底米神
[00:02:32.400 --> 00:02:36.200]  那麼在史獨行傳第十九章都提到的
[00:02:36.200 --> 00:02:37.600]  那麼這個瓦底米神
[00:02:37.600 --> 00:02:39.600]  有一個瓦底米神廟的
[00:02:39.600 --> 00:02:42.200]  這些是想出來的
[00:02:42.200 --> 00:02:46.500]  那麼第二章就是現在的遺址
[00:02:46.500 --> 00:02:48.800]  它有好像150條這些柱子
[00:02:48.800 --> 00:02:51.400]  這些是那些人專門洞在那裡告訴大家
[00:02:51.400 --> 00:02:54.200]  這些柱子有這麼高這麼大的
[00:02:54.200 --> 00:02:56.200]  那麼有幾樣東西很特別的
[00:02:56.200 --> 00:03:00.000]  原來那些人可以將財產放進這個神廟裡面的
[00:03:00.000 --> 00:03:03.200]  那麼政府那些人都不可以查你的
[00:03:03.200 --> 00:03:06.000]  好像放在瑞士銀行那樣的
[00:03:06.000 --> 00:03:07.000]  是這樣的
[00:03:07.000 --> 00:03:10.600]  所以原來很多不乾淨的錢
[00:03:10.600 --> 00:03:12.200]  都可以放在裡面
[00:03:12.200 --> 00:03:15.200]  出入的人都是有這類的人
[00:03:15.200 --> 00:03:17.600]  另外因為這個是女神
[00:03:17.600 --> 00:03:23.800]  所以他們負責祭祀、敬拜的那些人
[00:03:23.800 --> 00:03:25.400]  是女士來的
[00:03:25.400 --> 00:03:27.400]  就叫做女祭司
[00:03:27.400 --> 00:03:31.200]  但其實背後是叫做神祭
[00:03:31.200 --> 00:03:33.000]  就是女祭來的
[00:03:33.000 --> 00:03:34.400]  所以一聽的時候
[00:03:34.400 --> 00:03:37.200]  都涉及很多道德、情慾的事情
[00:03:37.200 --> 00:03:39.200]  其實在當中發生
[00:03:39.200 --> 00:03:42.000]  而這個女神
[00:03:42.000 --> 00:03:43.800]  特別伊弗所這個女神
[00:03:43.800 --> 00:03:45.200]  這個廟
[00:03:45.200 --> 00:03:49.800]  去出一些符咒相傳是很有法力的
[00:03:49.800 --> 00:03:51.000]  相傳而已
[00:03:51.000 --> 00:03:53.800]  就叫做護身符或者驅魔符
[00:03:53.800 --> 00:03:55.800]  那麼很多人買的
[00:03:55.800 --> 00:03:57.200]  要來防身
[00:03:57.200 --> 00:03:58.400]  甚至可能怎麼樣
[00:03:58.400 --> 00:04:00.400]  要來跟別人驅魔的
[00:04:00.400 --> 00:04:02.800]  你這樣聽一聽的時候就明白
