
[00:00:00.000 --> 00:00:06.000]  教育局局長
[00:00:30.000 --> 00:00:36.000]  陳偉業議員
[00:01:00.000 --> 00:01:06.000]  陳偉業議員
[00:01:30.000 --> 00:01:36.000]  陳偉業議員
[00:02:00.000 --> 00:02:06.000]  陳偉業議員
[00:02:30.000 --> 00:02:36.000]  陳偉業議員
[00:03:00.000 --> 00:03:06.000]  陳偉業議員
[00:03:30.000 --> 00:03:36.000]  陳偉業議員
[00:04:00.000 --> 00:04:06.000]  陳偉業議員
[00:04:30.000 --> 00:04:36.000]  陳偉業議員
[00:05:00.000 --> 00:05:06.000]  陳偉業議員
[00:05:25.000 --> 00:05:34.000]  葉國華說 知道異人的道路 惡人的道路 卻必滅亡
[00:05:34.000 --> 00:05:42.000]  惡人 不管你是巴勒斯坦人 或者是以色列人
[00:05:42.000 --> 00:05:53.000]  如果你是惡人 你的結局就一定是很悲慘
[00:05:53.000 --> 00:05:59.000]  以色列人跟我們有一種很特殊的關係
[00:05:59.000 --> 00:06:03.000]  我們當然要想他們平安
[00:06:03.000 --> 00:06:06.000]  我們都相信上帝是忠誠的
[00:06:06.000 --> 00:06:12.000]  但是上帝是一個公平的上帝 念我的上帝
[00:06:12.000 --> 00:06:14.000]  當讀了經文的時候
[00:06:14.000 --> 00:06:21.000]  特別是葉國華說 知道異人的道路 惡人的道路 卻必滅亡
[00:06:21.000 --> 00:06:27.000]  我們的講道經文 我選了《馬蹄福音》24章這一段
[00:06:27.000 --> 00:06:32.000]  我簡單去看
[00:06:32.000 --> 00:06:36.000]  耶穌在橄欖山上面 門徒就靜悄悄地來
[00:06:36.000 --> 00:06:40.000]  祂告訴我 什麼時候有這些事呢
[00:06:40.000 --> 00:06:43.000]  你的降臨和世界的幕僚
[00:06:43.000 --> 00:06:47.000]  耶穌坐在那裡 這個降臨一定是指他將來的降臨
[00:06:47.000 --> 00:06:50.000]  有什麼預兆呢 祂希望可以知道
[00:06:50.000 --> 00:06:55.000]  耶穌就回答 留意耶穌第一句話
[00:06:55.000 --> 00:07:02.000]  耶穌的回答是什麼 你們要謹慎 免得有人迷惑你們
[00:07:02.000 --> 00:07:09.000]  當我們去追尋 末世這個事情
