
[00:00:00.000 --> 00:00:02.000]  大英智媒,平安!父親節快樂!
[00:00:02.000 --> 00:00:06.000]  今天父親節,祝大家各位的父親
[00:00:06.000 --> 00:00:10.000]  在主裡面經歷到剛才所讀的經文
[00:00:10.000 --> 00:00:15.000]  在神裡面彼此更深的追求來團契
[00:00:15.000 --> 00:00:17.000]  我們一起禱告吧!
[00:00:17.000 --> 00:00:19.000]  天父,我們多謝你
[00:00:19.000 --> 00:00:22.000]  因為你的說話成為我們腳前的燈
[00:00:22.000 --> 00:00:24.000]  路上的光,也是我們的激勵
[00:00:24.000 --> 00:00:28.000]  願意我們一路繼續去讀菲律賓書的時候
[00:00:28.000 --> 00:00:31.000]  我們就更多的去明白你對我們的心意
[00:00:31.000 --> 00:00:36.000]  也更多的去享受在主裡面彼此的團契
[00:00:36.000 --> 00:00:39.000]  奉耶穌基督的名氣,下門
[00:00:39.000 --> 00:00:42.000]  今天的我們看菲律賓書
[00:00:42.000 --> 00:00:44.000]  到了第二章第一節到第十一節
[00:00:44.000 --> 00:00:48.000]  這一段的經文我給的題目就是
[00:00:48.000 --> 00:00:51.000]  在基督裡的團契生活
[00:00:51.000 --> 00:00:54.000]  很多時候我們經常都說團契
[00:00:54.000 --> 00:00:58.000]  這個詞似乎回教會的人才會說
[00:00:58.000 --> 00:01:02.000]  我未回教會之前都不知道什麼叫團契
[00:01:02.000 --> 00:01:06.000]  團拜也有,團契不知道是什麼
[00:01:06.000 --> 00:01:10.000]  但是英文這個詞叫 fellowship
[00:01:10.000 --> 00:01:13.000]  可能比較容易明白
[00:01:13.000 --> 00:01:19.000]  就是在神裡面我們彼此相通
[00:01:19.000 --> 00:01:22.000]  彼此可以相交的一個關係
[00:01:22.000 --> 00:01:25.000]  這個基本上就是團契
[00:01:25.000 --> 00:01:28.000]  或者是 fellowship 的意思
[00:01:28.000 --> 00:01:32.000]  今天我們更加思想在菲律賓書當中
[00:01:32.000 --> 00:01:35.000]  保羅如何教導我們
[00:01:35.000 --> 00:01:38.000]  一個真正在基督裡面的團契生活
[00:01:38.000 --> 00:01:40.000]  究竟是怎樣的呢
[00:01:40.000 --> 00:01:43.000]  剛才讀過這段經文一開始的時候
[00:01:43.000 --> 00:01:45.000]  他就說所以在基督裡
[00:01:45.000 --> 00:01:48.000]  若有什麼勸勉愛心有什麼安慰
[00:01:48.000 --> 00:01:52.000]  聖靈有什麼交通心中有什麼慈悲憐憫
[00:01:52.000 --> 00:01:55.000]  一開始的時候用反問的問了幾個問題
