
[00:00:00.000 --> 00:00:03.000]  那我們一起來低頭禱告
[00:00:03.000 --> 00:00:08.000]  天父我們實在用感恩的心來到您面前
[00:00:08.000 --> 00:00:13.000]  學叔 今天我們非常的感恩
[00:00:13.000 --> 00:00:17.000]  因為我們準時開始我們今天的聚會
[00:00:17.000 --> 00:00:22.000]  我們真是知道有時候
[00:00:22.000 --> 00:00:24.000]  我們的弟兄姊妹
[00:00:24.000 --> 00:00:27.000]  實在是非常的努力
[00:00:27.000 --> 00:00:32.000]  在這個主日的時候來到教會來祭拜您
[00:00:32.000 --> 00:00:35.000]  但是主啊 我為我們的弟兄姊妹來禱告
[00:00:35.000 --> 00:00:38.000]  主啊 求你幫助我們的弟兄姊妹
[00:00:38.000 --> 00:00:40.000]  都有一個敬畏神的心
[00:00:40.000 --> 00:00:43.000]  知道主日是主的日子
[00:00:43.000 --> 00:00:44.000]  主啊 知道
[00:00:44.000 --> 00:00:47.000]  主啊 我們是那麼的不容易
[00:00:47.000 --> 00:00:50.000]  像范伯 范媽他們住得那麼的遠
[00:00:50.000 --> 00:00:55.000]  還有我們好多家庭都有孩子
[00:00:55.000 --> 00:00:57.000]  但是主我知道
[00:00:57.000 --> 00:00:59.000]  我知道若是我們可以
[00:00:59.000 --> 00:01:03.000]  你一定會藉著我們願意的心
[00:01:03.000 --> 00:01:05.000]  你大大的來祝福我們
[00:01:05.000 --> 00:01:07.000]  主啊 我就求主你幫助我們
[00:01:07.000 --> 00:01:11.000]  幫助我們在這個主日的時間裡頭
[00:01:11.000 --> 00:01:14.000]  主啊 我們一步一步的來學習
[00:01:14.000 --> 00:01:16.000]  一步一步的來調整
[00:01:16.000 --> 00:01:17.000]  讓我們這個主日
[00:01:17.000 --> 00:01:19.000]  這個是讓你看到你的兒女
[00:01:19.000 --> 00:01:21.000]  這樣願意的時候
[00:01:21.000 --> 00:01:23.000]  你的心就得到滿足
[00:01:23.000 --> 00:01:26.000]  主啊 我們就再一次的獻上感恩的心
[00:01:26.000 --> 00:01:27.000]  所以說我們正是
[00:01:27.000 --> 00:01:29.000]  今天來到你面前的時候
[00:01:29.000 --> 00:01:31.000]  主啊 我們說今天是主你的日子
[00:01:31.000 --> 00:01:33.000]  願主你自己
