
[00:00:00.000 --> 00:00:04.000]  多謝施班獻唱了一首感人的詩歌
[00:00:04.000 --> 00:00:08.000]  十字架永遠是我們的榮耀
[00:00:08.000 --> 00:00:13.000]  我們一起祈禱
[00:00:13.000 --> 00:00:15.000]  親愛的主
[00:00:15.000 --> 00:00:18.000]  多謝祢的救贖
[00:00:18.000 --> 00:00:24.000]  讓我們能夠得著兒女的身份
[00:00:24.000 --> 00:00:28.000]  多謝祢與我們同行
[00:00:28.000 --> 00:00:31.000]  願祢的靈帶領著我們以下的時間
[00:00:31.000 --> 00:00:34.000]  讓我們明白祢的話語
[00:00:34.000 --> 00:00:37.000]  我們祈禱奉耶穌基督德性的名祈求
[00:00:37.000 --> 00:00:39.000]  阿門
[00:00:39.000 --> 00:00:43.000]  弟兄姊妹如果你有得選擇
[00:00:43.000 --> 00:00:48.000]  你想做一個小人物還是一個大人物呢?
[00:00:48.000 --> 00:00:50.000]  我聽到答案是小人物
[00:00:50.000 --> 00:00:52.000]  其實什麼叫小人物呢?
[00:00:52.000 --> 00:00:54.000]  我查過網上的字典
[00:00:54.000 --> 00:00:59.000]  就是地位不高、沒有名望、微不足道的人
[00:00:59.000 --> 00:01:01.000]  按這個定義
[00:01:01.000 --> 00:01:04.000]  你是不是一個小人物呢?
[00:01:04.000 --> 00:01:08.000]  大概七十多年前
[00:01:08.000 --> 00:01:12.000]  有一個小木桶去牧羊
[00:01:12.000 --> 00:01:15.000]  有一次牠放羊的時候
[00:01:15.000 --> 00:01:18.000]  羊跑進了一個山洞裡
[00:01:18.000 --> 00:01:22.000]  於是牠就想把羊找出來
[00:01:22.000 --> 00:01:25.000]  牠就把石頭丟進山洞裡
[00:01:25.000 --> 00:01:29.000]  原來裡面敲碎了一個瓦瓶
[00:01:29.000 --> 00:01:32.000]  發現裡面有個古卷
[00:01:32.000 --> 00:01:36.000]  牠就拿出來賣了出去
[00:01:36.000 --> 00:01:41.000]  竟然有考古學家拿了這個古卷
[00:01:41.000 --> 00:01:46.000]  發現這個古卷是舊約的經卷
[00:01:46.000 --> 00:01:53.000]  接著一群考古學家就去到死海附近的礦業地方
[00:01:53.000 --> 00:01:57.000]  花了十多年的時間去挖掘
[00:01:57.000 --> 00:01:59.000]  挖了些什麼出來呢?
[00:01:59.000 --> 00:02:01.000]  其中一個很大的發現
[00:02:01.000 --> 00:02:07.000]  就是震動了聖經研究的學術界
[00:02:07.000 --> 00:02:14.000]  他們發現了一整卷以塞亞的古卷
