
[00:00:00.000 --> 00:00:04.400]  來到9月我們開始一個新的主題
[00:00:04.400 --> 00:00:08.500]  我們的主題叫做「僕人的心」
[00:00:08.500 --> 00:00:14.700]  僕人的心我們第一講就會開始提多書
[00:00:14.700 --> 00:00:19.700]  我們會講到建立健全教會的領導
[00:00:19.700 --> 00:00:22.000]  好,講這個之前先問問
[00:00:22.000 --> 00:00:25.000]  回到教會來到這裡
[00:00:25.000 --> 00:00:29.000]  你可否告訴我教會是甚麼?
[00:00:29.000 --> 00:00:34.000]  甚麼是教會?
[00:00:34.000 --> 00:00:36.500]  敬拜耶和華的地方
[00:00:36.500 --> 00:00:42.000]  還有教會是甚麼?
[00:00:42.000 --> 00:00:47.000]  Sandy,坐了這麼多年應該都知道教會是甚麼吧?
[00:00:47.000 --> 00:00:51.500]  教會是甚麼地方?
[00:00:51.500 --> 00:00:55.000]  一群罪人的地方
[00:00:55.000 --> 00:00:58.000]  教會外面也是罪人的地方
[00:00:58.000 --> 00:01:01.500]  教會還有甚麼特點呢?
[00:01:01.500 --> 00:01:03.500]  女孩們,在搜尋嗎?
[00:01:03.500 --> 00:01:05.000]  在搜尋Google嗎?
[00:01:05.000 --> 00:01:07.500]  每個人都拿著手機應該在搜尋
[00:01:07.500 --> 00:01:10.500]  搜尋到了嗎?
[00:01:10.500 --> 00:01:12.000]  還沒有?
[00:01:12.000 --> 00:01:15.000]  先搜尋一下,甚麼是教會
[00:01:15.000 --> 00:01:18.000]  教會最基本的就是,你跟我一樣
[00:01:18.000 --> 00:01:22.500]  都是同一個信仰的一群群體
[00:01:22.500 --> 00:01:25.500]  坐在這裡一起聚集的地方
[00:01:25.500 --> 00:01:32.000]  還有教會是全港真理的一個教導的地方
[00:01:32.000 --> 00:01:36.000]  你說,是否跟學校很相似呢?
[00:01:36.000 --> 00:01:38.000]  都是很相似的
[00:01:38.000 --> 00:01:41.000]  教會除了教知識之外
[00:01:41.000 --> 00:01:43.000]  還是教導真理
[00:01:43.000 --> 00:01:45.500]  如果你有錯的時候
[00:01:45.500 --> 00:01:48.000]  都會被人糾正
[00:01:48.000 --> 00:01:50.500]  都會帶你回到正途當中
[00:01:50.500 --> 00:01:55.000]  跟學校都差不多
[00:01:55.000 --> 00:01:56.500]  也可能你說
[00:01:56.500 --> 00:01:59.500]  跟工作的場景是否一樣呢?
[00:01:59.500 --> 00:02:03.000]  工作的場景都可以是一個學校
[00:02:03.000 --> 00:02:05.500]  當你出去工作的時候
[00:02:05.500 --> 00:02:08.000]  你都會做錯事
[00:02:08.000 --> 00:02:09.500]  都會被人教的
[00:02:09.500 --> 00:02:13.000]  不過,在教會裏面的教理
[00:02:13.000 --> 00:02:17.000]  就是本著愛心去教你
[00:02:17.000 --> 00:02:19.000]  但是你到日後有機會
