
[00:00:00.000 --> 00:00:05.000]  首先恭祝大家牛年夢福,身體健康
[00:00:05.000 --> 00:00:11.800]  今天很多人見到我這件這麼誇張的衣服的時候
[00:00:11.800 --> 00:00:15.800]  每個人都眼前一亮,好像一片光明那樣
[00:00:15.800 --> 00:00:22.800]  說起光,不知大家如果有人問你什麼是光
[00:00:22.800 --> 00:00:24.800]  你會怎樣回答?
[00:00:24.800 --> 00:00:26.300]  什麼是光?
[00:00:26.300 --> 00:00:28.800]  光其實是一種很有趣的觀念
[00:00:28.800 --> 00:00:31.800]  因為我們看東西是需要有光
[00:00:31.800 --> 00:00:36.800]  但是光本身不是一件東西我們可以摸得到,我們可以看得到
[00:00:36.800 --> 00:00:39.800]  但是沒有光我們什麼都看不到
[00:00:39.800 --> 00:00:44.800]  科學家告訴我們,我們今天所見到的光
[00:00:44.800 --> 00:00:53.800]  其實是電磁波的某一段頻譜裡面的電磁波
[00:00:53.800 --> 00:00:58.800]  在那一段的電磁波以外的光,雖然那些光存在
[00:00:58.800 --> 00:01:02.800]  但是人是看不到的,大家知不知道有什麼是人看不到的光?
[00:01:02.800 --> 00:01:07.800]  應該知道吧?紫外光、紅外光、X光
[00:01:07.800 --> 00:01:11.800]  而我們今天所讀的經文主耶穌告訴我們
[00:01:11.800 --> 00:01:14.800]  祂就是世界的光
[00:01:14.800 --> 00:01:21.800]  很明顯主耶穌說的不是說祂在電磁波裡面的某一段的電磁波
[00:01:21.800 --> 00:01:23.800]  好了,我們要問的問題就是
[00:01:23.800 --> 00:01:28.800]  主耶穌說祂就是世界的光,什麼意思?
[00:01:28.800 --> 00:01:33.800]  讓我們今天通過我們所讀的經文一同來看一看
[00:01:33.800 --> 00:01:36.800]  我們先看第十二節
[00:01:36.800 --> 00:01:43.800]  主耶穌說我是世界的光,跟從我的,就不再黑暗裡走
[00:01:43.800 --> 00:01:48.800]  我們要更加掌握到這段經文究竟說什麼的時候
[00:01:48.800 --> 00:01:52.800]  我們需要連同其他聖經裡面的經文來看
[00:01:52.800 --> 00:01:57.800]  還有我們也需要知道主耶穌做這個宣稱的時候
[00:01:57.800 --> 00:02:01.800]  當時那個環境、那個背景是怎麼樣
[00:02:01.800 --> 00:02:07.800]  好了,讓我們首先看一看主耶穌做這個宣稱的時候
[00:02:07.800 --> 00:02:10.800]  時間和地點
[00:02:10.800 --> 00:02:14.800]  如果我們看第八章的二十節
[00:02:14.800 --> 00:02:18.800]  那裡告訴我們主耶穌說這個話的時候
[00:02:18.800 --> 00:02:22.800]  祂的位置是在電裡面的庫房
[00:02:22.800 --> 00:02:29.800]  電裡面的庫房是在聖殿的婦女院旁邊
[00:02:29.800 --> 00:02:34.800]  那個是聖殿其中一個最公開的地方
[00:02:34.800 --> 00:02:35.800]  任何人都可以去
[00:02:35.800 --> 00:02:38.800]  再跳前一點的七章二節
[00:02:38.800 --> 00:02:44.800]  正正告訴我們那段時間是駐彭捷的時間
[00:02:44.800 --> 00:02:47.800]  大家知不知道什麼叫做駐彭捷
[00:02:47.800 --> 00:02:50.800]  在以色列人的慶典裡面
[00:02:50.800 --> 00:02:57.800]  駐彭捷就是紀念當時以色列人離開埃及之後
[00:02:57.800 --> 00:03:01.800]  在抗日鬥轉了四十年
[00:03:01.800 --> 00:03:04.800]  在那四十年裡面他們沒有房子住
[00:03:04.800 --> 00:03:09.800]  他們要住搭出來的棚
[00:03:09.800 --> 00:03:12.800]  那些螢幕
[00:03:12.800 --> 00:03:22.800]  他們用駐彭捷來紀念那四十年裡面在曠野地的生活
[00:03:22.800 --> 00:03:24.800]  也都是在那段時間裡面
[00:03:24.800 --> 00:03:27.800]  大家知道那個年代現在說的是二千年
[00:03:27.800 --> 00:03:29.800]  不是二千年
[00:03:29.800 --> 00:03:32.800]  現在說的是以色列人出埃及地的時候
[00:03:32.800 --> 00:03:35.800]  那個時候沒有指南燈
[00:03:35.800 --> 00:03:37.800]  沒有GPS
[00:03:37.800 --> 00:03:42.800]  他們怎樣在曠野地裡面找路呢
[00:03:42.800 --> 00:03:45.800]  神在日間的時候用雲柱
[00:03:45.800 --> 00:03:48.800]  晚上的時候用火柱
[00:03:48.800 --> 00:03:50.800]  讓他們不要走失
[00:03:50.800 --> 00:03:56.800]  讓他們可以帶領他們去走這段路
[00:03:56.800 --> 00:03:58.800]  大概是這段的原因
[00:03:58.800 --> 00:04:01.800]  所以在主耶穌的年代
[00:04:01.800 --> 00:04:04.800]  在這個駐彭捷的時候
[00:04:04.800 --> 00:04:08.800]  在那個捷旗的晚上
[00:04:08.800 --> 00:04:12.800]  祭司都會搬一些很大型的燈台出來
[00:04:12.800 --> 00:04:14.800]  點著在庭院那裡
[00:04:14.800 --> 00:04:18.800]  除了是讓他們晚上可以有光
[00:04:18.800 --> 00:04:20.800]  做他們的慶祝活動之外
[00:04:20.800 --> 00:04:23.800]  另外一個很主要的原因
[00:04:23.800 --> 00:04:27.800]  就是紀念在四十年裡面
[00:04:27.800 --> 00:04:30.800]  神在曠野地晚上的時候
[00:04:30.800 --> 00:04:35.800]  用火柱來帶路的歷史事實
[00:04:35.800 --> 00:04:39.800]  所以在那個捷旗裡面
[00:04:39.800 --> 00:04:41.800]  以色列人再一次重溫
[00:04:41.800 --> 00:04:43.800]  在曠野地
[00:04:43.800 --> 00:04:47.800]  神如何帶領他們的列祖
[00:04:47.800 --> 00:04:50.800]  他們當時的以色列民
[00:04:50.800 --> 00:04:57.800]  在曠野地帶領他們的路途
[00:04:57.800 --> 00:05:03.800]  這個認知對於我們現代人來說
[00:05:03.800 --> 00:05:05.800]  是比較難明白的
[00:05:05.800 --> 00:05:06.800]  為什麼呢?
[00:05:06.800 --> 00:05:08.800]  晚上沒有光又怎樣?
[00:05:08.800 --> 00:05:10.800]  按個按鈕就開燈
[00:05:10.800 --> 00:05:12.800]  從來我們不覺得黑的問題
[00:05:12.800 --> 00:05:14.800]  除非大停電
[00:05:14.800 --> 00:05:16.800]  但是對於以色列人來說
[00:05:16.800 --> 00:05:18.800]  卻並不是這樣
[00:05:18.800 --> 00:05:21.800]  因為以色列當時在曠野地的時候
[00:05:21.800 --> 00:05:24.800]  太陽下山之後沒有光
[00:05:24.800 --> 00:05:28.800]  特別是那天晚上很多雲的時候
[00:05:28.800 --> 00:05:30.800]  根本連月光都看不到
[00:05:30.800 --> 00:05:33.800]  正所謂黑人黑人黑烏鴉
[00:05:33.800 --> 00:05:35.800]  黑衣黑褲黑皮鞋
[00:05:35.800 --> 00:05:38.800]  什麼都看不到
[00:05:38.800 --> 00:05:40.800]  但是就在那個時候
[00:05:40.800 --> 00:05:43.800]  當鑄棚節過了之後
[00:05:43.800 --> 00:05:48.800]  當那些燈台在庭院裡面被拿走之後
[00:05:48.800 --> 00:05:49.800]  突然之間
[00:05:49.800 --> 00:05:51.800]  百姓好像感到很失落
[00:05:51.800 --> 00:05:53.800]  明明很燦爛很光的
[00:05:53.800 --> 00:05:55.800]  突然之間沒有光的時候
[00:05:55.800 --> 00:05:57.800]  就在那個時候
[00:05:57.800 --> 00:06:02.800]  耶穌就和百姓去做這個宣稱
[00:06:02.800 --> 00:06:05.800]  我就是世界的光
[00:06:05.800 --> 00:06:07.800]  跟從我的
[00:06:07.800 --> 00:06:10.800]  就不在黑暗裡面走
[00:06:10.800 --> 00:06:14.800]  這個宣稱對於以色列人來說
[00:06:14.800 --> 00:06:15.800]  比較我們
[00:06:15.800 --> 00:06:19.800]  它的意義是更加深層的意義
[00:06:19.800 --> 00:06:21.800]  如果我們看字面解釋的時候
[00:06:21.800 --> 00:06:23.800]  這個說法是什麼
[00:06:23.800 --> 00:06:25.800]  就是說我們跟從耶穌的時候
[00:06:25.800 --> 00:06:27.800]  就行在光明中
[00:06:27.800 --> 00:06:28.800]  就不會跌倒
[00:06:28.800 --> 00:06:29.800]  不會失腳
[00:06:29.800 --> 00:06:31.800]  這個很明顯的字面解釋
[00:06:31.800 --> 00:06:34.800]  但是對於當時的以色列人來說
[00:06:34.800 --> 00:06:37.800]  我相信有一個更深層的意義
[00:06:37.800 --> 00:06:39.800]  大家想一想
[00:06:39.800 --> 00:06:44.800]  如果我們比較當日以色列人
[00:06:44.800 --> 00:06:48.800]  離開埃及進入神的應許之地
[00:06:48.800 --> 00:06:49.800]  這個行程
[00:06:49.800 --> 00:06:52.800]  比喻為我們今天離開罪惡
[00:06:52.800 --> 00:06:57.800]  進入將來神永恆國度的人生旅程的時候
[00:06:57.800 --> 00:06:59.800]  如果我們這樣比較的時候
[00:06:59.800 --> 00:07:04.800]  這樣昔日在曠野地的火柱
[00:07:04.800 --> 00:07:07.800]  其實就可以比喻為
[00:07:07.800 --> 00:07:10.800]  主耶穌從天而降
