
[00:00:00.000 --> 00:00:07.000]  各位電視節目的朋友們,早安,很高興有這個時間來跟各位分享訊息。
[00:00:07.000 --> 00:00:20.000]  今天是第一個主日,所以按照慣例,按照七年的規劃,我要來為各位分享的是體驗在竹裡面的成長。
[00:00:20.000 --> 00:00:23.000]  Encounter the growth in Christ.
[00:00:23.000 --> 00:00:27.000]  那麼我們怎麼樣來體驗在竹裡面的成長呢?
[00:00:27.000 --> 00:00:32.000]  其實有一點很重要,就是你要活出你的命定。
[00:00:32.000 --> 00:00:38.000]  什麼叫命定?這個字我們中國人不太用。
[00:00:38.000 --> 00:00:44.000]  或許我這麼說,命運跟命定有什麼不一樣?
[00:00:44.000 --> 00:00:51.000]  命運的英文叫做Fate,命定的英文叫做Destiny。
[00:00:51.000 --> 00:01:07.000]  命運的意思是說,你走你的人生的道路,或有待兮禍福,或者是榮華富貴,或者是困苦患難,或者是許多的逼迫,或者是一路順利,這是你的命運。
[00:01:07.000 --> 00:01:19.000]  命定的意思是說,神引領、帶領、陪伴你走你的一生,這是我們的命定,Hallelujah!
[00:01:19.000 --> 00:01:37.000]  或許我這麼解釋,我是50年出生的,所以在當時那個日子很苦,所以我們從小我們就立志,譬如說我就立志說要做工程師,那麼我也做了工程師了。
[00:01:37.000 --> 00:01:45.000]  但是有的時候我想說,如果我立志要做一個醫師,說不定我就成為一個醫師了。
[00:01:45.000 --> 00:01:49.000]  我如果立志要做什麼師,我就成為什麼師了。
[00:01:49.000 --> 00:02:05.000]  但是我從來沒有立志說要做過牧師的,所以我的命運就是說我做了工程師,但是曾幾何時,當神引領我、帶領我、伴隨我,走上我的命定的時候,我就成為了牧師了。
[00:02:05.000 --> 00:02:16.000]  這是我的命定,我的destiny。一個是你走你的人生路,一個是神帶領你走你的人生路,這是不同的一件事情。
