
[00:00:00.000 --> 00:00:04.500]  五十年是一個不短的時間
[00:00:04.500 --> 00:00:09.500]  五十年我們在今時今日很重視
[00:00:09.500 --> 00:00:12.500]  因為我們說是金禧的日子
[00:00:12.500 --> 00:00:16.500]  雖然聖經的一個世代是四十年的
[00:00:16.500 --> 00:00:19.500]  中國人的一個世代
[00:00:19.500 --> 00:00:22.500]  我們叫一個甲子是六十年的
[00:00:22.500 --> 00:00:27.500]  不過我們今天還是比較留意這個五十年的
[00:00:27.500 --> 00:00:30.000]  因為我們叫他金禧
[00:00:30.000 --> 00:00:32.000]  四十年沒有什麼禧
[00:00:32.000 --> 00:00:34.000]  六十年好像也有
[00:00:34.000 --> 00:00:36.000]  六十年鑽禧
[00:00:36.000 --> 00:00:43.000]  五十年對我們來說雖然只是一個數字
[00:00:43.000 --> 00:00:47.000]  但是它也象徵一個重要的階段
[00:00:47.000 --> 00:00:51.000]  雖然四十九和五十和五十一不是這麼大分別
[00:00:51.000 --> 00:00:57.000]  但是在聖經來說五十年卻有另一個意義
[00:00:57.000 --> 00:01:04.000]  是強調一切是可以重新開始的日子
[00:01:04.000 --> 00:01:08.000]  因為舊約的時候就有欺年這個制度
[00:01:08.000 --> 00:01:10.000]  五十年是欺年
[00:01:10.000 --> 00:01:13.000]  我們一起看舊約關於欺年的說法
[00:01:13.000 --> 00:01:16.000]  你還沒記住二十五章八到十八節
[00:01:19.000 --> 00:01:36.000]  我們一起來讀八到十一節
[00:01:36.000 --> 00:01:41.000]  不要了,讀第十二節
[00:01:41.000 --> 00:01:43.000]  八到十二節一起讀
[00:01:43.000 --> 00:01:46.000]  然後會輪流的
[00:01:46.000 --> 00:01:53.000]  十三到十八節
[00:01:53.000 --> 00:01:56.000]  也很短的
[00:01:56.000 --> 00:01:58.000]  讀完它吧
[00:01:58.000 --> 00:02:00.000]  我們全部一起讀
[00:02:00.000 --> 00:02:02.000]  我們讀完這段停一停
[00:02:02.000 --> 00:02:03.000]  準備一二三
[00:02:03.000 --> 00:02:06.000]  你要算計七個安息年
[00:02:06.000 --> 00:02:08.000]  就是七七年
[00:02:08.000 --> 00:02:11.000]  這便為你乘了七個安息年
[00:02:11.000 --> 00:02:13.000]  共是四十九年
[00:02:13.000 --> 00:02:15.000]  當年七月初十日
[00:02:15.000 --> 00:02:17.000]  你要大發國聲
[00:02:17.000 --> 00:02:19.000]  這日就是贖罪日
[00:02:19.000 --> 00:02:22.000]  要在遍地發出國聲
[00:02:22.000 --> 00:02:26.000]  第五十年你們要當作盛年
[00:02:26.000 --> 00:02:30.000]  在遍地給一切的居民宣告自由
