
[00:00:00.000 --> 00:00:06.000]  今天講到的經文是約束亞經一章一到九節
[00:00:06.000 --> 00:00:08.620]  然後等一下
[00:00:08.620 --> 00:00:12.720]  然後我會稍微讀一下這九節的經文
[00:00:12.720 --> 00:00:16.380]  讓大家稍微對這個經文有點了解
[00:00:16.380 --> 00:00:19.420]  約束亞經一章一到九節
[00:00:19.420 --> 00:00:23.040]  耶和華的僕人摩西死了以後
[00:00:23.040 --> 00:00:27.680]  耶和華小玉摩西的幫手嫩的兒子約束亞說
[00:00:27.680 --> 00:00:31.140]  「我的僕人摩西死了,現在你要起來
[00:00:31.140 --> 00:00:33.600]  和衆百姓過這約達河
[00:00:33.600 --> 00:00:37.100]  往我所要賜給你們以色列人的地去
[00:00:37.100 --> 00:00:39.480]  凡你們狡猾所踏之地
[00:00:39.480 --> 00:00:43.240]  我都叫着我所應許摩西的話賜給你們了
[00:00:43.240 --> 00:00:45.440]  從曠野和這黎巴嫩
[00:00:45.440 --> 00:00:48.760]  直到優發拉底大師和赫人的權力
[00:00:48.760 --> 00:00:50.960]  要到大河日落之處
[00:00:50.960 --> 00:00:53.080]  都要做你們的警戒
[00:00:53.080 --> 00:00:57.880]  你們平生的日子必無一人能在你面前站立得住
[00:00:57.880 --> 00:01:01.920]  我怎樣與摩西同行,也必照樣與你同行
[00:01:01.920 --> 00:01:06.200]  我便不撇下你,也不丟棄你
[00:01:06.200 --> 00:01:08.000]  你當剛纔壯膽
[00:01:08.000 --> 00:01:11.760]  因爲你逼使這百姓承受那地違約
[00:01:11.760 --> 00:01:16.040]  就是我向他們列祖起誓應許賜給他們的地
[00:01:16.040 --> 00:01:18.320]  只要剛纔大大壯膽
[00:01:18.320 --> 00:01:22.440]  謹守遵行我僕人摩西所吩咐你的一切律法
[00:01:22.440 --> 00:01:24.440]  不可邊離左右
[00:01:24.440 --> 00:01:27.560]  使你無論往哪裏去都可以順利
[00:01:27.560 --> 00:01:30.080]  這律法書不可離開你的口
[00:01:30.080 --> 00:01:31.720]  總要晝夜思想
[00:01:31.720 --> 00:01:35.400]  好使你謹守遵行這書上所寫的一切話
[00:01:35.400 --> 00:01:39.440]  如此你的道路就可以通通凡事順利
[00:01:39.440 --> 00:01:41.480]  我豈沒有吩咐你嗎
[00:01:41.480 --> 00:01:43.240]  你當剛纔壯膽
[00:01:43.240 --> 00:01:45.440]  不要懼怕,也不要驚慌
[00:01:45.440 --> 00:01:47.640]  因爲你無論往哪裏去
[00:01:47.640 --> 00:01:50.240]  耶和華里的神必與你同在
[00:01:50.240 --> 00:01:52.120]  願神祝福他的話語
[00:01:52.120 --> 00:01:57.880]  我們開始講到之前有一個禱告的時間
[00:01:57.880 --> 00:02:02.840]  親愛的天父,求禰來看顧保守我們
[00:02:02.840 --> 00:02:06.280]  求禰的話語來提醒我們
[00:02:06.280 --> 00:02:10.280]  也求禰來讓我們講的聽的都同感一靈
[00:02:10.280 --> 00:02:14.320]  以致我們都能從禰的話語當中重新得力
[00:02:14.320 --> 00:02:16.440]  在這個世界上做鹽做光
[00:02:16.440 --> 00:02:17.720]  願禰來保守
[00:02:17.720 --> 00:02:21.240]  我們講的禱告來是奉靠主耶穌基督的名稱
[00:02:21.240 --> 00:02:23.120]  Amen
[00:02:23.120 --> 00:02:29.040]  今天的講題是面對恐懼的勇氣
[00:02:29.040 --> 00:02:33.720]  在好多時候我們生活裏面都有很多的恐懼
[00:02:33.720 --> 00:02:39.120]  特別其實在教會里面也有很多的恐懼在裏面
[00:02:39.120 --> 00:02:41.040]  有一位牧師他曾經說過
[00:02:41.040 --> 00:02:47.120]  在教會長大的小孩子面對神的護照
[00:02:47.120 --> 00:02:49.520]  一般有兩個反應
[00:02:49.520 --> 00:02:51.840]  第一個反應是
[00:02:51.840 --> 00:02:55.040]  選我吧 選我吧
[00:02:55.040 --> 00:02:57.720]  選我吧 選我吧 上帝
