
[00:00:00.000 --> 00:00:05.040]  剛纔敬拜小祖問了我們一個問題
[00:00:05.040 --> 00:00:07.920]  問我們愛不愛耶穌
[00:00:07.920 --> 00:00:11.400]  我們願不願意一生愛祂
[00:00:11.400 --> 00:00:13.880]  按照聖經所講
[00:00:13.880 --> 00:00:18.440]  我們愛因爲神先愛我們
[00:00:18.440 --> 00:00:22.200]  用人的方法我們不懂得怎麼去愛耶穌
[00:00:22.200 --> 00:00:25.120]  唯有我們經歷耶穌的愛
[00:00:25.120 --> 00:00:26.880]  去體驗耶穌的愛
[00:00:26.880 --> 00:00:29.440]  我們才懂得怎麼去愛祂
[00:00:29.440 --> 00:00:34.120]  求主幫助我們
[00:00:34.120 --> 00:00:43.200]  每年的諾貝爾頒獎禮是新聞界的盛事
[00:00:43.200 --> 00:00:50.760]  那個獎項是頒給在不同領域有傑出成就的人
[00:00:50.760 --> 00:00:55.000]  或者是對全人類做出貢獻的人
[00:00:55.000 --> 00:01:06.600]  其中一個最受人關注的就是諾貝爾和平獎
[00:01:06.600 --> 00:01:13.200]  它是頒給一些爲和平終身奮鬥的人士
[00:01:13.200 --> 00:01:18.720]  或者是爲人類的和平做出偉大的貢獻
[00:01:18.720 --> 00:01:21.720]  問大家一個常識問題
[00:01:21.720 --> 00:01:25.280]  大家知不知道2010年的諾貝爾和平獎是頒給哪一位
[00:01:25.280 --> 00:01:28.600]  大家知道2010年的諾貝爾和平獎是頒給哪一位
[00:01:28.600 --> 00:01:32.280]  不認識啊
[00:01:32.280 --> 00:01:35.800]  奧巴馬不值得拿
[00:01:35.800 --> 00:01:44.360]  2010年的諾貝爾和平獎是頒給中國著名的異見人士
[00:01:44.360 --> 00:01:46.520]  這個劉曉波先生
[00:01:46.520 --> 00:01:52.960]  2010年的諾貝爾和平獎頒給的中國著名的異見人士劉曉波先生
[00:01:52.960 --> 00:01:57.480]  其實在班長你那一晚他身在監獄
[00:01:57.480 --> 00:02:02.040]  他的家人也被禁止出境不能去領這個獎
[00:02:02.040 --> 00:02:05.040]  他的家人也被禁止出境不能去領這個獎
[00:02:05.040 --> 00:02:07.640]  結果在電視機的畫面你看到一幕
[00:02:07.640 --> 00:02:15.200]  就是一張空凳上面放着這個獎項
[00:02:15.200 --> 00:02:17.840]  就是一張空凳上面放着這個獎項
[00:02:17.840 --> 00:02:22.080]  其實嚴格來講劉曉波先生是第一個中國人獲得這個署名
[00:02:22.080 --> 00:02:27.120]  嚴格來講劉曉波先生是第一個中國人能夠拿到這個獎項
[00:02:27.120 --> 00:02:32.880]  之前很多中國人拿這些不同的諾貝爾獎
[00:02:32.880 --> 00:02:36.400]  當時很多不同的中國人拿到這個諾貝爾獎
[00:02:36.400 --> 00:02:38.280]  其實他們都入籍了其他國家
[00:02:38.280 --> 00:02:40.920]  其實他們已經入籍了其他國家
[00:02:40.920 --> 00:02:42.200]  嚴格來講不是中國人
[00:02:42.200 --> 00:02:43.800]  嚴格來講不是中國人
[00:02:43.800 --> 00:02:48.360]  中國人第一個拿這個諾貝爾獎的是劉曉波
[00:02:48.360 --> 00:02:51.800]  中國人第一個拿這個諾貝爾獎的是劉曉波
[00:02:51.800 --> 00:02:58.840]  應該是全國歡呼爲得到這個署名而感恩
[00:02:58.840 --> 00:03:02.920]  應該是全國一起歡呼爲了這個署名而感恩
[00:03:02.920 --> 00:03:04.520]  但結果就出現了這一幕
[00:03:04.520 --> 00:03:07.000]  但結果就出現了這一幕
[00:03:07.000 --> 00:03:08.800]  我不認識劉曉波先生
[00:03:08.800 --> 00:03:10.160]  我不認識劉曉波先生
[00:03:10.160 --> 00:03:13.400]  所有有關他的資料都是從報章或者網上看到的
[00:03:13.400 --> 00:03:16.720]  所有有關他的資料都是從報章或者網上看到的
[00:03:16.720 --> 00:03:23.080]  大概知道他因爲講了一些不合內地的言論而坐牢
[00:03:23.080 --> 00:03:26.840]  大概知道他講了一些不合內地的言論而坐牢
[00:03:26.840 --> 00:03:30.760]  他現在也因爲發表了一些言論再次入獄
[00:03:30.760 --> 00:03:35.360]  他現在是因爲發表了一些言論而再次在監牢裏
[00:03:35.360 --> 00:03:39.400]  我不知道他有沒有計算過他講這些說話要付上代價
[00:03:39.400 --> 00:03:43.200]  我不知道他有沒有計算過他講這些話要付出這樣的代價
[00:03:43.200 --> 00:03:49.800]  他不是不明白在國內講一些跟政府不同意見的要付出沉重的代價
[00:03:49.800 --> 00:03:54.760]  我相信他是不會不明白他在國內講一些跟政府不同的話
[00:03:54.760 --> 00:03:57.520]  無論他有沒有計算過這些代價
[00:03:57.520 --> 00:03:59.360]  無論他有沒有計算這樣的代價
[00:03:59.360 --> 00:04:00.760]  他已經付出了這樣的代價
[00:04:00.760 --> 00:04:01.960]  他已經付出了這樣的代價
[00:04:01.960 --> 00:04:05.840]  他因爲在網上發表一個叫"08憲章"的宣言
[00:04:05.840 --> 00:04:08.880]  因爲他在網上發表一個叫"08憲章"的宣言
[00:04:08.880 --> 00:04:10.600]  換來12年的監獄
[00:04:10.600 --> 00:04:12.520]  換來12年的牢獄
[00:04:12.520 --> 00:04:13.880]  其實電視機也有報過
[00:04:13.880 --> 00:04:17.360]  連他太太劉霞女士也受到長期的監禁
[00:04:17.360 --> 00:04:23.800]  因爲電視裏也報道他太太劉霞女士也受到長期的軟禁
[00:04:23.800 --> 00:04:25.760]  大家放心牧師不是講政治
[00:04:25.760 --> 00:04:27.720]  大家放心牧師不是在這邊講政治
[00:04:27.720 --> 00:04:32.560]  我們是在講知不知道一個人做事他要知道那個代價
[00:04:32.560 --> 00:04:36.600]  下面要講一個人知不知道他做的事情要付的代價
[00:04:36.600 --> 00:04:39.400]  現實生活其實我們每一個人不可想
[00:04:39.400 --> 00:04:41.320]  不是要爲我們的生活付上代價
[00:04:41.320 --> 00:04:45.760]  在現實生活裏面何嘗不是我們每一個人都要付出代價呢
[00:04:45.760 --> 00:04:49.960]  譬如我爲了下一代的教育曾經連根拔起移民去美國
