
[00:00:00.000 --> 00:00:02.000]  各位金剛姐妹朋友們早安
[00:00:02.000 --> 00:00:06.000]  還有我們網上的弟兄姐妹朋友們早安
[00:00:06.000 --> 00:00:12.500]  我們很高興能夠有這個機會跟各位來分享信息
[00:00:12.500 --> 00:00:15.500]  就好像我先前說的
[00:00:15.500 --> 00:00:19.000]  我們去露營了兩天
[00:00:19.000 --> 00:00:20.500]  蠻有意思的
[00:00:20.500 --> 00:00:22.000]  好久沒有露營了
[00:00:22.000 --> 00:00:26.500]  露得又髒又累又餓又困
[00:00:26.500 --> 00:00:29.000]  但是蠻有精神的
[00:00:30.000 --> 00:00:32.000]  睡那個氣墊
[00:00:32.000 --> 00:00:36.000]  躺下去就起不來了
[00:00:36.000 --> 00:00:42.000]  像個烏龜翻身一樣半天起不來
[00:00:42.000 --> 00:00:44.000]  但是不管怎麼樣
[00:00:44.000 --> 00:00:45.000]  神也很憐憫
[00:00:45.000 --> 00:00:51.000]  也讓我們能夠在這期間有非常美好的時間
[00:00:51.000 --> 00:00:54.000]  我們的神真是又真又活的神
[00:00:54.000 --> 00:00:58.000]  今天要跟各位來分享的信息是
[00:00:59.000 --> 00:01:01.000]  扛約櫃的服飾
[00:01:01.000 --> 00:01:06.000]  因爲我想我們服飾有很多種
[00:01:06.000 --> 00:01:09.000]  我們敬拜讚美的服飾
[00:01:09.000 --> 00:01:11.000]  我們講臺的服飾
[00:01:11.000 --> 00:01:13.000]  我們收奉獻的服飾
[00:01:13.000 --> 00:01:15.000]  甚至於我們清潔打掃
[00:01:15.000 --> 00:01:17.000]  甚至於我們傳福音
[00:01:17.000 --> 00:01:18.000]  甚至我們教主日學
[00:01:18.000 --> 00:01:19.000]  我們教茶經
[00:01:19.000 --> 00:01:21.000]  甚至我們禱告
[00:01:21.000 --> 00:01:23.000]  甚至什麼什麼什麼
[00:01:23.000 --> 00:01:28.000]  但是有一個叫扛約櫃的服飾
[00:01:29.000 --> 00:01:31.000]  這個服飾很特殊
[00:01:31.000 --> 00:01:35.000]  因爲我正在露營的時候
[00:01:35.000 --> 00:01:39.000]  我就想說下個年度
[00:01:39.000 --> 00:01:41.000]  我們的意向是什麼
[00:01:41.000 --> 00:01:42.000]  神就啓示我
[00:01:42.000 --> 00:01:45.000]  我們要談一談服飾
[00:01:45.000 --> 00:01:47.000]  服飾有很多種
[00:01:47.000 --> 00:01:50.000]  扛約櫃的服飾
