
[00:00:00.000 --> 00:00:01.460]  好 各位親愛的兄弟姐妹 你們好
[00:00:01.460 --> 00:00:05.180]  我們又有星期三晚的《賊經》了
[00:00:05.180 --> 00:00:08.460]  今天有時候我們陷入一個困境當中
[00:00:08.460 --> 00:00:12.960]  好像是沒有什麼前路我們看得到
[00:00:12.960 --> 00:00:15.660]  但是其實我們的神是會為我們開路
[00:00:15.660 --> 00:00:18.620]  甚至我們看不到這條路
[00:00:18.620 --> 00:00:20.420]  但是其實早已經為我們預備了
[00:00:20.420 --> 00:00:24.100]  今天我們看看大衛如何在走投無路的時候
[00:00:24.100 --> 00:00:27.180]  他竟然投靠了敵人
[00:00:27.620 --> 00:00:30.220]  是什麼敵人呢 是菲律師人
[00:00:30.220 --> 00:00:35.540]  然後就把自己擒在一個很大的危機當中
[00:00:35.540 --> 00:00:39.700]  因為他和菲律師人要並肩作戰
[00:00:39.700 --> 00:00:43.940]  去針對菲律師人的敵人是誰呢
[00:00:43.940 --> 00:00:49.420]  就是蘇羅 甚至要和他的摯友若拿丹開戰
[00:00:49.420 --> 00:00:54.180]  當他真的要和蘇羅和若拿丹開戰的時候
[00:00:54.180 --> 00:00:57.540]  就是說他要對付自己的同胞
[00:00:57.820 --> 00:01:01.260]  那就一定會引起他的同胞的不滿
[00:01:01.260 --> 00:01:08.420]  所以他現在陷入一個不能逆轉的逆戰當中
[00:01:08.420 --> 00:01:13.660]  但是我們又看到神怎樣用很奇妙的方法
[00:01:13.660 --> 00:01:16.500]  使得他得以解困
[00:01:16.500 --> 00:01:21.860]  是他完全沒有想到神會用這個方法叫他解困的
[00:01:21.860 --> 00:01:26.060]  所以剛才那首歌就很配合到今天的訊息了
[00:01:26.700 --> 00:01:30.860]  從而 看完這個歷史的事實就讓我們自己要反省
[00:01:30.860 --> 00:01:34.740]  有時候我們好像看不到前景
[00:01:34.740 --> 00:01:37.860]  甚至我們對神失去了信心
[00:01:37.860 --> 00:01:40.380]  又或者犯了罪
