
[00:00:00.000 --> 00:00:04.640]  今年教會主題是「非凡人生」
[00:00:04.640 --> 00:00:08.600]  這兩個星期我們講到的主題
[00:00:08.600 --> 00:00:13.520]  都是圍繞呼召 怎樣去回應我們的呼召
[00:00:13.520 --> 00:00:16.200]  今天講到的主題是
[00:00:16.200 --> 00:00:19.400]  呼召不是複製 不是Cookie Cutter
[00:00:19.400 --> 00:00:21.080]  不是像做曲奇餅那樣
[00:00:21.080 --> 00:00:22.680]  Mass Produce 一個一個
[00:00:22.680 --> 00:00:24.880]  我們每一個人都是不同的
[00:00:24.880 --> 00:00:27.200]  在天父眼中都是寶貴的
[00:00:27.200 --> 00:00:29.200]  我們的呼召不是複製
[00:00:29.200 --> 00:00:30.760]  而是定位
[00:00:30.760 --> 00:00:32.200]  因為上個星期
[00:00:32.200 --> 00:00:34.440]  Pastor Chloe 和我們靜悟
[00:00:34.440 --> 00:00:38.120]  她講到她呼召第一群人的時候
[00:00:38.120 --> 00:00:39.040]  他們是怎樣的
[00:00:39.040 --> 00:00:42.600]  立刻捨去 跟從
[00:00:42.600 --> 00:00:44.400]  立刻放下跟從
[00:00:44.400 --> 00:00:48.160]  而今天我們在《路加福音》第八章的故事裡
[00:00:48.160 --> 00:00:50.000]  我們看到一個對比
[00:00:50.000 --> 00:00:51.880]  一個很鮮明的對比
[00:00:51.880 --> 00:00:55.320]  這個人被主耶穌醫治之後
[00:00:55.320 --> 00:00:57.440]  鬼離開了這個人之後
[00:00:57.440 --> 00:01:02.080]  主耶穌是懇求做主耶穌的門徒
[00:01:02.080 --> 00:01:04.120]  祂說主耶穌我可不可以跟從你
[00:01:04.120 --> 00:01:06.000]  可不可以與你同在
[00:01:06.000 --> 00:01:08.200]  但是很有趣的是
[00:01:08.200 --> 00:01:11.440]  主耶穌是打發他回家
[00:01:11.440 --> 00:01:12.960]  祂叫他回家
[00:01:12.960 --> 00:01:16.320]  在家鄉為他作見證
[00:01:16.320 --> 00:01:19.680]  這裡我們看到一個很鮮明的對比
[00:01:19.680 --> 00:01:22.200]  主耶穌呼召他的門徒
[00:01:22.200 --> 00:01:25.120]  不是像Cookie Cutter一樣
[00:01:25.120 --> 00:01:26.640]  不是複製我們的
[00:01:26.640 --> 00:01:27.800]  我們每一個人
[00:01:27.800 --> 00:01:31.360]  都有不同的方法去回應主耶穌的呼召
[00:01:31.360 --> 00:01:34.880]  我們一起進入經文去看一看
[00:01:34.880 --> 00:01:39.240]  《路加福音》第八章26至27節這樣說
[00:01:39.240 --> 00:01:43.360]  主耶穌來到這個地方叫格拉森
[00:01:43.360 --> 00:01:46.320]  格拉森是一個很特別的地方
[00:01:46.320 --> 00:01:48.800]  離加利利很近
[00:01:48.800 --> 00:01:50.440]  就在對面海
[00:01:50.440 --> 00:01:53.160]  如果坐船可能一至三個小時
[00:01:53.160 --> 00:01:54.880]  可能一個多小時就到了
[00:01:54.880 --> 00:01:57.800]  所以我稱格拉森為一個
[00:01:57.800 --> 00:02:01.120]  這麼近又那麼遠的地方
[00:02:01.120 --> 00:02:05.840]  今天我們在灣區也有這樣的地方
[00:02:05.840 --> 00:02:07.920]  這麼近那麼遠
[00:02:07.920 --> 00:02:10.120]  三藩市很近我們
[00:02:10.120 --> 00:02:12.760]  但原來在整個灣區裡面
[00:02:12.760 --> 00:02:15.640]  三藩市是最難傳福音的地方
[00:02:15.640 --> 00:02:19.400]  因為那裡的人不是那麼容易接受福音
[00:02:19.400 --> 00:02:21.800]  所以地理上很近
[00:02:21.800 --> 00:02:23.400]  就在對面海
[00:02:23.400 --> 00:02:25.600]  但靈性上很遠
[00:02:25.600 --> 00:02:27.880]  他們不願意接受福音
[00:02:27.880 --> 00:02:33.640]  主耶穌來到這麼近又那麼遠的群族
[00:02:33.640 --> 00:02:35.400]  上岸之後
[00:02:35.400 --> 00:02:39.200]  祂見到一個被鬼附的人
[00:02:39.200 --> 00:02:41.000]  迎面而來
[00:02:41.000 --> 00:02:44.800]  這個人很久都不穿衣服
[00:02:44.800 --> 00:02:46.400]  原來不穿衣服
[00:02:46.400 --> 00:02:48.920]  不只是說他不穿衣服
[00:02:48.920 --> 00:02:51.920]  不是說我們去沙灘游泳不穿衣服
[00:02:51.920 --> 00:02:54.440]  不穿衣服原來是說
[00:02:54.440 --> 00:02:59.080]  希臘原文是說一個極度羞恥的狀態
[00:02:59.080 --> 00:03:03.520]  就是說這個人完全喪失了理智
[00:03:03.520 --> 00:03:05.360]  不知道自己在做什麼
[00:03:05.360 --> 00:03:06.360]  行屍走肉
[00:03:06.360 --> 00:03:08.320]  好像一個喪屍一樣
[00:03:08.320 --> 00:03:11.400]  平時一個正常人會做的事情
[00:03:11.400 --> 00:03:13.240]  一個正常人不會做的事情
[00:03:13.240 --> 00:03:16.040]  他是不修邊幅地當眾做出來
[00:03:16.040 --> 00:03:17.880]  完全喪失了理智
[00:03:17.880 --> 00:03:19.480]  就是這個樣子的人
[00:03:19.480 --> 00:03:21.480]  他不僅不住在家裡
[00:03:21.480 --> 00:03:23.880]  還要住在墳墓裡
[00:03:23.880 --> 00:03:28.160]  是一個極度喪失理智的人
[00:03:28.160 --> 00:03:31.080]  但是這個人見到主耶穌
[00:03:31.080 --> 00:03:32.960]  竟然意志回來了
[00:03:32.960 --> 00:03:34.360]  清醒了
[00:03:34.360 --> 00:03:36.360]  伏在耶穌的腳前
[00:03:36.360 --> 00:03:37.760]  大聲喊叫
[00:03:37.760 --> 00:03:40.400]  說:至高神的兒子耶穌
[00:03:40.400 --> 00:03:42.280]  我與你有什麼相干呢?
[00:03:42.280 --> 00:03:44.760]  他主動求主耶穌
[00:03:44.760 --> 00:03:46.880]  不要叫他受苦
[00:03:46.880 --> 00:03:48.680]  一個本來那麼失喪的人
[00:03:48.680 --> 00:03:51.920]  突然有了理智伏在主耶穌的腳下
[00:03:51.920 --> 00:03:53.240]  去求祂
[00:03:53.240 --> 00:03:55.240]  叫祂不要讓他受苦
[00:03:55.240 --> 00:03:57.960]  而我們在《路加福音》上文下理
[00:03:57.960 --> 00:03:58.880]  我們看到
[00:03:58.880 --> 00:04:01.640]  剛剛主耶穌平靜了風浪
[00:04:01.640 --> 00:04:03.440]  現在又趕鬼
[00:04:03.440 --> 00:04:05.280]  然後祂有醫治
[00:04:05.280 --> 00:04:08.080]  告訴我們主題就是
[00:04:08.080 --> 00:04:10.840]  主耶穌的權力是超越大自然
[00:04:10.840 --> 00:04:11.840]  超越魔鬼
[00:04:11.840 --> 00:04:13.440]  超越人的生死
[00:04:13.440 --> 00:04:16.640]  祂絕對有這樣的權柄
[00:04:16.640 --> 00:04:18.120]  我們繼續看
[00:04:18.120 --> 00:04:20.440]  主耶穌曾經吩咐
[00:04:20.440 --> 00:04:24.400]  原來祂不是第一次去醫治這個人
[00:04:24.400 --> 00:04:26.000]  祂曾經吩咐
[00:04:26.000 --> 00:04:29.680]  這個魔鬼在這個人身上出來
[00:04:29.680 --> 00:04:31.280]  祂已經認識
[00:04:31.280 --> 00:04:33.280]  祂認識是老朋友
[00:04:33.280 --> 00:04:35.120]  不是剛剛見面
[00:04:35.120 --> 00:04:38.800]  原來這個魔鬼扭刺去捉住祂
[00:04:38.800 --> 00:04:40.640]  祂也被人看守
[00:04:40.640 --> 00:04:43.480]  又被鎖鏈、腳鏈鎖住
[00:04:43.480 --> 00:04:46.720]  但是祂竟然可以掙脫這些鎖鏈
[00:04:46.720 --> 00:04:50.040]  被鬼趕到曠野裡面
[00:04:50.040 --> 00:04:51.560]  這裏很奇怪
[00:04:51.560 --> 00:04:54.600]  為什麼主耶穌要問祂叫什麼名字呢?
[00:04:54.600 --> 00:04:58.080]  因為主耶穌不是不認識祂
[00:04:58.080 --> 00:05:00.680]  為什麼?第一個問題我們要問的就是
[00:05:00.680 --> 00:05:06.200]  為什麼主耶穌要問鬼祂叫什麼名字?
[00:05:06.200 --> 00:05:07.880]  如果我已經認識祂
[00:05:07.880 --> 00:05:10.320]  我不會再問祂叫什麼名字
[00:05:10.320 --> 00:05:12.040]  這個問題我們先放在袋子裏
[00:05:12.040 --> 00:05:14.840]  待會我們一起說明
[00:05:14.840 --> 00:05:17.920]  接著鬼告訴祂我叫群
[00:05:17.920 --> 00:05:21.040]  群不是一個普通的名字
[00:05:21.040 --> 00:05:23.480]  大家有沒有認識一些朋友叫群?
[00:05:23.480 --> 00:05:24.800]  我們不要歧視他們
[00:05:24.800 --> 00:05:27.240]  那個群不等於這個群
[00:05:27.240 --> 00:05:33.040]  這個群就等於一個軍隊裏面的女
[00:05:33.040 --> 00:05:37.680]  一個群就等於五千至六千個士兵
[00:05:37.680 --> 00:05:41.320]  其實這些鬼不是一隻、兩隻
[00:05:41.320 --> 00:05:44.640]  它是一個殺蛋的軍隊
[00:05:44.640 --> 00:05:48.640]  所以主耶穌要對付的不是一隻、兩隻鬼
[00:05:48.640 --> 00:05:50.840]  而是一個軍隊
[00:05:50.840 --> 00:05:54.520]  主耶穌面對的是一個軍隊
[00:05:54.520 --> 00:06:00.000]  接著這個軍隊去懇求主耶穌
[00:06:00.000 --> 00:06:06.200]  叫主耶穌求祂不要吩咐祂去無底坑
[00:06:06.200 --> 00:06:08.320]  什麼叫做去無底坑呢?
[00:06:08.320 --> 00:06:11.360]  去無底坑的意思就是KO
[00:06:11.360 --> 00:06:13.760]  大家有沒有聽過這個term KO?
[00:06:13.760 --> 00:06:15.560]  徹底打敗
[00:06:15.560 --> 00:06:21.720]  即是主耶穌是有能力徹底打敗這支軍隊
[00:06:21.720 --> 00:06:24.080]  一聲的命下
[00:06:24.080 --> 00:06:26.200]  原來主耶穌是有這樣的能力
[00:06:26.200 --> 00:06:29.880]  徹底KO這個軍隊
[00:06:29.880 --> 00:06:31.760]  這個我們要思考
[00:06:31.760 --> 00:06:33.120]  又要放在袋子裏
[00:06:33.120 --> 00:06:35.520]  原來主耶穌是有這樣的能力
[00:06:35.520 --> 00:06:37.600]  但為什麼祂沒有這樣做呢?
[00:06:37.600 --> 00:06:39.040]  我們又要思考一下
[00:06:39.040 --> 00:06:41.400]  為什麼主耶穌既然有能力去KO
[00:06:41.400 --> 00:06:43.400]  但祂沒有這樣做呢?
[00:06:43.400 --> 00:06:45.760]  經文這樣說
[00:06:45.760 --> 00:06:48.880]  那裏有一大群豬群
[00:06:48.880 --> 00:06:54.000]  鬼就要求主耶穌准許它們進入豬群
[00:06:54.000 --> 00:06:56.280]  主耶穌就准許了
[00:06:56.280 --> 00:06:57.960]  准許了它們進入豬群
[00:06:57.960 --> 00:06:59.960]  然後怎樣呢?
[00:06:59.960 --> 00:07:03.400]  整群豬就掉下山崖淹死了
[00:07:03.400 --> 00:07:05.800]  這個故事很匪夷所思
[00:07:05.800 --> 00:07:09.960]  我們都不明白為什麼主耶穌讓這些事情發生
[00:07:09.960 --> 00:07:11.120]  這三個問題
[00:07:11.120 --> 00:07:14.160]  為什麼主耶穌明知那些鬼是誰
[00:07:14.160 --> 00:07:16.400]  但要問它們叫什麼名字呢?
[00:07:16.400 --> 00:07:19.200]  為什麼主耶穌一開始就沒有KO它們呢?
[00:07:19.200 --> 00:07:23.680]  為什麼主耶穌又會答應它們進入豬群呢?
[00:07:23.680 --> 00:07:25.920]  我們看看這個故事的結尾
[00:07:25.920 --> 00:07:27.760]  我們就大概明白了
[00:07:27.760 --> 00:07:29.400]  這個故事的結尾
[00:07:29.400 --> 00:07:34.000]  假如當時會有聖地新聞
[00:07:34.000 --> 00:07:39.320]  對面岸加利利人就會收到這樣的消息
[00:07:39.320 --> 00:07:40.760]  當你是猶太社群
[00:07:40.760 --> 00:07:42.280]  你在對面加利利海
[00:07:42.280 --> 00:07:44.040]  這件事發生了之後
[00:07:44.040 --> 00:07:46.040]  他們就會看到一個新聞
[00:07:46.040 --> 00:07:47.520]  主耶穌在對面海
[00:07:47.520 --> 00:07:50.320]  祂不單止醫治了一個人
[00:07:50.320 --> 00:07:52.480]  祂還擊敗了整個軍隊
[00:07:52.480 --> 00:07:55.280]  而那個軍隊的名字叫做群
[00:07:55.280 --> 00:07:57.920]  主耶穌一聲令下
[00:07:57.920 --> 00:07:59.680]  不單止醫治了一個人
[00:07:59.680 --> 00:08:03.320]  KO了一個撒旦的軍隊
[00:08:03.320 --> 00:08:04.600]  而且還怎樣呢?
[00:08:04.600 --> 00:08:08.360]  其實猶太人看這群豬很不順眼很久了
[00:08:08.360 --> 00:08:11.440]  因為豬其實在他們眼中是代表不潔
[00:08:11.440 --> 00:08:14.160]  猶太人在對面海
[00:08:14.160 --> 00:08:18.120]  看到那群豬很不順眼很久了
[00:08:18.120 --> 00:08:21.000]  但竟然主耶穌一聲令下
