
[00:00:00.000 --> 00:00:05.320]  感謝教會 感謝姜姑娘的邀請
[00:00:05.320 --> 00:00:13.580]  今天可以跟大家去分享一個題目 叫塑形神的羣體
[00:00:13.580 --> 00:00:21.960]  好幾個幾年前 不知道年輕一代可能會經歷過
[00:00:21.960 --> 00:00:26.200]  我想大概是三年前左右吧
[00:00:26.200 --> 00:00:38.720]  不是有一個手機的遊戲 要跑到街上面去抓怪獸 是嗎?
[00:00:38.720 --> 00:00:44.280]  還記得那個手遊嗎?我們叫手遊
[00:00:44.280 --> 00:00:49.720]  現在還有 但是呢 因爲我是住在新界的那個地方
[00:00:49.720 --> 00:00:57.440]  地方都不是很大了 但是有公園比較多一點
[00:00:57.440 --> 00:01:02.720]  那個感覺是怎麼樣呢?就好像在非洲看到那些動物
[00:01:02.720 --> 00:01:09.520]  千採一樣 一大羣人從這邊跑到那邊去
[00:01:09.520 --> 00:01:15.800]  然後停下來 過了一段時間 他們又跑到另外一個地方去
[00:01:15.800 --> 00:01:19.640]  一羣一羣的人這樣去走
[00:01:19.640 --> 00:01:27.280]  他們互相都不認識的 但是他們有一個共同的目標
[00:01:27.280 --> 00:01:35.000]  就是透過那個手機去抓那些怪獸
[00:01:35.000 --> 00:01:39.320]  他們是有共同的目標
[00:01:39.320 --> 00:01:47.600]  當然就是說他們玩過了之後 他們就各自回家了
[00:01:47.600 --> 00:01:52.640]  他們都不知道誰在旁邊 也不知道 沒有印象
[00:01:52.640 --> 00:01:59.160]  但是他們聚在一起的時候 他們就有一個共同的目標
[00:01:59.160 --> 00:02:02.880]  就好像一個羣體一樣
[00:02:02.880 --> 00:02:07.600]  他們就這樣從一個地方跑到另外一個地方去
[00:02:07.600 --> 00:02:16.240]  所以羣體 我們當然是說從什麼社會學那些東西去研究
[00:02:16.240 --> 00:02:19.760]  就對羣體有不同的定義
[00:02:19.760 --> 00:02:23.600]  但是簡單來說 就是那個羣體應該有一個
[00:02:23.600 --> 00:02:29.920]  那些在羣體裏面的人是有一些共同的地方
[00:02:29.920 --> 00:02:38.040]  那麼我們講的今天的課題是素神的羣體
[00:02:38.040 --> 00:02:43.320]  那麼素神的羣體應該有什麼共同的地方 共同點
[00:02:43.320 --> 00:02:55.320]  大家明白我的問題嗎
[00:02:55.320 --> 00:03:03.680]  在耶穌昇天之後 他建立了教會
[00:03:03.680 --> 00:03:10.320]  最初的時候 那個教會實際上跟今天的不一樣了
[00:03:10.320 --> 00:03:18.040]  今天我們說星期天或是什麼時候我們回教會去
[00:03:18.040 --> 00:03:23.320]  我們腦子裏面出現了一個信息
[00:03:23.320 --> 00:03:27.480]  就是說我們回到這邊來 對嗎
[00:03:27.480 --> 00:03:35.760]  我們把教堂或是一個聚會的地方想爲一個教會
