
[00:00:00.000 --> 00:00:04.500]  我們讀一段聖經在彼得前書第四章第十節
[00:00:04.500 --> 00:00:07.380]  只有一節的聖經 我們一同來念 來
[00:00:07.380 --> 00:00:13.560]  「個人要照所得的恩賜 彼此服侍作神 百般恩賜的好管家」
[00:00:13.560 --> 00:00:15.660]  我們就讀到這裡
[00:00:15.660 --> 00:00:18.200]  禮拜二我剛剛從非洲回來
[00:00:18.200 --> 00:00:24.760]  那麼這一次去非洲最主要就是帶領每年一次的牧者連導會
[00:00:24.760 --> 00:00:29.480]  那今年我們牧者連導會是在背南的首都溝通路來舉行
[00:00:29.480 --> 00:00:34.920]  一共有一百二十五位非洲分堂的牧者我們聚集在一起
[00:00:34.920 --> 00:00:37.960]  你知道他們多半的牧者都每年再見面一次
[00:00:37.960 --> 00:00:42.720]  所以你可以想像真的是非常的熱鬧 非常的喜樂
[00:00:42.720 --> 00:00:48.600]  他們唱歌跳舞的時候你真的感覺到喜樂的江河就在那裡湧流
[00:00:48.600 --> 00:00:54.040]  在這聚會當中我們也特別拆派了一對年輕的牧師夫婦
[00:00:54.040 --> 00:00:58.480]  進入中非共和國要開拓一間新的分堂
[00:00:58.480 --> 00:01:04.640]  這將是我們在非洲職堂所進入的第十六個國家
[00:01:04.640 --> 00:01:07.600]  回想我們在非洲職堂的侍功
[00:01:07.600 --> 00:01:12.840]  我們真的要說我們的神是一位史無變有的神
[00:01:12.840 --> 00:01:16.160]  當我們在兩千年的時候第一次進入非洲
[00:01:16.160 --> 00:01:18.280]  那個時候真的一無所有
[00:01:18.280 --> 00:01:21.240]  既沒有牧者也沒有堂會
[00:01:21.240 --> 00:01:27.440]  可是現在我們在非洲已經在十六個國家建立超過一百多間教會
[00:01:27.440 --> 00:01:32.360]  哈利路亞將榮耀歸給我們的神
[00:01:32.360 --> 00:01:37.680]  更重要的是我感覺到這些年來看見神在我們中間
[00:01:37.680 --> 00:01:43.880]  真的興起一位被神所使用我們的非洲侍功總幹事馬蒂爾牧師
[00:01:43.880 --> 00:01:49.600]  他非常有領導力也在那裡建立一個非常好的領導團隊
