
[00:00:00.000 --> 00:00:08.000]  在去年4月16日早上,在南韓發生了一宗轟動的新聞,可能大家都會有印象。
[00:00:08.000 --> 00:00:20.000]  有一艘船叫做「細月號」,這艘客輪沉沒了有過百人在當中罹難,當中有很多是小朋友和學生。
[00:00:20.000 --> 00:00:33.000]  當中香港很多時候的傳媒會叫這艘船叫做「碎月號」,碎月這兩個字很好聽,好像碎月流逝的意思。
[00:00:33.000 --> 00:00:45.000]  不過原來這個的譯法是有問題的,韓文應該的譯法應該是譯做「細月號」,「細月」這個字的意思就是超越塵世的意思,
[00:00:45.000 --> 00:00:50.000]  和碎月流逝的碎月是毫無關係的。
[00:00:50.000 --> 00:01:00.000]  那為什麼叫做超越塵世呢?這個「細月」是什麼意思呢?原來背後都有很多和宗教很有關係的因素。
[00:01:00.000 --> 00:01:13.000]  原來起名的那個人,就是船公司集團的前總裁,是一個信奉一個叫做救援派的基督教異端的人。
[00:01:13.000 --> 00:01:22.000]  這個教派信奉的是一種叫做脫離塵世,接受救援的教義。
[00:01:22.000 --> 00:01:37.000]  在出事的時候,這艘船大部分的船員,如果大家都知道,他們都拋棄了很多的乘客,首先就選擇棄船逃命。
[00:01:37.000 --> 00:01:50.000]  那個船長李進石更加一直裝瘋扮瘋,行為怪異。原來這個船長和很多船員都是這個教派的成員。
[00:01:50.000 --> 00:02:03.000]  相信他們很多這些怪異的行為,這些不負責任的行徑,都是和他們的信仰有關。救援派出事的時候,救援自己就不理人了。
[00:02:03.000 --> 00:02:13.000]  其實真是很諷刺。南韓是一個基督教很興盛的國家,但同時異端在當中也非常活躍。
[00:02:13.000 --> 00:02:22.000]  這些異端不單止對一個人的信仰,其實對整個社會都有潛在的影響,是很實在的。
[00:02:22.000 --> 00:02:43.000]  或者看近一點,如果你記得去年香港有幾份的報章頭版,你都可能見過一些福音的廣告。單單你去看這些頭版廣告的內容,你不會看得出他們裡面所講的東西和我們窩福堂或者很多的主流教派,基督教派所講的有什麼分別,你完全看不出的。
[00:02:43.000 --> 00:02:55.000]  但是他們不惜工本,要去買這些廣告,為了讓人看完之後去聯絡一個叫做全能神教會,全能神教會的一個基督教的異端。
[00:02:55.000 --> 00:03:13.000]  如果大家記得早前在山東,曾經有一家大小等六人在一家麥當勞裡面向人傳教,傳教不遂就將那個人活活打死了,這班兇手其實就是這個教派的人。
[00:03:13.000 --> 00:03:23.000]  所以內地政府就將這個教派定性為邪教,就是因為這件事,所以在香港這個教派才稍微沉靜下來。
[00:03:23.000 --> 00:03:32.000]  在全球很多環的社區裡面,這個教派都用了很多不同的名字,不斷的改名,來去掩人耳目。
[00:03:32.000 --> 00:03:46.000]  本來其實在內地叫做東方閃電,後來來到香港又叫做全能神教會,跟著又改名叫做角度新時代教會,角度救恩教會等等,在台灣又叫做新歌教會,唱歌的歌。
[00:03:46.000 --> 00:03:55.000]  詳情我想我就不多說了,大家待會下午回來,我們又將各類傳道器在我們當中講座,會有更多的分享。
[00:03:55.000 --> 00:04:06.000]  雖然不是每一個這些異端都是邪教,都會直接在道德上有很多的問題,會危害人的性命。
[00:04:06.000 --> 00:04:21.000]  不過這些他們以教會的一個面具,以信徒的一個面具去出現的時候,確實是迷惑了很多的人,叫他們去以為那些是真的,就叫他們去偏離了真道。
[00:04:21.000 --> 00:04:27.000]  其實我們今天不需要覺得出奇,其實聖經一早就警告了,一早就說會有這樣的事情發生了。
[00:04:27.000 --> 00:04:40.000]  在2000年前,高林多的教會也有同樣一些異端,甚至在教會裡面。因為時間關係,剛才吳高主席就幫我們讀了一段經文,我也不會再讀了。
[00:04:40.000 --> 00:04:48.000]  但是待會我會一路去看這些經文的時候,我不會順著次序去講的,大家可以留意著。
[00:04:48.000 --> 00:04:59.000]  我們今天就可以去看看保羅去教導這些高林多的信徒,如何去面對這些異端的當中,有三點是值得我們一起去看的。
[00:04:59.000 --> 00:05:17.000]  繼續之前我們一起去祈禱,多謝你今天招聚我們,讓我們有機會去學習你的華語,讓我們認識你更加多,成為我們的幫助,讓我們能夠認清異端,求主你幫助我們,聽我們的祈禱,奉主明求,阿彌陀佛。
[00:05:17.000 --> 00:05:24.000]  這一段的背景很奇怪,可能剛才一讀出來你也覺得很奇怪,究竟發生什麼事呢?
[00:05:24.000 --> 00:05:35.000]  原來當時保羅他面對著高林多教會裡面有一幫不是很尊重他的人,所以他說的話的語氣你也感覺到有點奇怪。
[00:05:35.000 --> 00:05:46.000]  保羅雖然是帶著這一幫高林多的人去信主,是建立一間教會的人,但是當中有些信徒就開始看不起他了。
[00:05:46.000 --> 00:06:00.000]  開始跟隨一些自命為超級仕途的人,這些人可能談吐舉止樣貌各樣都很好,很魅力的,比保羅更加魅力也說不定。
[00:06:00.000 --> 00:06:13.000]  所以在第一節,保羅開始用一個很謙卑的口吻跟他們說,但願你們去容忍我一點點的愚蠢,為了請你們去務必容忍我。
[00:06:13.000 --> 00:06:21.000]  其實這裡沒有,之前的象文就說到保羅一直很愛這幫高林多的信徒。
[00:06:21.000 --> 00:06:30.000]  他這裡所說的,他為什麼要用這樣的語氣,其實就是很想他們細心聽我接下來的說話。
[00:06:30.000 --> 00:06:46.000]  情況就好像他一片無奈,就像一個母親很溫柔的去請求她那位很反叛的兒子,你也細心聽我說一說吧,就是這樣的一個場景。
[00:06:46.000 --> 00:07:00.000]  不過如果我們細心一點,我們再看第五節,我們就會看到保羅他不是自卑,他說但我想我一點也不在那些超級仕途以下。
[00:07:00.000 --> 00:07:10.000]  其實什麼是超級仕途呢?超級仕途這個字很特別,我很少聽到,這個詞語在聖經裡面只有高林多後書有出現過。
[00:07:10.000 --> 00:07:17.000]  仕途這個字其實意思就是奉差遣,通常是指奉耶穌差遣的意思在新約裡面。
[00:07:17.000 --> 00:07:29.000]  但是這裡這些人他自命,他在其他的仕途,連12位仕途,保羅,他說他們在他們這些仕途之上,所以他自命為超級。
[00:07:29.000 --> 00:07:39.000]  其實這樣說你聽得出來已經很奇怪了,為什麼都是耶穌所差派的,但是會覺得不同他們呢?已經很奇怪了。
[00:07:39.000 --> 00:07:47.000]  這些人似乎也是在保羅他不在高林多這個地方的時候就來到,然後就吸引了很多不同的仕途。
[00:07:47.000 --> 00:07:58.000]  使得這些人他們就不再敬重保羅,而更加重要的就是他們不再去尊重保羅所傳這個真正的基督和真正的福音。
[00:07:58.000 --> 00:08:09.000]  我們不知道這些人實際上到底有什麼吸引力在這裡,但是很肯定他們一定有不少的魅力,不少的知識,甚至有不少的能力。
[00:08:09.000 --> 00:08:15.000]  以致到不是說我是超級仕途就有人信的,有人跟一定有理由的。
[00:08:15.000 --> 00:08:23.000]  在第十三節那裡保羅他直斥這些人,他說你是假仕途,行事詭詐,裝作基督的仕途。
[00:08:23.000 --> 00:08:34.000]  但是接著他又補充說,這也不足為奇,因為連撒旦也裝作光明的天使,所以他的差異裝作公義的差異也沒有什麼大不了。
[00:08:34.000 --> 00:08:44.000]  魔鬼撒旦就是他出現的那個形象,不要以為一定是很可怕很討厭,好像鬼片看到的那樣,不是的。
[00:08:44.000 --> 00:08:53.000]  也不是好像卡通片看到的那樣,頭上有兩隻角,有條尾巴好像箭咀那樣,拿著一支三叉,不是的。
[00:08:53.000 --> 00:09:02.000]  同樣,當他化作光明的天使的時候,也不是我們想像中穿著白袍,有一對翅膀在那裡甩來甩去的那種,不是的。
[00:09:02.000 --> 00:09:12.000]  是沒有樣子看的。撒旦他是很喜歡用一個很聰明的方法,用很多我們覺得很吸引的形態去出現。
[00:09:12.000 --> 00:09:25.000]  稍微成功一點的異端,一定會給人一種好像很平安,很舒服的感覺,令人覺得這個就是從上帝而來的吸引力了。
[00:09:25.000 --> 00:09:37.000]  他們一定一定會有一些魅力,一定一定會有一些知識的。自古以來其實撒旦的技倆最厲害的是什麼?
[00:09:37.000 --> 00:09:51.000]  欺騙、裝扮、說謊、魔鬼這個字,魔鬼的名字原是欺控者,魔鬼就是要欺控人。
[00:09:51.000 --> 00:10:03.000]  在我中學的時候,曾經在街上有些人想騙我的錢,這個人很厲害的,他很快就能說出我中學校長的名字,當然跟著就說他跟他很熟了。
[00:10:03.000 --> 00:10:23.000]  同樣,所有的異端都是,一定知道一些東西,一定有些知識的,他甚至會知道上帝給人的命令教訓是怎麼樣的,但是會將它扭曲,令人對上帝的知識有錯誤,令人誤解了上帝給我們的教訓指示。
[00:10:23.000 --> 00:10:50.000]  事實上我們都會記得在科林書裡面,就算是試探耶穌的魔鬼,他用的是什麼?全部都是聖經裡所說的話,但是他用的是聖經,他用的方法卻是不正確,卻是很容易會成為我們不熟悉聖經的時候被迷惑了的一些原因。
[00:10:50.000 --> 00:10:58.000]  撒旦他認識聖經會不會少呢?一點都不會少,所以我們真的要很小心。
