
[00:00:00.000 --> 00:00:01.640]  各位電影姊妹 午安
[00:00:01.640 --> 00:00:02.920]  踏入了十二點
[00:00:02.920 --> 00:00:05.040]  今天是敬拜讚美主日
[00:00:05.040 --> 00:00:08.600]  很想一年有一個這樣的崇拜
[00:00:08.600 --> 00:00:14.320]  讓我們可以將焦點放在思想我們的敬拜生活
[00:00:14.320 --> 00:00:16.440]  我想不單單是崇拜的生活
[00:00:16.440 --> 00:00:19.320]  而是我們整個人的敬拜生活
[00:00:19.320 --> 00:00:22.680]  所以今天安排了有手鐘隊
[00:00:22.680 --> 00:00:24.240]  也有詩歌班的獻唱
[00:00:24.240 --> 00:00:25.840]  領詞部分長一點點
[00:00:25.840 --> 00:00:27.920]  在講道我會縮短一點點
[00:00:27.920 --> 00:00:30.880]  但焦點還是我們的上帝
[00:00:30.880 --> 00:00:33.200]  我選擇了利美記跟大家分享
[00:00:33.200 --> 00:00:36.880]  但利美記和基督徒有時候都好像很陌生
[00:00:36.880 --> 00:00:39.120]  因為利美記給人一種印象
[00:00:39.120 --> 00:00:43.800]  就是談及以色列人很多律例典章的書卷
[00:00:43.800 --> 00:00:48.320]  這些律例典章我們看的時候會覺得非常沉悶
[00:00:48.320 --> 00:00:50.280]  又加上大部分的律例
[00:00:50.280 --> 00:00:52.560]  其實今天我們都不會遵守的
[00:00:52.560 --> 00:00:53.880]  例如就是憲制的過程
[00:00:53.880 --> 00:00:55.600]  所以你不用記著怎麼做的
[00:00:55.600 --> 00:00:59.160]  所以很多人就不會想花時間去看
[00:00:59.160 --> 00:01:01.360]  但神的話是不會多餘的
[00:01:01.360 --> 00:01:03.960]  祂全留在這裡當然總是有意思
[00:01:03.960 --> 00:01:05.960]  甚至只要我們用心去看
[00:01:05.960 --> 00:01:09.920]  就會發現利美記對我們基督徒的生命
[00:01:09.920 --> 00:01:13.320]  對我們基督徒的生活是非常重要
[00:01:13.320 --> 00:01:15.880]  利美記其實不單是講憲制
[00:01:15.880 --> 00:01:19.240]  大部分的解經家都會這樣來分段
[00:01:19.240 --> 00:01:24.040]  告訴我們第一至七章是講憲制的律例
[00:01:24.040 --> 00:01:27.360]  第八至十章是講侍奉的律例
[00:01:27.360 --> 00:01:29.480]  特別是講祭司的侍奉
[00:01:29.480 --> 00:01:33.240]  第十一章至第十六章是講潔淨的禮儀
[00:01:33.240 --> 00:01:37.400]  第十七章至二十七章是講生活大大小小
[00:01:37.400 --> 00:01:40.000]  各樣事情應該怎樣來遵守
[00:01:40.000 --> 00:01:42.280]  所以有人就將它放在應用的範圍
[00:01:42.280 --> 00:01:46.200]  一至七章是講合上帝心意的獻情
[00:01:46.200 --> 00:01:49.200]  八至十章是講合上帝心意的侍奉
[00:01:49.200 --> 00:01:50.880]  因為這裡講到祭司的侍奉
[00:01:50.880 --> 00:01:55.000]  十一至十六章是講合上帝心意的生命
[00:01:55.000 --> 00:01:57.640]  這個潔淨 聖潔的生命
[00:01:57.640 --> 00:01:59.040]  第十七章至尾
[00:01:59.040 --> 00:02:01.120]  有些人會再分細一點
[00:02:01.120 --> 00:02:03.760]  就是講合上帝心意的生活
[00:02:03.760 --> 00:02:06.120]  因為生活有不同的層面
[00:02:06.120 --> 00:02:08.240]  在今天的《勁賣集美主日》
[00:02:08.240 --> 00:02:12.040]  我不能夠講完全卷的利美記
[00:02:12.040 --> 00:02:14.960]  只能夠講第一章
[00:02:14.960 --> 00:02:19.240]  第一章是放在第七章裡面
[00:02:19.240 --> 00:02:24.080]  一至二節是講整個獻祭的指示
[00:02:24.080 --> 00:02:28.680]  第三至七章三十六節是講獻祭的類別
[00:02:28.680 --> 00:02:30.800]  分別是有獻梵祭
[00:02:30.800 --> 00:02:33.920]  掃祭 平安祭 贖罪祭 贖軒祭
[00:02:33.920 --> 00:02:38.360]  然後就到祭司怎樣去處理那些祭物
[00:02:38.360 --> 00:02:40.920]  到最後兩節來一個總結
[00:02:40.920 --> 00:02:45.160]  再解釋為什麼有獻祭
[00:02:45.160 --> 00:02:46.800]  今天我講第一章
[00:02:46.800 --> 00:02:49.200]  就是講獻梵祭
[00:02:49.200 --> 00:02:52.040]  是獻祭的一種 繁祭
[00:02:52.040 --> 00:02:56.800]  但在一章一至二節是整個獻祭的指示
[00:02:56.800 --> 00:02:58.280]  上帝怎樣說呢?
[00:02:58.280 --> 00:03:01.920]  耶和華是從會幕中呼叫摩西對他說
[00:03:01.920 --> 00:03:03.520]  你曉遇以色列人說
[00:03:03.520 --> 00:03:07.440]  你們中間若有人獻公物給耶和華
[00:03:07.440 --> 00:03:12.520]  是要從牛群羊群中獻牲畜為公物
[00:03:12.520 --> 00:03:14.720]  會幕是一個地方
[00:03:14.720 --> 00:03:17.800]  是象徵神與人同在的地方
[00:03:17.800 --> 00:03:19.280]  神要在那裏降臨
[00:03:19.280 --> 00:03:21.440]  百姓要在那裏敬拜神
[00:03:21.440 --> 00:03:22.360]  雖然今天我們明白
[00:03:22.360 --> 00:03:24.440]  我們在任何地方都可以敬拜神
[00:03:24.440 --> 00:03:25.920]  但在當時的社會
[00:03:25.920 --> 00:03:27.320]  這個地方很重要
[00:03:27.320 --> 00:03:29.040]  是神彰顯的時候
[00:03:29.040 --> 00:03:32.480]  是神要與人相遇的地方
[00:03:32.480 --> 00:03:34.440]  獻祭者
[00:03:34.440 --> 00:03:36.600]  這裡你還記不記得
[00:03:36.600 --> 00:03:37.640]  總有一種印象
[00:03:37.640 --> 00:03:39.640]  就是祭司你特別要熟悉
[00:03:39.640 --> 00:03:41.400]  但其實不是祭司要熟悉
[00:03:41.400 --> 00:03:42.400]  百姓都要熟悉
[00:03:42.400 --> 00:03:44.240]  因為上帝是跟摩西說
[00:03:44.240 --> 00:03:47.200]  叫摩西是跟整個以色列民族說
[00:03:47.200 --> 00:03:48.880]  所以關於敬拜
[00:03:48.880 --> 00:03:50.160]  關於獻祭
[00:03:50.160 --> 00:03:52.720]  不只是祭司要知道怎樣做
[00:03:52.720 --> 00:03:56.000]  是百姓都要知道怎樣做
[00:03:56.000 --> 00:03:58.960]  獻祭者是有摩西
[00:03:58.960 --> 00:04:00.520]  是有祭司
[00:04:00.520 --> 00:04:02.000]  是有以色列人
[00:04:02.000 --> 00:04:05.200]  受祭物的就是上帝
[00:04:05.200 --> 00:04:05.960]  但在這裏
[00:04:05.960 --> 00:04:07.680]  神頂尖會特別留意的
[00:04:07.680 --> 00:04:12.040]  祂說如果有人獻公物給耶和華
[00:04:12.040 --> 00:04:14.320]  即是說主動性在哪裏呢
[00:04:14.320 --> 00:04:19.040]  主動性是人先打算來獻公物給耶和華
[00:04:19.040 --> 00:04:20.920]  公物這裏出現兩次
[00:04:20.920 --> 00:04:23.280]  第一次是獻公物
