
[00:00:00.000 --> 00:00:04.820]  在一月份開始我們說一個系列叫做保守的系列
[00:00:04.820 --> 00:00:06.720]  今天也是最後一講了
[00:00:06.720 --> 00:00:09.580]  先跟李嘉誠說一聲 你要保守你的口
[00:00:09.580 --> 00:00:13.700]  我們提過保守我們的心 保守我們的耳
[00:00:13.700 --> 00:00:16.660]  保守我們的眼 保守我們的手
[00:00:16.660 --> 00:00:19.600]  我們最後要說的是要保守我們的口
[00:00:19.600 --> 00:00:21.200]  在聖經裏面有一句說話
[00:00:21.200 --> 00:00:25.120]  在新譯本和和本的翻譯是有少許的出入格
[00:00:25.120 --> 00:00:26.460]  在《針研》二十五章十一節
[00:00:26.460 --> 00:00:33.280]  一句話說得俠義就好像金蘋果箱在銀的器物上
[00:00:33.280 --> 00:00:38.240]  在和本的翻譯就說好像金蘋果放在銀網紙上
[00:00:38.240 --> 00:00:40.220]  無論是哪一個翻譯也好
[00:00:40.220 --> 00:00:42.740]  在這段經文是在說一幅圖畫
[00:00:42.740 --> 00:00:45.660]  我再說猶太人希伯來人所說的話
[00:00:45.660 --> 00:00:47.860]  往往都是一幅圖畫
[00:00:47.860 --> 00:00:51.260]  如果從一幅圖畫你才能了解到他所說的意思
[00:00:51.260 --> 00:00:53.300]  這句說話很有詩意
[00:00:53.300 --> 00:00:57.660]  如果你有少許想像力你才能明白他所說的意思
[00:00:57.660 --> 00:01:00.580]  當然我們不能用現代去理解
[00:01:00.580 --> 00:01:04.340]  現代用土豪金去理解這件事就完全是兩回事
[00:01:04.340 --> 00:01:07.460]  我們在《針研》的時代
[00:01:07.460 --> 00:01:12.420]  我們知道金器和銀器是最有價值的東西
[00:01:12.420 --> 00:01:14.260]  兩樣東西放在一起的時候
[00:01:14.260 --> 00:01:17.620]  是一個襯托出來的金製的蘋果
[00:01:17.620 --> 00:01:21.020]  放在一個銀器的物件上的時候
[00:01:21.020 --> 00:01:23.340]  是一個很漂亮的感覺
[00:01:23.340 --> 00:01:26.140]  是一個很恰當的擺設
[00:01:26.140 --> 00:01:30.180]  意思是形容當有人說話說得對的時候
[00:01:30.180 --> 00:01:31.780]  就好像這麼美麗
[00:01:31.780 --> 00:01:34.780]  口善應對自覺喜樂
[00:01:34.780 --> 00:01:37.500]  話及其事何等美好呢
[00:01:37.500 --> 00:01:39.900]  如果我們能夠應對得合宜
[00:01:39.900 --> 00:01:41.980]  我們的說話說得合宜的話
[00:01:41.980 --> 00:01:45.220]  是令到整件事情都是美好的
[00:01:45.220 --> 00:01:47.140]  我們中國人的說話說
[00:01:47.140 --> 00:01:49.940]  禍從口出 病從口入
[00:01:49.940 --> 00:01:51.620]  這個是事實
[00:01:51.620 --> 00:01:53.940]  也有句說話很誇張
[00:01:53.940 --> 00:01:57.860]  他說一言可以興邦 一言可以喪邦
[00:01:57.860 --> 00:02:00.300]  這句說話是有歷史背景的
[00:02:00.300 --> 00:02:02.380]  事實上我們的言語
[00:02:02.380 --> 00:02:05.220]  我們的說話的重要性可以去到什麼地步呢
[00:02:05.220 --> 00:02:10.460]  甚至乎可以一句說話令到國家興盛
[00:02:10.460 --> 00:02:13.620]  但也可以令到國家衰亡
[00:02:13.620 --> 00:02:15.900]  你想像一下說話是多麼重要
[00:02:15.900 --> 00:02:21.020]  跟你家庭說一聲 你說話是很重要的
[00:02:21.020 --> 00:02:25.980]  但是我們知道說話是有四個元素的
[00:02:25.980 --> 00:02:27.740]  第一個元素就是自己
[00:02:27.740 --> 00:02:29.180]  第二個元素就是別人
[00:02:29.180 --> 00:02:30.620]  第三個元素就是處境
[00:02:30.620 --> 00:02:33.580]  第四個就是說話的技巧
[00:02:33.580 --> 00:02:36.380]  你會發覺四歲或以下的小朋友
[00:02:36.380 --> 00:02:38.460]  他不會理你的感受
[00:02:38.460 --> 00:02:40.060]  他不會理什麼處境
[00:02:40.060 --> 00:02:42.860]  他也不會理說話的技巧
[00:02:42.860 --> 00:02:46.580]  他只是說了我要說的話
[00:02:46.580 --> 00:02:48.500]  四歲或以下的小朋友說話
[00:02:48.500 --> 00:02:51.380]  你會覺得很幼稚 很有趣
[00:02:51.380 --> 00:02:52.780]  就是因為他很坦率
[00:02:52.780 --> 00:02:54.660]  說了他想要的東西
[00:02:54.660 --> 00:02:57.100]  他看到的東西
[00:02:57.100 --> 00:03:00.220]  但問題是往往會得罪很多人
[00:03:00.220 --> 00:03:01.540]  不過因為他是小朋友
[00:03:01.540 --> 00:03:04.380]  大人就不會覺得有什麼問題
[00:03:04.380 --> 00:03:05.620]  就任由他去說
[00:03:05.620 --> 00:03:08.060]  但如果你想想你十幾歲都不成長
[00:03:08.060 --> 00:03:10.820]  你說我十幾歲說話都是這樣說的
[00:03:10.820 --> 00:03:13.940]  我要說的話就是我要說的
[00:03:13.940 --> 00:03:15.740]  我理得你
[00:03:15.740 --> 00:03:18.260]  如果十幾歲都沒有成長的話
[00:03:18.260 --> 00:03:21.140]  這些人就會很討人厭
[00:03:21.140 --> 00:03:22.820]  開始沒什麼朋友
[00:03:22.820 --> 00:03:24.660]  如果二十幾歲都是這樣
[00:03:24.660 --> 00:03:26.020]  很難找工作
[00:03:26.020 --> 00:03:27.180]  三十幾歲是這樣
[00:03:27.180 --> 00:03:29.460]  很難找老公
[00:03:29.460 --> 00:03:31.060]  四十幾歲是這樣
[00:03:31.060 --> 00:03:33.860]  你周遭都沒有任何朋友
[00:03:33.860 --> 00:03:34.820]  彈開了
[00:03:34.820 --> 00:03:38.220]  如果有的都是和你一樣這麼慘口的人
[00:03:38.220 --> 00:03:39.780]  五十幾歲是這樣
[00:03:39.780 --> 00:03:42.860]  你退休都肯定孤獨終老
[00:03:42.860 --> 00:03:44.620]  牧師用不著說得這麼盡
[00:03:44.620 --> 00:03:45.900]  事實上是這樣的
[00:03:45.900 --> 00:03:48.500]  我們需要成長
[00:03:48.500 --> 00:03:50.860]  有些人用聖經去駁外
[00:03:50.860 --> 00:03:51.500]  耶穌說
[00:03:51.500 --> 00:03:53.300]  「是就說是,不是就說不是」
[00:03:53.300 --> 00:03:55.620]  「讓人多說就是出賤辣惡者」
[00:03:55.620 --> 00:03:58.140]  待會我會回應這句說話
[00:03:58.140 --> 00:04:00.100]  你用心聽到最後
[00:04:00.100 --> 00:04:01.420]  我要回應這句說話
[00:04:01.420 --> 00:04:04.140]  但我們必須要在說話裏面學習
[00:04:04.140 --> 00:04:07.420]  要知道不只是說我要說的話
[00:04:07.420 --> 00:04:08.860]  在這個世代裏面
[00:04:08.860 --> 00:04:13.020]  太多的人是不肯成長
[00:04:13.020 --> 00:04:14.580]  I世代
[00:04:14.580 --> 00:04:16.380]  什麼都看得到我
[00:04:16.380 --> 00:04:17.500]  我是最對的
[00:04:17.500 --> 00:04:18.260]  我是最好
[00:04:18.260 --> 00:04:19.140]  我是最了不起的
[00:04:19.140 --> 00:04:20.340]  我是全世界最漂亮的
[00:04:20.340 --> 00:04:22.020]  他們每天都有一塊魔鏡
[00:04:22.020 --> 00:04:24.820]  這個魔鏡就是他們的手機
[00:04:24.820 --> 00:04:29.100]  這個魔鏡導致他們的世界就是自我中心
[00:04:29.100 --> 00:04:30.300]  這些人沒有辦法成長
[00:04:30.300 --> 00:04:34.500]  這些人慢慢地成為了社會裏面一班叫做「粉青」
[00:04:34.500 --> 00:04:36.740]  跟著「老粉青」
[00:04:36.740 --> 00:04:37.780]  什麼叫「老粉青」
[00:04:37.780 --> 00:04:39.460]  三十多歲就叫「老粉青」
[00:04:39.460 --> 00:04:41.180]  四十多歲就叫「老老粉青」
[00:04:41.180 --> 00:04:42.860]  五十多歲就叫「老老老」
[00:04:42.860 --> 00:04:44.860]  你有沒有看過網絡片
[00:04:44.860 --> 00:04:47.140]  那些叫「老老」
[00:04:47.140 --> 00:04:51.900]  所以你注定的下場就是被社會唾棄
[00:04:51.900 --> 00:04:54.500]  跟著就說是社會的錯
[00:04:54.500 --> 00:04:57.540]  這些人因為不肯成長
[00:04:57.540 --> 00:04:58.420]  我們要知道
[00:04:58.420 --> 00:05:01.340]  說話我們除了要說我要說的話
[00:05:01.340 --> 00:05:03.580]  我顧及到別人的感受之外
