
[00:00:00.000 --> 00:00:07.000]  今天 我所要講的題目是 主耶穌怎麼醫治這個被鬼附身的人
[00:00:07.000 --> 00:00:12.000]  那被鬼附身呢 我認識幾個人
[00:00:12.000 --> 00:00:15.000]  有一個是梁彥成弟兄
[00:00:15.000 --> 00:00:19.000]  他以前在香港長大的時候 在年輕的時候
[00:00:19.000 --> 00:00:22.000]  他就一直追求這個宗教信仰
[00:00:22.000 --> 00:00:29.000]  追求佛教 追求道教 追求各樣的這個法術這樣
[00:00:29.000 --> 00:00:33.000]  所以他最後到了印度去取經
[00:00:33.000 --> 00:00:40.000]  盼望能夠得著各樣的信仰 練習打坐
[00:00:40.000 --> 00:00:44.000]  你們知道打坐有小周天 大周天
[00:00:44.000 --> 00:00:46.000]  我也不知道這個到底怎麼樣
[00:00:46.000 --> 00:00:51.000]  但是我知道他們打坐到最後 有一個叫做開天眼
[00:00:51.000 --> 00:00:53.000]  天眼就在眉毛中間
[00:00:53.000 --> 00:00:57.000]  這個天眼一開 靈魂會出竅
[00:00:57.000 --> 00:00:59.000]  這是很高的境界
[00:00:59.000 --> 00:01:04.000]  所以他靈魂出竅以後 他的靈魂就在空中
[00:01:04.000 --> 00:01:10.000]  在遊行的時候 有時候會看到很奇妙的事情
[00:01:10.000 --> 00:01:14.000]  但是他就感覺有一些靈
[00:01:14.000 --> 00:01:19.000]  要附在他的靈魂出竅的靈的身上
[00:01:19.000 --> 00:01:22.000]  感覺蠻害怕的
[00:01:22.000 --> 00:01:26.000]  但是經過了不久以後 有人傳福音給他
[00:01:26.000 --> 00:01:29.000]  他成為一個非常好的基督徒
[00:01:29.000 --> 00:01:35.000]  他說有時候在走路的時候 就看到路上的靈就埋伏在草叢那邊
[00:01:35.000 --> 00:01:38.000]  好像要攻擊他
[00:01:38.000 --> 00:01:43.000]  我在台灣出生長大 特別是在台灣的南部
[00:01:43.000 --> 00:01:48.000]  高雄 屏東這一帶 拜拜的特別多
[00:01:48.000 --> 00:01:53.000]  有一個道士 他有五十幾個徒弟
[00:01:53.000 --> 00:01:57.000]  這個道士是通靈的 還會算命 做法
[00:01:57.000 --> 00:02:00.000]  你們有沒有聽過探陰府
[00:02:00.000 --> 00:02:03.000]  有人去世了 請他去探陰間
[00:02:03.000 --> 00:02:07.000]  去世的人活得怎麼樣
[00:02:07.000 --> 00:02:11.000]  他就很奇怪 怎麼老是去探陰間
[00:02:11.000 --> 00:02:14.000]  他說怎麼沒有到過天堂過
[00:02:14.000 --> 00:02:18.000]  他每次去都覺得很奇怪 怎麼沒有到天堂過
[00:02:18.000 --> 00:02:22.000]  他病得快要死了 大概五十幾歲
[00:02:22.000 --> 00:02:25.000]  人家送他去基督教醫院
[00:02:25.000 --> 00:02:29.000]  這個護士一進去就給他傳福音 唱詩歌給他聽
[00:02:29.000 --> 00:02:34.000]  這個護士又對他特別好 醫生照料他
[00:02:34.000 --> 00:02:40.000]  他心裡就開了 就願意相信主耶穌成為他的救主
[00:02:40.000 --> 00:02:46.000]  所以他信主以後 我有機會跟他interview
[00:02:46.000 --> 00:02:54.000]  當他信主那一個 白天信主 晚上主人就來找他
[00:02:54.000 --> 00:02:58.000]  以前他拜的神明就來找他
[00:02:58.000 --> 00:03:03.000]  他說我待你不薄 這三四十年來你跟隨我
[00:03:03.000 --> 00:03:07.000]  現在怎麼要背叛我 去相信耶穌基督
[00:03:07.000 --> 00:03:11.000]  他就說我都要死了 你都不來救我
[00:03:11.000 --> 00:03:17.000]  我要相信耶穌 最後在靈界裡的交談以後
[00:03:17.000 --> 00:03:20.000]  他的主人就要追殺他
[00:03:20.000 --> 00:03:24.000]  他就跟我講 追殺到一個角落的時候他沒有地方逃了
[00:03:24.000 --> 00:03:28.000]  他就講一句話 他說耶穌救我
[00:03:28.000 --> 00:03:30.000]  當他提到耶穌救他的時候
[00:03:30.000 --> 00:03:35.000]  忽然之間光就從上面照下來
[00:03:35.000 --> 00:03:40.000]  所以鬼就都離開了
[00:03:40.000 --> 00:03:48.000]  所以我們就知道這個靈界 鬼是存在的
[00:03:48.000 --> 00:03:53.000]  我幾年前住在Pasadena 南加州洛杉磯的地方
[00:03:53.000 --> 00:03:58.000]  有一次我去Caltech 加州理工學院
[00:03:58.000 --> 00:04:00.000]  非常好的學校
[00:04:00.000 --> 00:04:06.000]  有人跟我說有一個講座 星期六早上六點
[00:04:06.000 --> 00:04:09.000]  要不要去聽看看
[00:04:09.000 --> 00:04:13.000]  我就想好啊 那我就星期六去聽聽看
[00:04:13.000 --> 00:04:17.000]  就在學校的大禮堂 可以坐兩千多人
[00:04:17.000 --> 00:04:21.000]  我想星期六嘛 怎麼會這麼早就有人去聽
[00:04:21.000 --> 00:04:24.000]  我就大概九點十分到達那個會場
[00:04:24.000 --> 00:04:30.000]  兩千多個座位已經都坐滿了 沒有位子坐了
[00:04:30.000 --> 00:04:35.000]  你知道誰在講嗎 李洪志
[00:04:35.000 --> 00:04:39.000]  法輪功的創辦人
[00:04:39.000 --> 00:04:42.000]  他就在台上這樣講
[00:04:42.000 --> 00:04:44.000]  你知道這個加州理工學院
[00:04:44.000 --> 00:04:46.000]  這是大概十幾年前的事情
[00:04:46.000 --> 00:04:49.000]  都是這些中國的學者
[00:04:49.000 --> 00:04:52.000]  洛杉磯的學校的學生
[00:04:52.000 --> 00:04:56.000]  我說奇怪 這些都是無神論
[00:04:56.000 --> 00:04:58.000]  怎麼這麼多人來聽他演講
[00:04:58.000 --> 00:05:00.000]  這個人到底是誰
[00:05:00.000 --> 00:05:02.000]  好多人在那邊錄影
[00:05:02.000 --> 00:05:07.000]  好像他每一句話都要把他錄下來
[00:05:07.000 --> 00:05:09.000]  很特別 我就沒有座位
[00:05:09.000 --> 00:05:12.000]  我就站在這個樓上
[00:05:12.000 --> 00:05:14.000]  沒想到這個李洪志講完以後
[00:05:14.000 --> 00:05:17.000]  跑到坐在我前面
[00:05:17.000 --> 00:05:20.000]  然後他就請他的學員一個一個上去講見證
[00:05:20.000 --> 00:05:23.000]  就像跟基督徒一樣講見證
[00:05:23.000 --> 00:05:26.000]  就信了這個法輪功有怎麼好怎麼好
[00:05:26.000 --> 00:05:30.000]  聚完會以後我就去買他的書看一下
[00:05:30.000 --> 00:05:33.000]  他很多學員 你們知道
[00:05:33.000 --> 00:05:36.000]  練功的學員 他們叫做學員
[00:05:36.000 --> 00:05:39.000]  最後那個書的後面就有問題解答
[00:05:39.000 --> 00:05:41.000]  他們就說師父師父
[00:05:41.000 --> 00:05:43.000]  我們在這個練功的時候
[00:05:43.000 --> 00:05:49.000]  怎麼會有這個附體進來
[00:05:49.000 --> 00:05:52.000]  我就知道什麼叫附體 你們知道
[00:05:52.000 --> 00:05:54.000]  就是有這個靈進來
[00:05:54.000 --> 00:05:56.000]  進來以後不走了
[00:05:56.000 --> 00:05:59.000]  他們說怎麼辦
[00:05:59.000 --> 00:06:01.000]  那李洪志就回答說
[00:06:01.000 --> 00:06:04.000]  你們就叫師父的名字
[00:06:04.000 --> 00:06:07.000]  所以你可以看到這個附體有時候會進來
[00:06:07.000 --> 00:06:10.000]  這個邪靈會進來
[00:06:10.000 --> 00:06:12.000]  從我們基督徒的角度來看
[00:06:12.000 --> 00:06:15.000]  這個魔鬼有時候用欺騙的方法
