
[00:00:00.000 --> 00:00:02.000]  其實上一個主題我都講了
[00:00:02.000 --> 00:00:05.000]  是給大家有三方面想跟大家分享的
[00:00:05.000 --> 00:00:06.500]  第一 第二 第三方面呢
[00:00:06.500 --> 00:00:10.000]  我上一個主題我都已經跟大家分享了第一點的了
[00:00:10.000 --> 00:00:13.500]  這個我只是很簡單的去重複一點點
[00:00:13.500 --> 00:00:17.000]  就是第一點就是神可以用軟弱的
[00:00:17.000 --> 00:00:18.000]  少數的
[00:00:18.000 --> 00:00:19.500]  大家要小心
[00:00:19.500 --> 00:00:22.000]  這個不是說神不喜歡強壯的
[00:00:22.000 --> 00:00:24.500]  有智慧的 和有知識的
[00:00:24.500 --> 00:00:27.500]  但是神是要在軟弱的人身上
[00:00:27.500 --> 00:00:31.000]  顯明了基督是神的能力 神的智慧
[00:00:31.000 --> 00:00:33.000]  有神同在就是剛強
[00:00:33.000 --> 00:00:36.000]  有神同在就是大多數
[00:00:36.000 --> 00:00:38.000]  所以有時在一些情況底下
[00:00:38.000 --> 00:00:42.000]  你發覺你自己和很多人的看法意見是不同的時候
[00:00:42.000 --> 00:00:43.500]  要問的是什麼呢
[00:00:43.500 --> 00:00:47.000]  要問的就是說究竟我現在這個看法
[00:00:47.000 --> 00:00:51.000]  我這個意見合不合神的話語 合不合聖經呢
[00:00:51.000 --> 00:00:55.000]  如果我自己去反省再研究查考的時候
[00:00:55.000 --> 00:00:59.000]  我知道深信原來是合聖經的時候
[00:00:59.000 --> 00:01:02.000]  我都要堅持這個看法
[00:01:02.000 --> 00:01:06.000]  甚至我會覺得我是大多數不是少數
[00:01:06.000 --> 00:01:07.000]  為什麼說大多數呢
[00:01:07.000 --> 00:01:09.000]  因為當我站在神那邊的時候
[00:01:09.000 --> 00:01:11.000]  我什麼時候就是大多數
[00:01:11.000 --> 00:01:13.000]  不是屬靈的數字
[00:01:13.000 --> 00:01:17.000]  很多時候不是真的用有多少個人
[00:01:17.000 --> 00:01:19.000]  這個教會可以有三萬人
[00:01:19.000 --> 00:01:22.000]  但是如果他真真正正信主重新得救的
[00:01:22.000 --> 00:01:24.000]  如果只不過是十分之一的呢
[00:01:24.000 --> 00:01:27.000]  這個教會不是等於有三萬人
[00:01:27.000 --> 00:01:33.000]  這個教會只不過是三千個真真正正信主的人
[00:01:33.000 --> 00:01:35.000]  這個第一點我就不多說了
[00:01:35.000 --> 00:01:38.000]  正如上個主日其實都和大家分享過的
[00:01:38.000 --> 00:01:43.000]  請大家看回前書一章二十六至三十一節
[00:01:43.000 --> 00:01:44.000]  那幾節的經文
[00:01:44.000 --> 00:01:45.000]  和大家說第二點
[00:01:45.000 --> 00:01:50.000]  就是神可以保守那被排斥的
[00:01:50.000 --> 00:01:55.000]  菲拉鐵菲這個教會和士美娜這個教會是有共通點的
[00:01:55.000 --> 00:01:59.000]  士美娜這個教會就是啟述七教會的第二個教會
[00:01:59.000 --> 00:02:01.000]  是一個受苦受逼迫的教會
[00:02:01.000 --> 00:02:02.000]  很清楚的
