
[00:00:00.000 --> 00:00:06.520]  我們已經去推動「令人蒙福」的運動
[00:00:06.520 --> 00:00:08.800]  已經一段時間
[00:00:08.800 --> 00:00:12.720]  我們要繼續投身這個運動
[00:00:12.720 --> 00:00:17.200]  使人得福 自己都蒙福
[00:00:17.200 --> 00:00:19.000]  我要跟大家溫習一下
[00:00:19.000 --> 00:00:21.000]  我們曾經在五月份的第一個禮拜
[00:00:21.000 --> 00:00:25.800]  我們去思想阿伯拉罕蒙福的故事
[00:00:25.800 --> 00:00:32.400]  阿伯拉罕被呼召他要成為很多人的祝福
[00:00:32.400 --> 00:00:38.200]  阿伯拉罕要離開他的家鄉去到一個新的地方
[00:00:38.200 --> 00:00:41.600]  神賜福給他
[00:00:41.600 --> 00:00:44.800]  叫他能夠成為一個大的國家
[00:00:44.800 --> 00:00:48.400]  並且希望他能夠成為其他的人
[00:00:48.400 --> 00:00:52.200]  成為其他國家的祝福
[00:00:52.200 --> 00:00:56.800]  在這裡我們要記得什麼叫做祝福呢?
[00:00:56.800 --> 00:00:59.000]  我們常常都說「祝福」
[00:00:59.000 --> 00:01:04.000]  「祝福」這個字的希伯來文是Bara'a
[00:01:04.000 --> 00:01:06.800]  意思就是「跪低」
[00:01:06.800 --> 00:01:16.000]  這個「跪低」出現在歷代治下的六章十三至十六節
[00:01:16.000 --> 00:01:22.000]  使人得福的人就好像鎖廊門一樣
[00:01:22.000 --> 00:01:25.400]  曾幾何時在以色列人的面前
[00:01:25.400 --> 00:01:27.400]  跪在神的面前
[00:01:27.400 --> 00:01:28.400]  跪低
[00:01:28.400 --> 00:01:31.600]  在這裡向天舉手說
[00:01:31.600 --> 00:01:33.800]  耶和華以色列的神啊
[00:01:33.800 --> 00:01:37.600]  天上地下沒有神可比你的
[00:01:37.600 --> 00:01:41.400]  你向那盡心行在你面前的僕人
[00:01:41.400 --> 00:01:44.600]  守約斯慈愛
[00:01:44.600 --> 00:01:48.600]  向你的僕人我的父大為所應許的話
[00:01:48.600 --> 00:01:50.800]  現在應驗了
[00:01:50.800 --> 00:01:53.600]  耶和華以色列的神啊
[00:01:53.600 --> 00:01:56.200]  你所應許你僕人的話
[00:01:56.200 --> 00:01:57.600]  你說
[00:01:57.600 --> 00:02:01.600]  你的子孫若謹慎自己的行為
[00:02:01.600 --> 00:02:04.800]  遵守我的律法
[00:02:04.800 --> 00:02:07.600]  像你在我面前所行的一樣
[00:02:07.600 --> 00:02:14.800]  就不斷有人坐在以色列的國的皇位上
[00:02:14.800 --> 00:02:20.000]  祝福別人是得到神的賜福
[00:02:20.000 --> 00:02:21.800]  這些人是會怎樣的
[00:02:21.800 --> 00:02:24.000]  這些人是barak
[00:02:24.000 --> 00:02:26.000]  他們跪低
[00:02:26.000 --> 00:02:29.400]  跪在神在人的面前求神賜福
[00:02:29.400 --> 00:02:31.000]  神的應許就是說
[00:02:31.000 --> 00:02:35.000]  如果以色列人是能夠謹慎自己的行為
[00:02:35.000 --> 00:02:38.800]  去遵守神的律法
[00:02:38.800 --> 00:02:42.800]  以色列的國道就得以長存
[00:02:42.800 --> 00:02:46.000]  這個是剛才今早的詩班
[00:02:46.000 --> 00:02:52.000]  他所唱的詩歌的重要的訊息
[00:02:52.000 --> 00:02:54.000]  得到福氣的人
[00:02:54.000 --> 00:02:58.000]  他是遵守神的律法
[00:02:58.000 --> 00:03:01.000]  成為別人祝福的人
[00:03:01.000 --> 00:03:04.600]  是會謹守神的律法
[00:03:04.600 --> 00:03:07.000]  究竟是什麼叫神的律法呢
[00:03:07.000 --> 00:03:10.400]  在以前我們講過尼加書六章八節
[00:03:10.400 --> 00:03:12.000]  創造主向我們說
[00:03:12.000 --> 00:03:16.000]  西人那耶和華以此事理何為善
[00:03:16.000 --> 00:03:18.000]  他向你所要求的是什麼呢
[00:03:18.000 --> 00:03:19.000]  答案就是說
[00:03:19.000 --> 00:03:21.000]  只要你行公義
[00:03:21.000 --> 00:03:23.000]  好憐憫
[00:03:23.000 --> 00:03:26.000]  全謙卑的心與你的神同行
[00:03:26.000 --> 00:03:29.000]  所以當我們說祝福的時候
[00:03:29.000 --> 00:03:30.000]  我們要記得
[00:03:30.000 --> 00:03:31.000]  你祝福
[00:03:31.000 --> 00:03:35.000]  你就要遵守神的律法
[00:03:35.000 --> 00:03:36.000]  遵守神的律法
[00:03:36.000 --> 00:03:37.000]  神的命令
[00:03:37.000 --> 00:03:39.000]  神的心意是什麼意思
[00:03:39.000 --> 00:03:40.000]  行公義
[00:03:40.000 --> 00:03:41.000]  好憐憫
[00:03:41.000 --> 00:03:42.000]  行公義
[00:03:42.000 --> 00:03:44.000]  就是去好憐憫
[00:03:44.000 --> 00:03:46.000]  所以我們行公義的人
[00:03:46.000 --> 00:03:49.000]  就會憐憫憫憫憫貧窮的人
[00:03:49.000 --> 00:03:51.000]  憐憫那些有需要的人
[00:03:51.000 --> 00:03:54.000]  我們會祝福那些和我們不同的人
[00:03:54.000 --> 00:03:57.000]  我們會祝福那些和我們意見不同的人
[00:03:57.000 --> 00:03:59.000]  我們會祝福那些甚至
[00:03:59.000 --> 00:04:04.000]  我們不是很喜歡的人
[00:04:04.000 --> 00:04:06.000]  要祝福別人
[00:04:06.000 --> 00:04:08.000]  憐憫別人
[00:04:08.000 --> 00:04:13.000]  就必須要有一顆謙卑的心
[00:04:13.000 --> 00:04:15.000]  謙卑的字的意思就是
[00:04:15.000 --> 00:04:17.000]  字的意思就是打個裂
[00:04:17.000 --> 00:04:18.000]  打個裂做什麼
[00:04:18.000 --> 00:04:19.000]  打個裂
