
[00:00:00.000 --> 00:00:04.100]  聽姐妹很開心地在閻光博的面前跟大家一齊敬拜
[00:00:04.100 --> 00:00:09.060]  也透過科技我們可以繼續學習神的話
[00:00:09.060 --> 00:00:11.340]  《小行傳》二十四章
[00:00:11.340 --> 00:00:15.040]  我們看到保羅度過了宣教人生當中
[00:00:15.040 --> 00:00:18.600]  一個非常不容易的歷程
[00:00:18.600 --> 00:00:21.580]  其實如果我們認識使徒保羅
[00:00:21.580 --> 00:00:24.960]  我們就知道他服侍人生從來都不是一帆風順
[00:00:24.960 --> 00:00:26.720]  他曾經這麼說
[00:00:26.720 --> 00:00:31.440]  他說:我被他們(其他的使徒)忍受更多的勞苦
[00:00:31.440 --> 00:00:32.940]  坐過更多的監牢
[00:00:32.940 --> 00:00:34.400]  受過無數次的鞭打
[00:00:34.400 --> 00:00:35.500]  常常冒死
[00:00:35.500 --> 00:00:37.600]  我被猶太人鞭打五次
[00:00:37.600 --> 00:00:39.380]  每次四十減去一下
[00:00:39.380 --> 00:00:40.780]  被棍打了三次
[00:00:40.780 --> 00:00:42.380]  被石頭打了一次
[00:00:42.380 --> 00:00:43.740]  遭海難三次
[00:00:43.740 --> 00:00:45.480]  一晝一夜在海裡掙扎
[00:00:45.480 --> 00:00:47.120]  又屢次行遠路
[00:00:47.120 --> 00:00:48.580]  遭江河的危險
[00:00:48.580 --> 00:00:49.580]  盜賊的危險
[00:00:49.580 --> 00:00:50.580]  同族的危險
[00:00:50.580 --> 00:00:51.780]  外族人的危險
[00:00:51.780 --> 00:00:53.120]  城裡的危險
[00:00:53.120 --> 00:00:54.180]  曠野的危險
[00:00:54.180 --> 00:00:55.320]  海中的危險
[00:00:55.320 --> 00:00:56.820]  賈弟兄的危險
[00:00:56.820 --> 00:00:58.920]  我勞碌困苦
[00:00:58.920 --> 00:01:00.320]  常常失眠
[00:01:00.320 --> 00:01:01.300]  又飢又渴
[00:01:01.300 --> 00:01:02.700]  忍飢內寒
[00:01:02.700 --> 00:01:03.700]  赤身怒體
[00:01:03.700 --> 00:01:05.700]  除了這些事以外
[00:01:05.700 --> 00:01:08.100]  我還有為宗教會操心的事
[00:01:08.100 --> 00:01:10.740]  天天壓在我身上
[00:01:10.740 --> 00:01:14.700]  這是使徒保羅在他宣揚人生歷程當中
[00:01:14.700 --> 00:01:17.280]  他曾經有一次這樣表達
[00:01:17.280 --> 00:01:20.680]  但我相信以上所有的經歷
[00:01:20.680 --> 00:01:24.820]  都比不上保羅在這一次《使徒凡人傳》記載當中
[00:01:24.820 --> 00:01:28.820]  那個經歷是更加面對的危機
[00:01:28.820 --> 00:01:31.460]  保羅在此時此刻可以這樣說
[00:01:31.460 --> 00:01:35.120]  就是來到他人生當中一個最風高浪急的處境
[00:01:35.120 --> 00:01:37.460]  因為有四十個人
[00:01:37.460 --> 00:01:39.500]  一起發誓
[00:01:39.500 --> 00:01:40.700]  一起起誓
[00:01:40.700 --> 00:01:43.200]  他說如果他們不殺死保羅
[00:01:43.200 --> 00:01:45.000]  他們就不吃不喝
[00:01:45.000 --> 00:01:49.300]  我想大家想一想
[00:01:49.300 --> 00:01:51.380]  如果今天在你的處境裡面
