
[00:00:00.000 --> 00:00:04.320]  過往幾個月我相信大家都在不同的思緒裏面
[00:00:04.320 --> 00:00:06.880]  因為香港的政局的情況
[00:00:06.880 --> 00:00:10.800]  很多的想像不到的事情發生
[00:00:10.800 --> 00:00:13.520]  我不知道大家有沒有一些睡不著的日子
[00:00:13.520 --> 00:00:16.000]  或者有流眼淚
[00:00:16.000 --> 00:00:20.000]  我認識不同的朋友
[00:00:20.000 --> 00:00:22.400]  當然這裏有教會新西望暹順會
[00:00:22.400 --> 00:00:24.000]  但都有不同的朋友
[00:00:24.000 --> 00:00:27.200]  我有些朋友他在教會裏面講一些說話
[00:00:27.200 --> 00:00:28.800]  其他很多人就圍攻他
[00:00:28.800 --> 00:00:31.600]  或者手機那些通訊
[00:00:31.600 --> 00:00:33.600]  以後他們不敢出聲
[00:00:33.600 --> 00:00:35.200]  我認識一個牧者
[00:00:35.200 --> 00:00:38.400]  他教會有些人也都因為最近的事情
[00:00:38.400 --> 00:00:40.800]  離開了教會去了另一間教會
[00:00:40.800 --> 00:00:42.800]  覺得那間教會不接納他們
[00:00:42.800 --> 00:00:48.400]  所以我們說關係這種的撕裂是很現實
[00:00:48.400 --> 00:00:52.400]  在不同的教會或者一些家庭裏面
[00:00:52.400 --> 00:00:57.200]  我有一天吃完在家裏住的地方
[00:00:57.200 --> 00:00:59.200]  吃完了一個遊行
[00:00:59.200 --> 00:01:01.200]  下午一個遊行回家看到一個
[00:01:01.200 --> 00:01:03.200]  三四十歲左右的姊妹
[00:01:03.200 --> 00:01:05.200]  之前在教會她在那裏吃東西
[00:01:05.200 --> 00:01:07.200]  我問她為甚麼在那裏吃東西
[00:01:07.200 --> 00:01:09.200]  她說我還未到時間回家
[00:01:09.200 --> 00:01:11.200]  我問她甚麼意思
[00:01:11.200 --> 00:01:13.200]  她說我遊行完我不想那麼早回家
[00:01:13.200 --> 00:01:15.200]  因為我那麼早回家家人知道我遊行
[00:01:15.200 --> 00:01:17.200]  我不知道這個理論
[00:01:17.200 --> 00:01:19.200]  她想說她已經是三四十歲的成人
[00:01:19.200 --> 00:01:21.200]  但她不能告訴家人她是遊行的
[00:01:21.200 --> 00:01:23.200]  因為家人很反對她是遊行的
[00:01:25.200 --> 00:01:29.200]  這些關係是很緊繃的
[00:01:29.200 --> 00:01:31.200]  有一個姊妹說
[00:01:31.200 --> 00:01:33.200]  她晚上看完新聞
[00:01:33.200 --> 00:01:35.200]  就流著眼淚睡覺
[00:01:35.200 --> 00:01:37.200]  然後幾天都失眠
[00:01:37.200 --> 00:01:39.200]  睡不著
[00:01:39.200 --> 00:01:41.200]  情緒很緊張很不安
[00:01:41.200 --> 00:01:43.200]  今天我們都在這種
[00:01:43.200 --> 00:01:45.200]  不輕鬆的日子裏經過
[00:01:45.200 --> 00:01:47.200]  我不知道大家
[00:01:47.200 --> 00:01:49.200]  怎樣去體會
[00:01:49.200 --> 00:01:51.200]  今天講到一個經文
[00:01:53.200 --> 00:01:55.200]  內容是
[00:01:55.200 --> 00:01:57.200]  耶利米書第一章
[00:01:57.200 --> 00:01:59.200]  七至十節
[00:01:59.200 --> 00:02:01.200]  這是耶利米書
[00:02:01.200 --> 00:02:03.200]  第一章的經文
[00:02:03.200 --> 00:02:05.200]  耶利米是一個很特別的先知
[00:02:05.200 --> 00:02:07.200]  他
[00:02:07.200 --> 00:02:09.200]  侍奉的年代很特別
[00:02:09.200 --> 00:02:11.200]  他大概侍奉了四十年
[00:02:11.200 --> 00:02:13.200]  很長的時間
[00:02:13.200 --> 00:02:15.200]  經歷了五個王
[00:02:15.200 --> 00:02:17.200]  在以色列的南國
[00:02:17.200 --> 00:02:19.200]  最後五個軍王的治下
[00:02:19.200 --> 00:02:21.200]  他經歷了
[00:02:21.200 --> 00:02:23.200]  侍奉五個軍王的期間
[00:02:23.200 --> 00:02:25.200]  去服侍
[00:02:25.200 --> 00:02:27.200]  他在約西亞的年代
[00:02:27.200 --> 00:02:29.200]  第十三年
[00:02:29.200 --> 00:02:31.200]  即是主前六百二十七年
[00:02:31.200 --> 00:02:33.200]  蒙召
[00:02:33.200 --> 00:02:35.200]  那時候他很年輕
[00:02:35.200 --> 00:02:37.200]  大概二十歲
[00:02:37.200 --> 00:02:39.200]  所以剛才經文讀到
[00:02:39.200 --> 00:02:41.200]  他覺得自己很年輕
[00:02:41.200 --> 00:02:43.200]  不能夠承擔這個職任
[00:02:43.200 --> 00:02:45.200]  但是他面對的挑戰很困難
[00:02:45.200 --> 00:02:47.200]  因為當時的蒙召
[00:02:47.200 --> 00:02:49.200]  已經是一個很好的王
[00:02:49.200 --> 00:02:51.200]  他的年期有
[00:02:51.200 --> 00:02:53.200]  三十一二年
[00:02:53.200 --> 00:02:55.200]  的王朝
[00:02:55.200 --> 00:02:57.200]  他是一個很好的王
[00:02:57.200 --> 00:02:59.200]  在他在位的期間發現了律法書
[00:02:59.200 --> 00:03:01.200]  他要改革當時的宗教
[00:03:01.200 --> 00:03:03.200]  很多很多的問題
[00:03:03.200 --> 00:03:05.200]  因為他提到那個年代
[00:03:05.200 --> 00:03:07.200]  是多麼的困難
[00:03:07.200 --> 00:03:09.200]  耶利米先知就是那個時候
[00:03:09.200 --> 00:03:11.200]  去被呼召
[00:03:11.200 --> 00:03:13.200]  去服侍
[00:03:13.200 --> 00:03:15.200]  去講神的話
[00:03:15.200 --> 00:03:17.200]  為什麼要講這段經文
[00:03:17.200 --> 00:03:19.200]  我的服侍
[00:03:19.200 --> 00:03:21.200]  在我的信仰在我的生命裡
[00:03:21.200 --> 00:03:23.200]  都要思想我們面對這個政局
[00:03:23.200 --> 00:03:25.200]  作為一個侍奉的人
[00:03:25.200 --> 00:03:27.200]  可以怎樣去宣講
[00:03:27.200 --> 00:03:29.200]  怎樣去教導怎樣去發表自己的意見
[00:03:29.200 --> 00:03:31.200]  我們看聖經不同的
[00:03:31.200 --> 00:03:33.200]  歷史不同的人物
