
[00:00:00.000 --> 00:00:04.500]  各位姐妹早晨,很高興再次能夠在主日崇拜的時間
[00:00:04.500 --> 00:00:06.500]  和大家一起分享神的說話
[00:00:06.500 --> 00:00:09.500]  讓我們能夠在上帝的說話當中一同去學習
[00:00:09.500 --> 00:00:13.000]  能夠讓我們的屬靈生命更加障礙因主
[00:00:13.000 --> 00:00:16.000]  預備能夠進到去永恆的當中如主同活
[00:00:16.000 --> 00:00:18.500]  這正是我們每一個作為目者
[00:00:18.500 --> 00:00:20.500]  每一個信徒應該期盼的事情
[00:00:20.500 --> 00:00:23.500]  讓我們能夠再一次將這段寶貴的時間
[00:00:23.500 --> 00:00:25.500]  交在我們主的裏面
[00:00:25.500 --> 00:00:27.500]  求聖靈帶領我們每一個
[00:00:27.500 --> 00:00:29.500]  能夠在這段聽道的時間
[00:00:29.500 --> 00:00:31.500]  能夠更明白主的心意
[00:00:31.500 --> 00:00:33.500]  各位一起同心圍禱告
[00:00:33.500 --> 00:00:36.500]  慈悲的天父多謝你
[00:00:36.500 --> 00:00:38.500]  讓我們能夠再一次回來
[00:00:38.500 --> 00:00:40.500]  在主你的說話的面前
[00:00:40.500 --> 00:00:42.500]  一同蒙受主你的教導
[00:00:42.500 --> 00:00:44.500]  求你的靈願有同在
[00:00:44.500 --> 00:00:46.500]  好想我們能夠更加明白
[00:00:46.500 --> 00:00:48.500]  你是怎樣的一位主
[00:00:48.500 --> 00:00:50.500]  讓我們能夠更清楚
[00:00:50.500 --> 00:00:52.500]  你所喜歡的事
[00:00:52.500 --> 00:00:54.500]  你所不喜歡的事情
[00:00:54.500 --> 00:00:57.500]  從而使我們今天學會
[00:00:57.500 --> 00:01:00.500]  如何有一個屬靈的生命的栽培
[00:01:00.500 --> 00:01:02.500]  被你的靈的帶動
[00:01:02.500 --> 00:01:07.500]  使我們能夠與福音所締造的生命更加相稱
[00:01:07.500 --> 00:01:09.500]  我們的天父多謝你
[00:01:09.500 --> 00:01:11.500]  讓我們能夠再一次回來
[00:01:11.500 --> 00:01:13.500]  在主你的說話的面前
[00:01:13.500 --> 00:01:15.500]  一同蒙受主你的教導
[00:01:15.500 --> 00:01:17.500]  求你的靈願有同在
[00:01:17.500 --> 00:01:19.500]  好想我們能夠再一次回來
[00:01:19.500 --> 00:01:21.500]  在主你的說話的面前
[00:01:21.500 --> 00:01:23.500]  一同蒙受主你的教導
[00:01:23.500 --> 00:01:25.500]  求你的靈願有同在
[00:01:25.500 --> 00:01:27.500]  好想我們能夠再一次回來
[00:01:27.500 --> 00:01:29.500]  在主你的說話的面前
[00:01:29.500 --> 00:01:31.500]  一同蒙受主你的教導
[00:01:31.500 --> 00:01:33.500]  求你的靈願有同在
[00:01:33.500 --> 00:01:35.500]  好想我們能夠再一次回來
[00:01:35.500 --> 00:01:37.500]  在主你的說話的面前
[00:01:37.500 --> 00:01:39.500]  一同蒙受主你的教導
[00:01:39.500 --> 00:01:41.500]  求你的靈願有同在
[00:01:41.500 --> 00:01:43.500]  好想我們能夠再一次回來
[00:01:43.500 --> 00:01:45.500]  在主你的說話的面前
[00:01:45.500 --> 00:01:47.500]  一同蒙受主你的教導
[00:01:47.500 --> 00:01:49.500]  求你的靈願有同在
[00:01:49.500 --> 00:01:51.500]  好想我們能夠再一次回來
[00:01:51.500 --> 00:01:53.500]  Amen
[00:02:21.500 --> 00:02:23.500]  讓我們一起再一次透過這段聖經
[00:02:23.500 --> 00:02:25.500]  去明白上帝的心意
[00:02:25.500 --> 00:02:27.500]  我希望和大家一起
[00:02:27.500 --> 00:02:29.500]  先讀一次這段經文
[00:02:29.500 --> 00:02:31.500]  能夠去多了解
[00:02:31.500 --> 00:02:33.500]  經文裏面所記載的內容
[00:02:33.500 --> 00:02:35.500]  如果大家有經文的
[00:02:35.500 --> 00:02:37.500]  或者聖經的已經打開
[00:02:37.500 --> 00:02:39.500]  可以細心的聽我去讀
[00:02:39.500 --> 00:02:41.500]  我會先讀和合本
[00:02:41.500 --> 00:02:43.500]  以廣東話和普通話讀一次
[00:02:43.500 --> 00:02:45.500]  然後大家也都會去
[00:02:45.500 --> 00:02:47.500]  一起去看一個英文的版本
[00:02:47.500 --> 00:02:49.500]  我會為大家預備了
[00:02:49.500 --> 00:02:51.500]  我讀出的是New English Translation
[00:02:51.500 --> 00:02:53.500]  NET版本
[00:02:53.500 --> 00:02:59.500]  《路德記》第三章第十至第十五節
[00:02:59.500 --> 00:03:01.500]  波亞斯說:女兒啊
[00:03:01.500 --> 00:03:03.500]  願你蒙耶和華賜福
[00:03:03.500 --> 00:03:05.500]  你末後的恩比先前更大
[00:03:05.500 --> 00:03:07.500]  因為少年人無論貧富
[00:03:07.500 --> 00:03:09.500]  你都沒有跟從
[00:03:09.500 --> 00:03:11.500]  女兒啊
[00:03:11.500 --> 00:03:13.500]  現在不要懼怕
[00:03:13.500 --> 00:03:15.500]  凡你所說的
[00:03:15.500 --> 00:03:17.500]  我必照著行
[00:03:17.500 --> 00:03:19.500]  我本誠的人
