
[00:00:00.000 --> 00:00:02.000]  天父 我們感謝祢
[00:00:02.000 --> 00:00:06.280]  祢讓我們身處在一個大時代的裏面
[00:00:06.280 --> 00:00:09.080]  在這個風雨飄搖的日子裏面
[00:00:09.080 --> 00:00:11.080]  我們作為神的子民
[00:00:11.080 --> 00:00:15.360]  我們真的很需要學習聆聽祢的呼喚
[00:00:15.360 --> 00:00:17.720]  聆聽祢自己的聲音
[00:00:17.720 --> 00:00:21.980]  讓我們知道如何在這個彎曲薄茂的世代
[00:00:21.980 --> 00:00:24.400]  來作祢自己的明燈
[00:00:24.400 --> 00:00:29.080]  神啊 求祢自己的話語成為我們裏面的光
[00:00:29.080 --> 00:00:32.520]  幫助我們 指引我們
[00:00:32.520 --> 00:00:33.840]  讓我們在這一刻
[00:00:33.840 --> 00:00:36.680]  我們挪走我們心裏面的重擔
[00:00:36.680 --> 00:00:39.680]  我們的憂慮 我們的擔子
[00:00:39.680 --> 00:00:43.280]  讓我們坦然地開放我們的心
[00:00:43.280 --> 00:00:45.720]  帶著謙卑的受教的耳朵
[00:00:45.720 --> 00:00:48.960]  來到祢的面前去承載祢的說話
[00:00:48.960 --> 00:00:51.200]  求祢與我們同在
[00:00:51.200 --> 00:00:52.800]  多謝祢 聽我們禱告
[00:00:52.800 --> 00:00:55.960]  奉耶穌基督的名 阿門
[00:00:55.960 --> 00:01:01.480]  今天早上很想將大家帶回1933年的德國
[00:01:01.480 --> 00:01:06.680]  大家知不知道1933年的德國是甚麼光景呢
[00:01:06.680 --> 00:01:09.640]  1933年的1月30日
[00:01:09.640 --> 00:01:13.640]  希特勒被任命為德國的總理
[00:01:13.640 --> 00:01:17.880]  他逐漸將德國轉變為一個專制
[00:01:17.880 --> 00:01:22.360]  納粹極權的統治國家
[00:01:22.360 --> 00:01:26.080]  他在德國裏面去推行種族主義
[00:01:26.080 --> 00:01:29.360]  成功地游說了當時的德國人
[00:01:29.360 --> 00:01:33.000]  要去殘殺所有的猶太人
[00:01:33.000 --> 00:01:34.680]  大家知道這一段的歷史
[00:01:34.680 --> 00:01:37.880]  當時有600萬的猶太人被殘殺
[00:01:37.880 --> 00:01:41.480]  但是在當中我們見到神有出手
[00:01:41.480 --> 00:01:43.400]  神是有拯救
[00:01:43.400 --> 00:01:45.960]  或者大家都聽過蘇特拉這個人
[00:01:45.960 --> 00:01:47.440]  看過這套電影
[00:01:47.440 --> 00:01:50.600]  他是其中一個有拯救很多猶太人的人
[00:01:50.600 --> 00:01:54.760]  我們中國人都有份拯救猶太人
[00:01:54.760 --> 00:01:57.280]  也有不少當時歐洲的人
[00:01:57.280 --> 00:02:01.800]  都有因著良心的緣故去拯救猶太人
[00:02:01.800 --> 00:02:03.560]  我們看到神的拯救
[00:02:03.560 --> 00:02:05.920]  同時我們也看到神的審判
[00:02:05.920 --> 00:02:07.640]  在1945年的時候
[00:02:07.640 --> 00:02:10.760]  當第二次世界大戰去到末期的時候
[00:02:10.760 --> 00:02:13.720]  希特勒知道自己的大勢已去
[00:02:13.720 --> 00:02:14.960]  他決定自殺
[00:02:14.960 --> 00:02:19.880]  他不想將自己的生命落在蘇聯的紅軍手裏
[00:02:19.880 --> 00:02:21.560]  他自殺身亡
[00:02:21.560 --> 00:02:25.040]  這個我們看到上帝的審判
[00:02:25.040 --> 00:02:27.000]  事實上我們在歷史裏面
[00:02:27.000 --> 00:02:30.520]  是不停地看到上帝的手在工作
[00:02:30.520 --> 00:02:32.800]  但是我反而會問的就是
[00:02:32.800 --> 00:02:37.720]  其實在德國當時是有不少基督徒的
[00:02:37.720 --> 00:02:38.840]  據估計
[00:02:38.840 --> 00:02:41.040]  單在1933年
[00:02:41.040 --> 00:02:42.160]  在整個德國
[00:02:42.160 --> 00:02:44.320]  只是基督徒不算天主教徒
[00:02:44.320 --> 00:02:46.800]  有四千多萬
[00:02:46.800 --> 00:02:52.560]  我就會問其實德國在這十多年的時間裏面
[00:02:52.560 --> 00:02:54.880]  他們面對這些的考驗
[00:02:54.880 --> 00:02:57.520]  其實是怎樣回應的呢?
[00:02:57.520 --> 00:03:02.520]  教會在裏面是扮演什麼角色呢?
[00:03:02.520 --> 00:03:04.520]  那就要講一些背景
[00:03:04.520 --> 00:03:07.360]  自從第一次世界大戰
[00:03:07.360 --> 00:03:09.640]  德國戰敗之後
[00:03:09.640 --> 00:03:13.480]  德國被迫要簽一些很羞辱的條約
[00:03:13.480 --> 00:03:17.360]  使他們的經濟陷入困境
[00:03:17.360 --> 00:03:22.680]  德國人一直都很想重振他們國家的雄風
[00:03:22.680 --> 00:03:24.280]  在教會裏面
[00:03:24.280 --> 00:03:26.040]  他們不斷地去祈禱
[00:03:26.040 --> 00:03:28.480]  尋求有一位的拯救者
[00:03:28.480 --> 00:03:30.960]  可以拯救他們的國家
[00:03:30.960 --> 00:03:34.480]  所以當1933年1月30日
[00:03:34.480 --> 00:03:36.760]  希特勒上台的時候
[00:03:36.760 --> 00:03:41.920]  他們很認定這個就是他們的拯救者
[00:03:41.920 --> 00:03:44.160]  於是乘著這個勢
[00:03:44.160 --> 00:03:48.240]  希特勒就拉攏當時的德國的教會
[00:03:48.240 --> 00:03:51.240]  成為國家教會
[00:03:51.240 --> 00:03:54.720]  去擁抱他們的納粹主義
[00:03:54.720 --> 00:03:56.800]  當時他們認為
[00:03:56.800 --> 00:04:01.920]  基督黎就是要令整個德國強化起來
[00:04:01.920 --> 00:04:04.080]  他們有一句說話
[00:04:04.080 --> 00:04:05.200]  我現在去看
[00:04:05.200 --> 00:04:06.840]  我都覺得很匪夷所思
