
[00:00:00.000 --> 00:00:02.000]  各位今天準備的朋友們早安
[00:00:02.000 --> 00:00:03.000]  早
[00:00:03.000 --> 00:00:06.000]  來跟各位來分享一個訊息
[00:00:06.000 --> 00:00:08.000]  因為我們第一個禮拜
[00:00:08.000 --> 00:00:09.000]  我都要講
[00:00:09.000 --> 00:00:13.000]  跟這個教會的意向跟體系有關
[00:00:13.000 --> 00:00:17.000]  今天教會的意向是什麼
[00:00:17.000 --> 00:00:19.000]  邁向成熟
[00:00:19.000 --> 00:00:22.000]  所以我一月份的時候
[00:00:22.000 --> 00:00:25.000]  我特別講了一個邁向成熟
[00:00:25.000 --> 00:00:27.000]  是說口出恩言
[00:00:27.000 --> 00:00:29.000]  邁向成熟
[00:00:29.000 --> 00:00:30.000]  換句話說
[00:00:30.000 --> 00:00:33.000]  你要在主裡面成熟
[00:00:33.000 --> 00:00:35.000]  這件事情
[00:00:35.000 --> 00:00:37.000]  掌管你的口舌
[00:00:37.000 --> 00:00:39.000]  當你的口舌掌管了
[00:00:39.000 --> 00:00:43.000]  你說出來的都是感恩的話
[00:00:43.000 --> 00:00:45.000]  那真是美
[00:00:45.000 --> 00:00:48.000]  如金蘋果落在銀網子裡面
[00:00:48.000 --> 00:00:50.000]  神喜悅
[00:00:50.000 --> 00:00:51.000]  人喜悅
[00:00:51.000 --> 00:00:56.000]  說出來的話都是安慰鼓勵勸領造就人的話
[00:00:56.000 --> 00:00:58.000]  感謝神
[00:00:58.000 --> 00:01:00.000]  今天我要來說
[00:01:00.000 --> 00:01:03.000]  我們操練信心
[00:01:03.000 --> 00:01:06.000]  我們邁向成熟
[00:01:06.000 --> 00:01:07.000]  好的
[00:01:07.000 --> 00:01:08.000]  你知道我們在這邊
[00:01:08.000 --> 00:01:10.000]  禮拜四晚上跟禮拜六
[00:01:10.000 --> 00:01:13.000]  我們在這裡開放給來的人
[00:01:13.000 --> 00:01:15.000]  為他們一致禱告
[00:01:15.000 --> 00:01:17.000]  我記得很清楚
[00:01:17.000 --> 00:01:19.000]  前一個禮拜是
[00:01:19.000 --> 00:01:22.000]  有一個婦人
[00:01:22.000 --> 00:01:26.000]  她來要求禱告
[00:01:26.000 --> 00:01:28.000]  那麼
[00:01:28.000 --> 00:01:30.000]  說要怎麼禱告呢
