
[00:00:00.000 --> 00:00:02.260]  聖誕節即將來臨,
[00:00:02.260 --> 00:00:04.620]  當我們在歡慶聖誕,
[00:00:04.620 --> 00:00:08.420]  到處在傳講聖誕故事的時候,
[00:00:08.420 --> 00:00:11.520]  我不知道你們有沒有注意到一件事情,
[00:00:11.520 --> 00:00:13.520]  那就是在聖誕節的故事當中,
[00:00:13.520 --> 00:00:17.120]  有一句話是不斷在出現,
[00:00:17.120 --> 00:00:21.520]  那一句話就是不要害怕。
[00:00:21.520 --> 00:00:25.020]  你知道當天使向撒加利亞顯現的時候,
[00:00:25.020 --> 00:00:26.920]  天使對她說不要害怕,
[00:00:26.920 --> 00:00:30.720]  因為你的祈禱已經得蒙垂聽。
[00:00:30.720 --> 00:00:33.620]  當天使向約瑟顯現的時候,
[00:00:33.620 --> 00:00:35.920]  天使對約瑟說不要害怕,
[00:00:35.920 --> 00:00:40.220]  只管娶過你的妻子瑪利亞來吧。
[00:00:40.220 --> 00:00:43.720]  當天使向瑪利亞顯現的時候,
[00:00:43.720 --> 00:00:45.620]  天使對瑪利亞說不要害怕,
[00:00:45.620 --> 00:00:49.720]  因為你在神的眼前已經蒙恩典。
[00:00:49.720 --> 00:00:52.420]  當天使向牧羊人顯現的時候,
[00:00:52.420 --> 00:00:54.720]  天使對牧羊人說不要害怕,
[00:00:54.720 --> 00:00:58.720]  因為我報給你們是一個大喜的信息。
[00:00:58.720 --> 00:01:05.920]  可見今天我們人常常就生活在害怕跟恐懼當中,不是嗎?
[00:01:05.920 --> 00:01:12.920]  恐懼是因為沒有一件事情似乎掌握在我們自己手上。
[00:01:12.920 --> 00:01:18.520]  今天有多少人失眠因為心中恐懼害怕?
[00:01:18.520 --> 00:01:24.020]  許多人在憂鬱當中因為恐懼害怕?
[00:01:24.020 --> 00:01:30.020]  事實上這是為什麼神要主動來到這個世界來尋找我們的原因。
[00:01:30.020 --> 00:01:35.220]  聖經說神就像一個牧羊人一樣在尋找這些迷失的羊。
